MaxReturn,Iteration,AverageAbsY,AveragePolicySurr,StdReturn,Epoch,AverageAbsQ,QFunRegParamNorm,AverageAction,AverageY,AverageQLoss,PolicyRegParamNorm,AverageEsReturn,MaxEsReturn,AverageAbsQYDiff,AverageReturn,AverageDiscountedReturn,MinReturn,StdEsReturn,AverageQ,MinEsReturn
130.0,42,25.6310174029,-28.8697,7.34339456838,42,25.6526,60.0439,0.492481,25.6263227769,3.20379,28.5544,14.9384615385,82.0,0.777436737009,38.4615384615,31.9028363986,29.0,14.7709454133,25.625,3.0
752.0,43,26.3497427205,-29.6636,93.6565215109,43,26.3757,60.8841,0.629738,26.3447685172,3.28962,28.9204,14.1232876712,64.0,0.779423431781,65.5098039216,39.7556732638,30.0,13.9744828174,26.3454,3.0
49.0,44,27.0250797885,-30.3794,2.79513404473,44,27.046,61.8495,0.552813,27.019137069,3.79276,29.1621,16.4666666667,108.0,0.82626650331,38.4099616858,31.9984689703,29.0,18.277004374,27.0191,3.0
54.0,45,27.7222871853,-31.0441,3.30040965073,45,27.7453,62.7564,0.52082,27.7159275754,3.7131,29.3383,11.9523809524,45.0,0.822434101059,43.0,35.0542482827,38.0,10.6333983748,27.7148,3.0
42.0,46,28.257157541,-31.7465,1.60287984934,46,28.2822,63.6949,0.507983,28.250516975,3.7174,29.5524,14.3571428571,53.0,0.831083023942,37.7218045113,31.5445611758,34.0,10.178458646,28.25,3.0
1000.0,47,28.9673068269,-32.4058,162.622091478,47,28.9934,64.6163,0.585542,28.9560025053,3.96115,29.8127,13.025974026,49.0,0.850858696824,79.7647058824,40.92031689,37.0,10.2690735125,28.9562,3.0
1000.0,48,29.514680195,-32.9934,449.488459251,48,29.5454,65.4999,0.689603,29.5010188966,4.15912,30.0116,19.4901960784,78.0,0.856126961895,653.0,79.8882842501,44.0,18.4139467061,29.5013,3.0
1000.0,49,30.0957652474,-33.6406,0.0,49,30.1232,66.5491,0.575338,30.0730044602,4.38593,30.3293,18.0357142857,63.0,0.873598402031,1000.0,99.9956828753,1000.0,16.8924796092,30.0712,3.0
1000.0,50,30.746474999,-34.2694,385.909018632,50,30.7693,67.33,0.676349,30.7104192541,3.9556,30.6508,15.359375,116.0,0.849536712374,472.045454545,80.3255901333,54.0,18.5306900737,30.7126,2.0
82.0,51,31.1603854329,-34.8837,5.69433651264,51,31.1824,68.1141,0.70089,31.1235137323,4.33549,30.9608,15.4090909091,96.0,0.891020705278,51.0304568528,40.027760632,41.0,16.4473238799,31.1233,3.0
1000.0,52,31.6397088003,-35.3769,0.0,52,31.6702,68.9233,0.426984,31.612682588,4.5164,31.2992,15.0454545455,99.0,0.890408431484,1000.0,99.9956828753,1000.0,17.1052285274,31.613,2.0
360.0,53,32.3363128468,-36.0763,61.6608245481,53,32.3728,69.7426,0.193284,32.3097180522,4.90085,31.5319,15.8095238095,98.0,0.939976057206,112.177777778,62.6821633334,48.0,16.7169310076,32.3081,3.0
47.0,54,32.9573764593,-36.8351,2.1671300299,54,32.9956,70.5065,0.268407,32.9272938692,4.98484,31.7397,16.2419354839,81.0,0.943889404817,40.9836065574,33.7452039166,37.0,13.9338129972,32.9281,3.0
39.0,55,33.6528363055,-37.6645,0.842218721696,55,33.6826,71.3303,0.284907,33.6192557218,5.17956,31.7917,16.4745762712,42.0,0.961175649462,37.2527881041,31.2275688905,36.0,10.84615988,33.6177,3.0
41.0,56,34.3774483199,-38.446,0.93377877032,56,34.4143,72.0255,0.203819,34.3365901448,5.28544,31.8981,14.5217391304,47.0,0.967970241228,38.7751937984,32.2712704908,37.0,11.4608453739,34.338,3.0
39.0,57,35.0813312699,-39.3422,1.11563025007,57,35.1234,72.8373,0.208754,35.050100407,5.86562,31.9862,16.5,50.0,1.0124207382,36.2789855072,30.549312003,35.0,12.5694842967,35.0497,3.0
40.0,58,35.8456366439,-40.1246,0.777944457664,58,35.8857,73.7733,0.218979,35.8154602677,5.85833,32.1083,15.59375,40.0,1.02972816802,37.8679245283,31.6517900684,36.0,10.1638433153,35.8144,3.0
39.0,59,36.6596590398,-41.0173,1.19591016101,59,36.7114,74.5922,0.247393,36.6355367013,6.44334,32.164,16.4754098361,52.0,1.05588683584,36.2572463768,30.5334920556,35.0,13.5399912311,36.6342,3.0
41.0,60,37.3327993595,-41.8091,0.850419370717,60,37.3852,75.3665,0.492533,37.3044234453,6.96188,32.2704,13.7361111111,54.0,1.09387616884,38.4022988506,32.0174775321,37.0,11.2928112034,37.3036,3.0
41.0,61,38.0878411518,-42.5379,0.899082648801,61,38.1365,76.2287,0.554038,38.0546513167,7.33887,32.342,15.2,50.0,1.12295480273,39.109375,32.498573973,36.0,12.7679888182,38.0559,3.0
1000.0,62,38.7580566324,-43.2586,275.118156435,62,38.8077,77.0992,0.0423549,38.7253909849,7.22832,32.5247,20.693877551,72.0,1.11734150574,913.0,94.095142356,43.0,18.6418489948,38.7255,3.0
1000.0,63,39.40487049,-44.0008,72.3471467342,63,39.45,77.9275,0.500732,39.3734683802,7.70819,32.6651,15.3384615385,64.0,1.15919068522,58.6081871345,41.6198131312,44.0,13.2424456527,39.3718,3.0
1000.0,64,40.0084421647,-44.6877,0.0,64,40.0551,78.7527,0.123013,39.9773980071,7.71656,32.8189,15.746031746,72.0,1.14950161677,1000.0,99.9956828753,1000.0,14.515419556,39.9766,3.0
75.0,65,40.6491577022,-45.3306,6.55595228801,65,40.7003,79.5325,0.609425,40.6138841953,8.14779,32.9549,18.0545454545,103.0,1.21736550118,52.5497382199,40.905249723,43.0,20.4071450783,40.6137,3.0
1000.0,66,41.4278978094,-46.2289,0.0,66,41.4825,80.3414,0.228743,41.3871209885,8.56262,33.0584,15.7903225806,40.0,1.23753953954,1000.0,99.9956828753,1000.0,11.0601538471,41.3861,3.0
1000.0,67,42.0640526295,-46.9067,0.0,67,42.1129,81.1521,0.489399,42.0202833998,8.48741,33.2518,15.9692307692,73.0,1.21864860128,1000.0,99.9956828753,1000.0,13.1160139709,42.0196,3.0
1000.0,68,42.8442593838,-47.5723,0.0,68,42.8887,81.986,0.210519,42.7923033794,8.83227,33.3872,17.4827586207,85.0,1.22167168841,1000.0,99.9956828753,1000.0,17.0731099114,42.7935,3.0
1000.0,69,43.391135963,-48.1582,0.0,69,43.4462,82.7529,0.156744,43.3449640909,9.34423,33.5855,14.5882352941,55.0,1.3104879519,1000.0,99.9956828753,1000.0,11.3399804104,43.3446,2.0
1000.0,70,43.9782100458,-48.8617,0.0,70,44.0278,83.5607,0.156971,43.9334958828,9.5183,33.83,13.2631578947,78.0,1.27412411029,1000.0,99.9956828753,1000.0,12.2080305979,43.93,3.0
1000.0,71,44.9360595493,-49.6651,0.0,71,44.9897,84.4256,0.232375,44.88118033,9.33331,34.0614,10.989010989,43.0,1.30514257037,1000.0,99.9956828753,1000.0,8.80496176988,44.882,2.0
1000.0,72,45.4577516655,-50.4867,0.0,72,45.5069,85.222,0.113516,45.3992208221,10.1876,34.2401,11.9397590361,42.0,1.34253357292,1000.0,99.9956828753,1000.0,7.90203481129,45.3975,2.0
1000.0,73,46.257932448,-51.3799,0.0,73,46.3048,85.9171,0.183269,46.1898419644,10.3515,34.4296,14.6615384615,97.0,1.35183985054,1000.0,99.9956828753,1000.0,14.4619148887,46.1896,3.0
1000.0,74,46.9511706903,-52.1035,0.0,74,46.9994,86.7502,0.00781171,46.8796976759,10.8058,34.624,12.6144578313,58.0,1.37174615685,1000.0,99.9956828753,1000.0,10.4982285658,46.8788,3.0
1000.0,75,47.8598235642,-53.1842,0.0,75,47.9101,87.4438,0.0727806,47.7819514372,12.4468,34.7386,14.7014925373,74.0,1.47005451737,1000.0,99.9956828753,1000.0,13.7992157741,47.784,3.0
1000.0,76,48.5812426255,-53.9427,0.0,76,48.6269,88.1743,0.270076,48.5044732533,11.5962,34.8658,12.0361445783,61.0,1.38925124209,1000.0,99.9956828753,1000.0,9.45432365313,48.5001,3.0
1000.0,77,49.5201318914,-54.9681,0.0,77,49.572,88.8834,0.248364,49.441906817,12.5332,35.0314,12.7692307692,93.0,1.46993436956,1000.0,99.9956828753,1000.0,14.377620677,49.4399,3.0
1000.0,78,50.3064381631,-55.704,0.0,78,50.3652,89.7339,0.224738,50.2273736126,12.7025,35.1848,13.1923076923,62.0,1.45861512399,1000.0,99.9956828753,1000.0,11.560385155,50.2261,3.0
1000.0,79,51.0269038344,-56.6809,0.0,79,51.079,90.4747,0.100439,50.9518517643,12.3852,35.3586,11.8292682927,52.0,1.44848908024,1000.0,99.9956828753,1000.0,9.6408744645,50.9509,2.0
1000.0,80,51.8896565593,-57.5287,0.0,80,51.9455,91.2478,0.0783626,51.8179212398,13.8808,35.4923,11.0434782609,55.0,1.5215974574,1000.0,99.9956828753,1000.0,9.69414104036,51.8186,3.0
1000.0,81,52.6892484507,-58.4849,0.0,81,52.7484,91.9593,0.0267639,52.6196015327,13.5233,35.6093,12.6455696203,78.0,1.50059539229,1000.0,99.9956828753,1000.0,13.6298610882,52.6172,3.0
1000.0,82,53.6813280665,-59.5108,0.0,82,53.7575,92.8107,0.259876,53.6182512003,14.4261,35.768,12.525,79.0,1.55054589324,1000.0,99.9956828753,1000.0,12.3672703132,53.6177,3.0
1000.0,83,54.4286573199,-60.4021,0.0,83,54.487,93.618,0.0700192,54.361006669,14.6081,35.8553,11.2555555556,70.0,1.55410186158,1000.0,99.9956828753,1000.0,10.8715337885,54.359,3.0
1000.0,84,55.3263023818,-61.3668,0.0,84,55.3859,94.4025,0.0457815,55.2574878822,15.7779,36.002,12.475,58.0,1.61171328563,1000.0,99.9956828753,1000.0,11.4312892974,55.254,2.0
1000.0,85,56.2258099033,-62.3396,0.0,85,56.297,95.2086,0.181146,56.1558647031,16.6317,36.1552,10.5263157895,49.0,1.64445987008,1000.0,99.9956828753,1000.0,8.74774209095,56.1581,3.0
1000.0,86,57.0577178123,-63.3479,0.0,86,57.1219,96.0241,0.132278,56.9841059698,17.1926,36.3695,12.3456790123,59.0,1.62820964915,1000.0,99.9956828753,1000.0,11.95997491,56.9794,3.0
1000.0,87,57.8867003151,-64.3619,0.0,87,57.9547,96.6399,0.173566,57.8155036121,17.2041,36.6073,11.4827586207,76.0,1.67756639282,1000.0,99.9956828753,1000.0,13.3156739972,57.8127,3.0
1000.0,88,58.8723184101,-65.3567,0.0,88,58.9428,97.2581,0.156745,58.7972860504,18.0151,36.7599,15.1363636364,55.0,1.67329015696,1000.0,99.9956828753,1000.0,13.507446166,58.8023,3.0
1000.0,89,59.8789504742,-66.5103,0.0,89,59.9509,98.0346,0.0913763,59.8113064249,17.8222,36.9215,13.7397260274,82.0,1.7083624769,1000.0,99.9956828753,1000.0,15.7323742622,59.804,3.0
1000.0,90,60.7029270179,-67.4426,0.0,90,60.783,98.7861,0.162699,60.6335530831,17.9284,37.0938,11.1348314607,40.0,1.72523637393,1000.0,99.9956828753,1000.0,9.27748393249,60.6317,3.0
1000.0,91,61.8224577711,-68.6934,0.0,91,61.9141,99.5389,0.166406,61.771151749,20.0682,37.2376,12.55,40.0,1.76277904048,1000.0,99.9956828753,1000.0,10.0397958147,61.7677,3.0
1000.0,92,62.8563233173,-69.7625,0.0,92,62.9301,100.207,0.165034,62.783177106,19.7157,37.4127,11.7294117647,58.0,1.77038188806,1000.0,99.9956828753,1000.0,10.6686878131,62.781,3.0
1000.0,93,63.8652928452,-70.8591,0.0,93,63.9431,100.751,0.178156,63.7883838073,20.6539,37.5593,13.7123287671,75.0,1.78584152188,1000.0,99.9956828753,1000.0,14.8844678188,63.7865,3.0
1000.0,94,64.7362859432,-71.8912,0.0,94,64.8174,101.471,0.149069,64.657615318,21.341,37.6772,12.3580246914,51.0,1.84870849168,1000.0,99.9956828753,1000.0,10.2310452768,64.6523,3.0
1000.0,95,65.7900764865,-73.2348,0.0,95,65.8768,102.18,0.206869,65.7114346423,22.7613,37.8641,10.1515151515,38.0,1.933332777,1000.0,99.9956828753,1000.0,8.8298891357,65.7082,3.0
