AverageAbsQ,AverageQLoss,AverageY,PolicyRegParamNorm,QFunRegParamNorm,AverageDiscountedReturn,Iteration,MinReturn,Epoch,MaxEsReturn,StdEsReturn,AverageAction,AverageEsReturn,AverageAbsQYDiff,AveragePolicySurr,AverageQ,MaxReturn,MinEsReturn,StdReturn,AverageAbsY,AverageReturn
0.140832,0.00261931,0.00772334648283,37.0452,25.5804,16.9891112457,19,-17.5339263529,19,-199.003784578,0.0,0.154491,-199.003784578,0.0348154207411,-0.0447368,0.00762335,154.463122593,-199.003784578,75.7244172919,0.14503884229,37.7521269874
0.146827,0.0025171,0.0199580825248,38.6676,26.9386,6.85463364996,20,-45.6376011015,20,-195.201914758,0.0,0.107152,-195.201914758,0.033682103669,-0.0589467,0.0197477,-31.6403095551,-195.201914758,4.06625458458,0.150771469987,-37.2746602321
0.153318,0.0024597,0.0338830686277,40.3381,28.3263,4.26855187204,21,-3.10031757052,21,-174.812697842,0.0,0.0343253,-174.812697842,0.0329246122293,-0.077081,0.0336928,8.43703687837,-174.812697842,4.32220585411,0.156776774965,3.59653795541
0.162558,0.00270446,0.0536235593713,41.8636,29.7423,11.1748330923,22,-15.1292644331,22,-174.804581797,0.0,0.0451272,-174.804581797,0.0337404346644,-0.0989721,0.0533827,16.2483999333,-174.804581797,8.40046965208,0.1660737159,8.13760305278
0.169831,0.00246747,0.0715961322687,43.2819,31.0941,13.3090744476,23,-118.716958105,23,-114.984540819,0.0,0.0735266,-114.984540819,0.0322965379628,-0.122217,0.0713342,87.2177078502,-114.984540819,49.2250870656,0.173082664799,12.871835762
0.183232,0.00272688,0.102355255289,44.8146,32.4321,18.0646912402,24,-95.620482056,24,-84.8269844844,0.0,0.28727,-84.8269844844,0.0335341561285,-0.156604,0.102045,254.850341436,-84.8269844844,132.731721318,0.186409257211,169.913648273
0.194083,0.00299127,0.128688583921,46.3501,33.7866,23.1169555282,25,125.746857678,25,-89.0002475358,0.0,0.341263,-89.0002475358,0.0344888778752,-0.186309,0.128277,181.780038418,-89.0002475358,15.1410966902,0.197445767116,145.45508253
0.211143,0.00328275,0.15970018196,47.8296,35.0757,14.0714252488,26,-87.8521261354,26,-34.3198499968,0.0,0.477988,-34.3198499968,0.0363130956672,-0.217311,0.159373,359.914982628,-34.3198499968,137.498294326,0.214260043191,239.589154625
0.232754,0.00326724,0.196365583667,49.0275,36.2413,39.7443767278,27,432.94264032,27,-12.1708554007,0.0,0.501405,-12.1708554007,0.0365284306262,-0.253233,0.195905,483.649607884,-12.1708554007,14.585644477,0.235542100005,461.532697659
0.25887,0.00314817,0.234062394384,50.1307,37.2757,44.7223311879,28,412.674926552,28,49.0666259531,0.0,0.607418,49.0666259531,0.0364302844902,-0.291464,0.233777,491.705290551,49.0666259531,21.8149591274,0.261380274934,450.428893054
0.287058,0.00371466,0.271634164581,51.294,38.2897,19.5474852985,29,44.4106372094,29,-7.89597498618,0.0,0.553706,-7.89597498618,0.0392319336272,-0.330367,0.271232,201.395266334,-7.89597498618,44.9287788481,0.28924224631,136.580667801
0.319292,0.00352025,0.309561084677,52.6045,39.2937,33.3352259415,30,14.9076283926,30,160.771336756,0.0,0.656399,160.771336756,0.039722416885,-0.374148,0.30915,311.052052447,160.771336756,86.0111217364,0.321047910507,229.006252628
0.361998,0.00399788,0.356965765535,53.6586,40.3139,20.9353611401,31,135.015579175,31,178.314491495,0.0,0.556029,178.314491495,0.0423510239098,-0.420878,0.356528,241.129231492,178.314491495,26.5945181606,0.363390193442,180.439099654
0.403778,0.00378404,0.400957642975,54.7219,41.189,39.8598839821,32,350.746632259,32,154.825763754,0.0,0.647899,154.825763754,0.0420256898123,-0.467616,0.400578,474.091030418,154.825763754,38.9321897655,0.404922566807,405.585629855
0.454566,0.00421655,0.453322330188,55.8277,42.0682,46.5237280008,33,163.160584326,33,241.442148599,0.0,0.663402,241.442148599,0.0442032735128,-0.523986,0.452931,549.020902593,241.442148599,110.516446603,0.455451128885,481.715515713
0.515813,0.00426995,0.515446122622,56.825,42.8996,37.8504201387,34,434.810180668,34,314.196430243,0.0,0.721102,314.196430243,0.044528824844,-0.586996,0.514973,529.752672197,314.196430243,26.9249274749,0.516544501334,488.754687367
0.566992,0.00425756,0.567115796272,57.6741,43.6629,20.3247396344,35,-290.644691433,35,259.654408845,0.0,0.716842,259.654408845,0.044860864136,-0.638399,0.566578,615.848578729,259.654408845,256.596774909,0.567714606581,460.537891723
0.626865,0.00451494,0.627065888296,58.5668,44.4231,29.3428707131,36,188.521808786,36,299.946715656,0.0,0.782399,299.946715656,0.0461168844399,-0.701428,0.626602,428.912897408,299.946715656,73.634849435,0.627457521493,310.182813881
0.698245,0.00483612,0.698637617003,59.5437,45.1978,49.5564159202,37,485.569018466,37,386.779603421,0.0,0.770137,386.779603421,0.0479325286499,-0.775357,0.698104,628.042758395,386.779603421,43.0802012968,0.698872235578,552.106425452
0.764183,0.00508216,0.764727114354,60.4846,45.8919,44.8348349973,38,465.805473722,38,359.335913425,0.0,0.806857,359.335913425,0.0484301773704,-0.845025,0.764115,662.015383197,359.335913425,55.9634269166,0.764844685805,574.412947412
0.832591,0.00484573,0.83323538838,61.3554,46.5782,63.6429743743,39,559.076900345,39,436.386843063,0.0,0.758159,436.386843063,0.0486689826932,-0.912623,0.832576,704.288816263,436.386843063,46.7643007499,0.833301128392,663.732908975
0.905854,0.00510287,0.906629435309,62.1122,47.26,62.4796790441,40,671.435839622,40,355.793203742,0.0,0.705296,355.793203742,0.049491645102,-0.986277,0.905845,750.69959761,355.793203742,25.1553372343,0.906695113601,721.749652393
0.978009,0.00528013,0.978641206984,62.8512,47.9323,73.0233462325,41,736.450238286,41,496.675388519,0.0,0.753337,496.675388519,0.049565686002,-1.05732,0.977997,788.689341164,496.675388519,17.436857252,0.978680276147,760.332562282
1.04295,0.00500893,1.04365722654,63.6048,48.4968,41.0878426868,42,359.640331179,42,496.887136535,0.0,0.777007,496.887136535,0.0483511071209,-1.11846,1.04295,754.30464872,496.887136535,123.722111672,1.04371025079,603.501624844
1.11359,0.00516768,1.11434726278,64.3409,49.1398,36.1476473223,43,409.089917994,43,467.28548984,0.0,0.697137,467.28548984,0.0484491688006,-1.18807,1.11359,713.28959105,467.28548984,93.3096729626,1.11440087437,580.498225192
1.17841,0.00503973,1.17928841338,65.0393,49.7626,51.349001634,44,691.454668403,44,534.958285773,0.0,0.744417,534.958285773,0.0477310514009,-1.25229,1.17841,798.780916426,534.958285773,31.1299739611,1.179308961,750.035052986
1.24346,0.00580048,1.24401156492,65.6546,50.3254,16.7351981458,45,348.727598601,45,653.60813705,0.0,0.759687,653.60813705,0.048539122728,-1.32257,1.24346,812.123240699,653.60813705,128.111317101,1.24410910316,629.679805668
1.31615,0.00626683,1.31681978031,66.3098,50.9354,49.8705139094,46,687.407222714,46,579.930289459,0.0,0.777682,579.930289459,0.0506921521793,-1.39377,1.31615,898.680032591,579.930289459,57.2953662352,1.31687139619,833.081221036
1.3866,0.00692977,1.38729794789,67.0644,51.5631,64.4652482191,47,210.297525127,47,614.476430757,0.0,0.747584,614.476430757,0.0512341044542,-1.46508,1.3866,823.104049916,614.476430757,180.131626623,1.38737885141,706.405439397
1.45606,0.00606988,1.45663414796,67.8324,52.1164,46.6162024667,48,-174.318451713,48,643.016815206,0.0,0.672443,643.016815206,0.0508062170281,-1.5361,1.45606,914.888743678,643.016815206,381.436999144,1.45668553205,618.480243527
1.53886,0.00694816,1.53945509795,68.5593,52.7109,41.3809681666,49,-63.3957632592,49,597.557632021,0.0,0.394299,597.557632021,0.0522187202302,-1.62076,1.53886,931.028956974,597.557632021,400.928863578,1.53952487437,320.797286547
1.61613,0.00735261,1.61676956085,69.2266,53.3048,-9.35718708444,50,-158.290207731,50,573.72668843,0.0,0.230781,573.72668843,0.0534873115156,-1.69922,1.61613,296.681450876,573.72668843,118.18296011,1.61681092566,-43.7851990647
1.69379,0.00788391,1.69442462931,69.8781,53.8425,51.0967287727,51,706.809815109,51,683.664885105,0.0,0.808089,683.664885105,0.0546518184372,-1.77453,1.69379,814.6363866,683.664885105,29.4834820596,1.69449954167,773.979116338
1.76576,0.00942534,1.76635147854,70.4113,54.3908,44.8571877945,52,-324.605643228,52,659.961558239,0.0,0.763885,659.961558239,0.0564057033195,-1.84609,1.76576,1116.90209116,659.961558239,561.066554386,1.76642532956,567.940713273
1.83985,0.00810885,1.84046921458,71.0765,54.9108,29.152461785,53,-183.981418496,53,632.235089302,0.0,0.558352,632.235089302,0.0554465846367,-1.91956,1.83985,1112.40631081,632.235089302,604.052860851,1.84052469286,318.194522323
1.9182,0.00859813,1.91877229439,71.6907,55.4209,45.7239577757,54,-281.521252596,54,622.968205217,0.0,0.664079,622.968205217,0.0561820970757,-1.99716,1.91817,1018.92728524,622.968205217,586.506745441,1.91882367526,474.373250782
1.98896,0.00969697,1.98952498349,72.3222,56.0002,49.2469209427,55,577.896485203,55,617.156934045,0.0,0.800409,617.156934045,0.0586782978839,-2.06612,1.98896,998.05357514,617.156934045,135.525835615,1.98959600381,798.525026227
2.06315,0.00982887,2.06381593793,72.9695,56.5514,38.7183738351,56,-45.5244074075,56,599.543601243,0.0,0.742894,599.543601243,0.059802421607,-2.14298,2.06315,845.8074644,599.543601243,265.802959704,2.06389136871,545.75964934
2.13952,0.00949832,2.14014095412,73.5419,57.0151,3.13009783303,57,-27.5503314607,57,627.633423155,0.0,0.732695,627.633423155,0.0598842962312,-2.22045,2.13952,508.24308408,627.633423155,198.81345169,2.14016746585,158.080823006
2.21831,0.0116464,2.21905054139,74.0835,57.5297,43.859135025,58,417.114964465,58,655.139817364,0.0,0.843239,655.139817364,0.0618427090456,-2.30053,2.21831,964.373076442,655.139817364,160.590562888,2.21912985173,744.68693482
2.29471,0.0113584,2.29532188831,74.7402,58.0465,37.5515531874,59,244.043379926,59,677.94581015,0.0,0.860296,677.94581015,0.0626460909975,-2.377,2.29471,725.45987154,677.94581015,151.473885797,2.29538675778,573.785605909
2.37276,0.0123899,2.3734926267,75.2645,58.5129,46.0962666259,60,-23.4682341445,60,669.491856017,0.0,0.861119,669.491856017,0.0640168091963,-2.45446,2.37276,756.669345016,669.491856017,202.84212747,2.3735550679,534.728594898
2.4509,0.013452,2.45157531542,75.8289,58.9737,56.2940242724,61,373.242405442,61,566.428731274,0.0,0.862212,566.428731274,0.0655922852193,-2.53574,2.4509,934.500631665,566.428731274,168.41936627,2.4516511383,809.503993074
2.53036,0.012598,2.5310744537,76.3642,59.4326,77.3169920403,62,-80.6361765405,62,595.85658137,0.0,0.785356,595.85658137,0.0657694109556,-2.61356,2.53036,931.275501646,595.85658137,291.989265789,2.53111619276,784.113164994
2.60656,0.0141649,2.60711316176,76.9718,59.9168,16.3146683852,63,-132.293801321,63,725.650128528,0.0,0.531678,725.650128528,0.0673502989269,-2.68896,2.60656,945.291209445,725.650128528,430.096056308,2.6071527334,274.301396746
2.68972,0.0145303,2.69041747887,77.5231,60.4442,72.1501782535,64,815.591287729,64,755.738865214,0.0,0.850702,755.738865214,0.0684999361977,-2.77311,2.68972,988.639947174,755.738865214,61.4525324995,2.69049269295,896.380986325
2.76983,0.0157348,2.77051025674,78.1184,60.8966,53.4799588726,65,405.136470202,65,703.896282104,0.0,0.82693,703.896282104,0.0697404673132,-2.85518,2.76983,961.530555768,703.896282104,187.200412922,2.77054669582,774.37870115
2.84864,0.0152371,2.84931884986,78.7506,61.3573,60.5563729816,66,776.561826398,66,632.32386992,0.0,0.835728,632.32386992,0.0693787387285,-2.93151,2.84864,1060.892305,632.32386992,76.74477495,2.84937823687,924.858911804
2.92646,0.0164601,2.92693630619,79.3338,61.7891,43.0200937896,67,275.093034153,67,763.142875506,0.0,0.843809,763.142875506,0.0707036160181,-3.00915,2.9263,977.171892437,763.142875506,181.04037577,2.92699221202,773.585480619
3.00562,0.0171486,3.00633745571,79.7844,62.1809,55.7750040304,68,639.596034699,68,630.081891171,0.0,0.841392,630.081891171,0.070589253916,-3.08635,3.00562,1002.80720151,630.081891171,97.8076581665,3.00638075936,869.333542635
3.07924,0.0209351,3.07993801918,80.2579,62.6103,74.1979093274,69,593.149187625,69,715.405677927,0.0,0.848419,715.405677927,0.0735047080081,-3.15964,3.07924,1026.40012508,715.405677927,114.360061003,3.07998830176,852.733327961
3.15387,0.0168221,3.15442692391,80.7576,63.0356,83.4197212107,70,736.415222761,70,724.986298437,0.0,0.851122,724.986298437,0.0707987440656,-3.2355,3.15387,997.290416321,724.986298437,67.2024956801,3.15447013743,902.105195695
3.22785,0.0201362,3.2283955392,81.3397,63.5152,68.5136414433,71,911.993162519,71,697.856885467,0.0,0.821388,697.856885467,0.0729475228079,-3.30924,3.22785,1004.87977504,697.856885467,26.8936970568,3.228452145,971.71176275
3.30635,0.0193801,3.30727471827,81.8537,63.8953,69.7874440741,72,717.010092921,72,703.930660168,0.0,0.874967,703.930660168,0.0734141903675,-3.38751,3.30635,900.282304407,703.930660168,68.3979559805,3.30732618782,841.313022745
3.38086,0.0219984,3.38155102125,82.3857,64.3479,67.6261790136,73,929.032294604,73,760.213749196,0.0,0.824264,760.213749196,0.0756366587793,-3.46191,3.38086,1090.62498268,760.213749196,50.7824891728,3.38163155589,1022.45842461
3.45656,0.0203256,3.45731701902,82.9023,64.755,94.1579359438,74,867.486216502,74,731.92250803,0.0,0.871005,731.92250803,0.0750374611099,-3.53852,3.45656,1393.49845523,731.92250803,186.755698693,3.45735907915,1126.32675445
3.53425,0.020589,3.53491668067,83.4201,65.1847,92.0392682033,75,1045.60818011,75,755.06704151,0.0,0.834849,755.06704151,0.0751084672281,-3.61453,3.53425,1247.04716854,755.06704151,59.04802641,3.5349770229,1144.76145812
3.6022,0.0209913,3.60287995584,83.8752,65.5834,76.6509261245,76,819.933746183,76,854.024948444,0.0,0.90252,854.024948444,0.0753641907099,-3.68534,3.6022,1249.39052896,854.024948444,120.592284046,3.60290652651,1096.32336308
3.68465,0.0213214,3.68532442631,84.3731,65.9469,91.3002957709,77,394.044065378,77,744.348063605,0.0,0.838682,744.348063605,0.0763323974961,-3.76374,3.68465,1238.66833238,744.348063605,217.798838709,3.68534675198,995.807033786
3.75998,0.0226937,3.76074168958,84.7663,66.3206,102.806723055,78,921.315532513,78,735.477504198,0.0,0.873478,735.477504198,0.0787237261118,-3.84425,3.75998,1103.06093377,735.477504198,64.1323893757,3.76079651535,1042.93486924
3.84389,0.0267951,3.84465730437,85.3721,66.7991,91.8234209473,79,886.981284813,79,771.737211007,0.0,0.817075,771.737211007,0.0821054478414,-3.92459,3.84389,1082.97441416,771.737211007,59.3179641949,3.84471958786,1017.14529609
3.91003,0.0275829,3.91082014619,85.8744,67.2002,117.744874867,80,930.039108868,80,701.472316408,0.0,0.876678,701.472316408,0.082938424536,-3.99361,3.91003,1476.85495316,701.472316408,168.666360026,3.91090063441,1166.54305596
3.99589,0.0267752,3.99658931365,86.3191,67.6111,136.964417574,81,956.47801947,81,776.808027539,0.0,0.870712,776.808027539,0.0835907994113,-4.08036,3.99589,1439.05011186,776.808027539,180.961457343,3.99663355675,1178.47555397
4.08239,0.02692,4.08319583774,86.7594,68.0757,109.089412178,82,1000.17858401,82,770.7243983,0.0,0.869818,770.7243983,0.0848994777673,-4.16805,4.08239,1327.7667783,770.7243983,108.865937103,4.08325074265,1129.60625306
4.17126,0.032109,4.17189991362,87.3534,68.4201,85.6357283328,83,939.433891429,83,1144.4607908,0.0,0.957204,1144.4607908,0.0866561375747,-4.25369,4.17126,1109.8539254,1144.4607908,57.683812588,4.17195103722,1001.62192864
4.24958,0.0247624,4.25032228018,87.823,68.8365,126.445096395,84,564.04345844,84,856.395630193,0.0,0.879588,856.395630193,0.0833747993251,-4.33594,4.24958,1506.84801746,856.395630193,282.404829703,4.25036087085,996.919246357
4.32877,0.0281042,4.32960391606,88.3013,69.2236,159.784731247,85,518.060152552,85,672.390800282,0.0,0.885106,672.390800282,0.0865452681638,-4.41597,4.32877,1771.38639898,672.390800282,341.733671106,4.32965235636,1169.86542187
4.40963,0.0364706,4.41059865961,88.7321,69.6674,129.306896888,86,91.124894346,86,782.234195768,0.0,0.895381,782.234195768,0.0922639745474,-4.49595,4.40963,2001.42306474,782.234195768,453.637869153,4.41066609437,1114.10821936
4.48657,0.0296945,4.48742574141,89.2031,70.061,148.13538517,87,673.989378856,87,773.414511646,0.0,0.871853,773.414511646,0.088262223025,-4.57522,4.48657,2213.44080484,773.414511646,446.354236269,4.48745737903,1105.80765948
4.58111,0.0290213,4.58155353673,89.6184,70.3941,162.655389122,88,1130.11991486,88,1080.05947579,0.0,0.942917,1080.05947579,0.0870135649128,-4.67127,4.58111,1999.16025694,1080.05947579,277.744374979,4.58159925219,1654.21842661
4.66784,0.0352173,4.66890907966,90.1758,70.867,143.171364288,89,1146.6893179,89,828.72543926,0.0,0.933607,828.72543926,0.0921721082976,-4.7584,4.66784,1899.53181728,828.72543926,268.29596375,4.66895801224,1484.47377595
4.75588,0.0365809,4.75661953364,90.653,71.2682,142.96116149,90,975.242822369,90,1165.8378217,0.0,0.913275,1165.8378217,0.0930607337176,-4.84539,4.75588,2353.10521417,1165.8378217,438.310378463,4.75668721548,1345.7004455
4.83265,0.0322512,4.83354039451,91.149,71.6626,139.975324522,91,889.488972726,91,803.024477455,0.0,0.892377,803.024477455,0.0906566367302,-4.92417,4.83262,1578.61227978,803.024477455,241.63278641,4.83358639757,1110.98410644
4.90662,0.0405579,4.90748341642,91.6884,72.03,99.7809892131,92,721.042453069,92,776.858045831,0.0,0.879276,776.858045831,0.0951818085004,-4.99604,4.90662,1296.66177834,776.858045831,152.629645698,4.90753979822,1017.79725192
4.9873,0.0366007,4.98780099108,92.0688,72.4541,107.927169219,93,573.841649553,93,741.446178451,0.0,0.891066,741.446178451,0.0942890842409,-5.08021,4.9873,1631.00753377,741.446178451,246.871043707,4.98786154565,1133.14293773
5.07118,0.0322832,5.07231554754,92.5137,72.8462,156.320999675,94,450.880229698,94,681.298155137,0.0,0.849453,681.298155137,0.0937121095812,-5.15817,5.07118,1737.14221229,681.298155137,358.588409343,5.07235974356,1254.69075843
5.1556,0.0394347,5.15643431446,92.9742,73.2247,132.84684394,95,836.575052682,95,831.996630819,0.0,0.884038,831.996630819,0.0978292506503,-5.24198,5.1556,2138.4198875,831.996630819,366.171215962,5.1564718732,1181.2731067
5.22367,0.0405255,5.22453309634,93.4471,73.6102,167.60912338,96,818.594040611,96,865.564897326,0.0,0.893717,865.564897326,0.095436483858,-5.31163,5.22367,2071.59201685,865.564897326,339.066758595,5.22460709391,1208.39892025
5.31825,0.0334581,5.31903186422,93.9112,73.9937,135.809585044,97,-399.014293073,97,794.996621758,0.0,0.860291,794.996621758,0.0954146817598,-5.40948,5.31825,1766.38840904,794.996621758,530.331161642,5.31908863223,910.245385082
5.40025,0.0418573,5.40103285893,94.3558,74.4214,146.917783651,98,824.945893641,98,1078.65801745,0.0,0.887091,1078.65801745,0.0991866173669,-5.49745,5.40025,1584.80074617,1078.65801745,242.047182384,5.40109220689,1137.2339778
5.49487,0.0450389,5.49584488854,94.8074,74.7958,161.970890302,99,1127.16856139,99,654.882725746,0.0,0.935067,654.882725746,0.102832782651,-5.5876,5.49487,2125.19583656,654.882725746,329.351553464,5.49589873756,1681.22095074
5.58363,0.0511352,5.58460293331,95.2418,75.1631,132.635581785,100,869.318413301,100,1540.07555161,0.0,0.847127,1540.07555161,0.10459522865,-5.67881,5.58363,1864.71509401,1540.07555161,302.531665608,5.58464415136,1355.19807154
5.6854,0.0437707,5.6861762504,95.7547,75.5283,165.336369196,101,344.93548814,101,1678.30022396,0.0,0.862818,1678.30022396,0.103620914571,-5.77259,5.6854,2578.76412313,1678.30022396,535.48657322,5.68622077079,1354.06577896
5.78522,0.0549732,5.78634946339,96.1702,75.883,193.434438836,102,1316.12381704,102,1306.2407182,0.0,0.971932,1306.2407182,0.109504792071,-5.87403,5.78522,2401.00253289,1306.2407182,309.877536964,5.78639715387,2169.25733615
5.87762,0.0423403,5.87829960243,96.5787,76.2386,164.500934497,103,1019.22869295,103,936.070562316,0.0,0.890807,936.070562316,0.107540431275,-5.97092,5.87762,2025.68238823,936.070562316,297.609051243,5.87834552253,1396.18596044
5.96302,0.0546309,5.96394993974,97.0346,76.666,155.981228342,104,528.499591245,104,1014.40537874,0.0,0.845805,1014.40537874,0.112084615606,-6.05847,5.96302,2021.17954296,1014.40537874,393.428276796,5.96402336159,1233.22343624
6.04936,0.0582037,6.05051267517,97.531,77.1197,150.83482266,105,1712.0307575,105,1501.63920991,0.0,0.980886,1501.63920991,0.11728940264,-6.14648,6.04936,1861.96945485,1501.63920991,46.4525340207,6.05057077437,1795.21973745
6.16933,0.0561001,6.17053163495,97.9767,77.4818,187.324409061,106,1291.84456155,106,625.313775932,0.0,0.958286,625.313775932,0.118773926096,-6.27333,6.16933,2423.02807213,625.313775932,396.806331732,6.17057658442,2127.76301346
6.2661,0.0547836,6.26702555454,98.4084,77.8865,164.805938259,107,942.606042385,107,1342.70679286,0.0,0.948378,1342.70679286,0.117336659402,-6.37146,6.2661,2081.34468512,1342.70679286,457.45629659,6.26707546088,1661.5389737
6.37591,0.0681291,6.37697675024,98.8243,78.2077,190.772474995,108,1039.63133619,108,1486.61285038,0.0,0.973866,1486.61285038,0.12148040098,-6.47549,6.37591,2470.33700426,1486.61285038,416.396826686,6.37704954373,2133.89423087
6.46247,0.0501559,6.46385407123,99.2354,78.5688,178.233391855,109,1066.38708812,109,858.34129347,0.0,0.96357,858.34129347,0.115225333942,-6.56963,6.46247,2389.99149962,858.34129347,391.68701884,6.46388467683,2069.75879836
6.58053,0.0630302,6.58184820436,99.6625,78.9636,143.458208509,110,-256.731259423,110,1754.40115134,0.0,0.865166,1754.40115134,0.121410853353,-6.6836,6.58053,1725.19967569,1754.40115134,638.998112493,6.58192188672,941.990902318
6.6667,0.0614734,6.66760804369,100.15,79.3129,120.899268242,111,-246.044956118,111,789.142148455,0.0,0.857366,789.142148455,0.119808369825,-6.76916,6.6667,1347.57660121,789.142148455,514.988652624,6.66765692604,890.771122396
6.76434,0.0590007,6.76538495161,100.654,79.6879,124.956276556,112,-135.939847249,112,1741.79792706,0.0,0.853091,1741.79792706,0.122823216905,-6.86703,6.76434,1318.20723644,1741.79792706,508.373042588,6.76541819165,650.058245313
6.84716,0.0786035,6.84866507326,101.121,80.0509,118.362505068,113,304.992043063,113,645.382256078,0.0,0.846919,645.382256078,0.128265180435,-6.94596,6.84716,1526.11284516,645.382256078,285.996460806,6.84870885215,964.090889303
6.93262,0.0725989,6.9338189649,101.541,80.4088,143.28360199,114,-138.708395984,114,701.855901322,0.0,0.852309,701.855901322,0.125747037499,-7.03299,6.93262,1213.2260738,701.855901322,365.054058808,6.93385560742,798.701324636
7.03355,0.0846681,7.0345221306,101.952,80.7741,189.179358184,115,744.890856532,115,1082.42306531,0.0,0.921141,1082.42306531,0.129973289684,-7.13481,7.03355,2812.70397099,1082.42306531,649.567367725,7.0346002123,1572.76462499
7.14727,0.0702481,7.14859497886,102.404,81.1156,168.14810956,116,-99.0502377695,116,1698.80623114,0.0,0.905882,1698.80623114,0.129301826288,-7.24826,7.14727,2675.15325288,1698.80623114,658.376040038,7.14862703367,1340.22193506
7.22955,0.0707095,7.23091654176,102.893,81.4307,208.633619139,117,961.76284457,117,1447.96371715,0.0,0.958646,1447.96371715,0.12896417555,-7.33277,7.22955,2684.35408574,1447.96371715,658.035469614,7.23099054193,2201.09159958
7.33498,0.072708,7.33624286692,103.282,81.7414,231.648378208,118,650.608055218,118,817.268042635,0.0,0.926973,817.268042635,0.130969340089,-7.43799,7.33498,2936.13182,817.268042635,747.357166318,7.33630132803,1864.28321937
7.43768,0.0833234,7.43895982149,103.679,82.1245,171.42907173,119,-222.015716022,119,1283.55574345,0.0,0.904621,1283.55574345,0.13390815741,-7.5417,7.43768,1535.84799084,1283.55574345,590.462553523,7.43899931291,767.816092203
7.5144,0.0843538,7.51555510317,104.065,82.449,174.135686019,120,-207.490661328,120,1721.33155493,0.0,0.898863,1721.33155493,0.134094685336,-7.61765,7.5144,1533.23906983,1721.33155493,652.388416102,7.51562664046,794.850023133
7.63813,0.0673317,7.63924744681,104.494,82.8021,202.194755052,121,1695.31103856,121,829.60511849,0.0,0.977516,829.60511849,0.131034205894,-7.74568,7.63813,2458.25824919,829.60511849,200.237790238,7.63929253339,2257.44377363
7.72696,0.0908338,7.72852834351,104.874,83.1271,208.614279909,122,295.630764091,122,1666.72365704,0.0,0.972556,1666.72365704,0.136319673817,-7.83064,7.72696,2600.39363231,1666.72365704,763.922196135,7.72859318525,2046.90436569
