PolicyRegParamNorm,AverageDiscountedReturn,AverageAbsQYDiff,MinReturn,Epoch,MinEsReturn,AverageY,QFunRegParamNorm,AverageEsReturn,AveragePolicySurr,AverageReturn,StdReturn,Iteration,MaxReturn,StdEsReturn,AverageAbsY,AverageQ,AverageAbsQ,AverageAction,AverageQLoss,MaxEsReturn
13.0702,34.5209014937,0.292387450644,36.7145411274,19,35.2471867726,10.6853120035,21.7446,41.891666666,-11.6646,38.8483568524,0.95504976853,19,40.8025628856,6.04547487907,10.6957696895,10.6841,10.7,1.0,0.284019,68.015383433
13.0738,34.5145573168,0.303261931779,36.5964128471,20,11.1849407744,12.069804709,22.7222,40.3461759708,-13.1242,38.8436980072,0.951194614684,20,40.8393922435,5.51346292745,12.0781361818,12.0687,12.0834,1.0,0.282411,53.8134171002
13.0767,34.4218987761,0.317083983194,36.6178316841,21,32.802186655,13.3995139184,23.7048,40.5464350838,-14.5332,38.724166261,0.88743859706,21,40.8128362071,2.49287528776,13.4071823295,13.3983,13.4123,1.0,0.356468,47.1452718889
13.0795,34.4545679138,0.340955502855,36.6825677135,22,21.6410623369,14.7202542257,24.6479,40.7377789038,-15.9308,38.7645397596,0.925443519702,22,40.7470125567,4.78795071692,14.7276852961,14.7191,14.7343,1.0,0.372131,52.8390764871
13.0821,34.4996568571,0.370169019672,36.6636463676,23,29.9878780733,15.9477279763,25.6432,40.3574695031,-17.2048,38.8215128671,0.941326318114,23,40.7139093161,3.6416706291,15.9538453702,15.9467,15.9602,1.0,0.478314,54.5252792587
13.0845,34.5164098437,0.369815876581,36.6610478562,24,21.7478176706,17.1490670614,26.5863,41.6422014116,-18.4048,38.8442969377,0.969621085643,24,41.8899674232,5.75020746691,17.1551689766,17.1478,17.1622,1.0,0.399434,64.3503182342
13.0863,34.4321318612,0.403035897731,36.7494497705,25,3.08234581755,18.2403422424,27.4907,41.0044862052,-19.4854,38.7374288083,0.965495543009,25,40.6764104226,7.37005964756,18.2473182982,18.2388,18.2546,1.0,0.479068,60.6843660988
13.0863,34.410147616,0.414222591379,36.6726193142,26,36.5780677544,19.1458476172,28.412,41.2793858445,-20.3327,38.7102526883,0.8959751548,26,40.6142440552,4.35296574362,19.1529719931,19.1444,19.16,1.0,0.527818,59.9426319423
13.0837,34.5188335719,0.433524426896,36.7020449449,27,11.9719967424,19.9720469546,29.2982,41.1037448083,-21.1168,38.8481476071,0.934097772899,27,40.7587094241,7.65604872944,19.9774562601,19.9718,19.9852,1.0,0.611768,77.9271386971
13.2216,34.3998884036,0.423079888187,36.7016405801,28,12.8438163745,20.4986427387,30.03,39.6405475986,-21.5755,38.6974804499,0.960374533416,28,40.6738551937,6.57946300118,20.5048413918,20.4974,20.5113,1.0,0.556512,61.4927611323
13.2344,34.4684297947,0.438778493381,36.7071017428,29,3.05386614255,21.1054347505,30.7185,43.2290969542,-22.1021,38.7822631886,0.862093769821,29,40.6452662446,10.5816659609,21.1107009526,21.104,21.118,1.0,0.599688,77.293871182
13.239,34.4828505497,0.42096592505,36.7587964302,30,36.3702876066,21.430647254,31.3585,41.2652532625,-22.3845,38.8010153959,0.929417203745,30,40.7416148488,3.93908977656,21.4351758203,21.4303,21.4424,1.0,0.538695,60.1257395529
13.2426,34.457794165,0.416361363034,36.7433736781,31,36.601936416,21.7587697952,31.9309,41.5365267887,-22.6612,38.7699546994,1.00022081173,31,40.7815172797,7.4487750965,21.7637151588,21.7583,21.7714,1.0,0.551161,77.6610326443
13.2465,34.5045346384,0.417442241882,36.7175971687,32,27.1015489127,21.9065037231,32.4067,41.6246580735,-22.7421,38.8307191933,0.956190520751,32,40.7872394125,6.61406973557,21.9107746859,21.9056,21.9177,1.0,0.561845,76.1539462317
