StdEsReturn,AverageQLoss,QFunRegParamNorm,MinReturn,AverageAbsQ,Iteration,Epoch,MaxEsReturn,AverageAction,AverageDiscountedReturn,AverageReturn,AverageEsReturn,AverageAbsQYDiff,MaxReturn,AverageQ,PolicyRegParamNorm,AverageAbsY,StdReturn,AveragePolicySurr,MinEsReturn,AverageY
2.34802981346,0.000360018,25.8163,-20.6356008311,0.1993,49,49,98.5477610591,0.30212,30.1733519624,67.3776710376,92.7803566927,0.0088730853974,95.1127740298,0.1993,22.5615,0.19927747337,48.8156077862,-0.210675,90.8235528035,0.199276538749
31.6955892773,0.000350597,26.3303,93.6735942684,0.210486,50,50,95.5268804305,0.761311,44.1620572673,94.343741471,80.2631253251,0.00804711252143,94.7400798685,0.210486,22.8295,0.210535356847,0.296168207875,-0.222927,-3.433036314,0.210534811341
4.18591424613,0.000702856,26.8114,-99.8999941826,0.226368,51,51,98.6004002948,0.988682,4.59486269589,-5.23987115146,92.0855438403,0.0101764947147,88.7112585655,0.226367,22.8782,0.226353082589,91.3329091825,-0.238485,86.0205761073,0.226352591156
0.0,0.000586773,27.3568,-99.9,0.233225,52,52,-25.253523782,1.0,-9.99956392679,-99.9,-25.253523782,0.00921464352855,-99.9,0.233222,22.6373,0.233215192426,0.0,-0.24636,-25.253523782,0.233214457717
2.18524478753,0.000627152,27.701,-99.9,0.245807,53,53,-62.973901256,1.0,-9.99956392679,-99.9,-65.1591460435,0.0102460546802,-99.9,0.245806,22.673,0.245819024414,0.0,-0.259019,-67.344390831,0.245818510287
0.0,0.00050416,28.1037,-99.9,0.251453,54,54,-0.0427283729208,1.0,-9.99956392679,-99.9,-0.0427283729208,0.00931638736283,-99.9,0.251449,22.6892,0.251444596196,0.0,-0.263404,-0.0427283729208,0.251443875441
67.2599080473,0.000771179,28.5789,-99.9,0.260453,55,55,81.8477105062,1.0,-9.99956392679,-99.9,23.5263500925,0.0114366383998,-99.9,0.260449,22.6994,0.260481298649,0.0,-0.273708,-70.7097251221,0.260480569204
41.1195509843,0.000937967,28.8875,-99.9,0.268618,56,56,89.4765534675,1.0,-9.99956392679,-99.9,57.4484514875,0.0115455447108,-99.9,0.268611,22.7064,0.26861256106,0.0,-0.280811,-11.7813239131,0.268611442242
41.1330220779,0.000598462,29.2282,-99.9,0.276185,57,57,82.7427432001,1.0,-9.99956392679,-99.9,56.8354092345,0.00997374592019,-99.9,0.276185,22.7121,0.276207987817,0.0,-0.287329,-14.3710873538,0.276207457941
39.6887676401,0.000674581,29.535,-99.9,0.282321,58,58,67.9489182079,1.0,-9.99956392679,-99.9,28.2601505678,0.0106987052667,-99.9,0.282316,22.7174,0.282319461648,0.0,-0.293982,-11.4286170723,0.282318859236
53.1528435835,0.00074475,29.8532,-99.9,0.290692,59,59,91.9380320797,1.0,-9.99956392679,-99.9,56.4282846355,0.010733631141,-99.9,0.29069,22.7168,0.290714461663,0.0,-0.301182,-35.4405543651,0.290713720315
45.4390475535,0.000642232,30.0978,-99.9,0.299258,60,60,77.8398100512,1.0,-9.99956392679,-99.9,35.1368593938,0.0107787237135,-99.9,0.299254,22.7162,0.299274878614,0.0,-0.308917,-27.8007201972,0.299274090449
34.443331457,0.000592055,30.3472,89.7248560396,0.299381,61,61,80.9830684989,0.848195,30.3697743404,91.1416661239,44.0501355441,0.00994209013895,94.1231971189,0.29938,22.9742,0.299390396954,1.34118025176,-0.30776,-1.92057552032,0.299389486951
1.49690059856,0.000922402,30.635,90.1201789749,0.307856,62,62,96.6338668306,0.835667,41.623814612,93.3451750579,93.912676465,0.0120093061029,94.5069201194,0.307849,23.3641,0.307864511127,1.40553216075,-0.317148,90.5870401916,0.307863448194
2.52825618853,0.000515221,31.0748,93.619826244,0.315934,63,63,99.3600633237,0.910203,46.3329847047,93.7734683974,92.8311006264,0.00984804348198,93.828791974,0.315929,23.5999,0.315943662662,0.0592857811785,-0.324766,89.6230596036,0.315943064573
2.12123358758,0.000641009,31.3197,89.1430892011,0.326883,64,64,99.2150598699,0.903779,35.8223257172,91.7238497001,93.8192733042,0.0105323958601,94.2198914545,0.32688,23.9198,0.326886862644,2.13915813257,-0.335225,90.6944433441,0.32688603927
1.70488718717,0.000504089,31.5568,93.8806406396,0.33366,65,65,96.7868647947,0.812917,45.8869812673,94.2868444436,93.5872819478,0.00992252750306,94.4999253893,0.333659,23.8841,0.333692648161,0.161520323604,-0.341772,90.7553351545,0.33369198406
2.44228898288,0.000600679,31.8971,93.6766672708,0.344398,66,66,99.3433176948,0.823651,45.8001442595,94.203914055,94.3372248937,0.0101126361809,94.4430873508,0.344397,24.1841,0.344371655773,0.189626987726,-0.352572,88.9801214655,0.344370994688
2.34278318029,0.000440308,32.169,93.978245394,0.352334,67,67,99.2079181155,0.837168,45.8629697024,94.1404092017,93.9359026438,0.00995088244529,94.2756081511,0.352334,24.6081,0.352364459056,0.0874946728648,-0.359913,89.7321529051,0.352364046443
