QFunRegParamNorm,Iteration,AverageY,MaxReturn,StdEsReturn,AverageAction,AverageQLoss,AverageEsReturn,Epoch,AverageAbsY,AverageReturn,MaxEsReturn,StdReturn,AverageQ,AverageDiscountedReturn,PolicyRegParamNorm,MinReturn,AveragePolicySurr,MinEsReturn,AverageAbsQ,AverageAbsQYDiff
31.4545,66,5.60492260117,576.491403377,91.5186682905,0.8905,0.218146,120.264829231,66,5.62837188686,129.995257889,272.686635664,153.217213575,5.60292,60.4177470177,31.2115,-44.9954968206,-6.14114,37.6273788788,5.6268,0.261047526721
31.7711,67,5.77351089087,413.759374538,170.04922244,0.913367,0.233677,168.320043893,67,5.79633651725,293.377045861,484.41299925,59.5257859478,5.77104,119.922190287,31.4772,158.842882865,-6.29087,-57.5997186723,5.79401,0.266490032099
32.0612,68,5.93850979688,993.477502854,119.986288676,0.86374,0.222524,128.601055146,68,5.95956349946,437.447499584,342.931374259,200.621364074,5.93687,116.421467205,31.6791,82.8066567922,-6.45999,-13.487355679,5.95905,0.263590562698
32.3322,69,6.10196972355,756.285196494,122.016286443,0.88086,0.241687,96.0705876394,69,6.12195632943,371.976676952,346.680207945,97.3884921358,6.0995,111.823823316,31.8831,16.2304925203,-6.64057,-19.5084138536,6.12036,0.27069053845
32.6429,70,6.25817790908,958.674303786,78.290504135,0.885637,0.248971,174.626850096,70,6.27750129091,611.925245239,267.590691629,247.144340679,6.25634,116.097608562,32.0576,374.467065589,-6.79983,56.1803536152,6.27626,0.271246102769
32.8958,71,6.41534853563,608.371511307,144.538627578,0.899937,0.250707,176.342024499,71,6.43275354656,329.936113677,421.241109599,108.937843464,6.41336,106.478325839,32.1825,59.9891457136,-6.97796,12.1597856604,6.43124,0.274697732681
33.1806,72,6.61399838329,929.937612883,111.285051948,0.92274,0.269583,130.152146697,72,6.6298077672,265.506653537,298.755402422,145.249375201,6.61144,89.4358835838,32.3707,110.802803526,-7.18486,1.71840930991,6.62723,0.277333093315
33.5107,73,6.77250514185,974.870252973,147.861933154,0.935934,0.270397,167.159165983,73,6.78964371061,299.615678595,470.413445925,271.165610969,6.77129,82.4306655058,32.5289,27.184590241,-7.34652,5.82448057795,6.78833,0.280314890485
33.8626,74,6.93624163077,1012.91968326,82.5418042747,0.935323,0.280437,119.839418647,74,6.95433571162,493.915866934,265.804709778,314.066354638,6.93356,97.0469351334,32.6945,184.095151546,-7.51802,27.6993025362,6.95184,0.286870519231
34.1806,75,7.12527059798,410.560014234,139.554606976,0.909084,0.298294,136.601534077,75,7.14156355469,289.815282241,384.484642128,70.1005400148,7.12284,117.687705587,32.8725,124.741018239,-7.70585,-46.2662958183,7.13863,0.290516736608
34.4935,76,7.26426901973,818.378647484,92.73084702,0.890154,0.28078,144.926684849,76,7.27954525382,300.468938147,296.092420724,145.936232096,7.26311,88.8486294386,32.9716,113.58648102,-7.85174,40.8529303104,7.27742,0.291710412186
