StdEsReturn,AverageAbsQ,QFunRegParamNorm,AveragePolicySurr,AverageAbsQYDiff,AverageY,AverageAbsY,AverageEsReturn,MinReturn,MinEsReturn,AverageAction,AverageReturn,StdReturn,MaxEsReturn,AverageQ,Epoch,AverageQLoss,PolicyRegParamNorm,Iteration,AverageDiscountedReturn,MaxReturn
2.29476183475,1.02425,54.7567,-1.08879,0.0432821159525,1.01678631054,1.02259158871,93.0644300908,-1.05082093464,89.8855438879,0.00983067,-0.982084318302,0.0321626092331,96.5989757511,1.01666,42,0.0458092,41.4998,42,-0.108573843352,-0.945561285444
37.3499587848,1.13578,55.5051,-1.20581,0.0330249171141,1.12865109699,1.13463328912,73.6710292031,78.5579093537,-9.57159389784,0.337576,90.9243944547,5.03211413915,93.0307364512,1.12845,43,0.0226712,41.8764,43,20.6750143075,95.4880773541
2.89416897525,1.20724,56.33,-1.27556,0.0460804900312,1.19891213001,1.20547493086,93.5997797874,-3.78679583595,89.8151419725,0.122242,78.8695730694,34.7390457126,99.8524318199,1.19886,44,0.0493561,42.0288,44,5.52837982547,95.2398720919
32.2760252556,1.30596,57.1225,-1.38296,0.0359143185374,1.2978509519,1.3045387409,78.585797621,-0.193411587469,-0.265136279076,0.119747,83.5977305753,28.0519203851,95.0519980805,1.29755,45,0.0279143,42.4469,45,4.85978341866,95.1382370276
37.3816598793,1.43553,57.9995,-1.52056,0.0428350042066,1.42793484349,1.43395810296,72.3112983283,-0.255923112609,-2.29973492718,0.00189013,-0.188823887683,0.0334369059534,93.2311315867,1.42796,46,0.0251549,43.3457,46,-0.0439368538989,-0.151968306185
39.7816946203,1.48936,58.694,-1.57756,0.0491154546032,1.48422463403,1.48858582804,62.4042627107,-8.01455177535,-6.22433677361,0.11137,29.5125338268,46.8401676747,90.6754875434,1.48408,47,0.0397252,43.6137,47,2.64219670806,93.9106456924
32.3458441083,1.60443,59.4327,-1.69827,0.050098186748,1.60187955276,1.60415200978,78.9723680258,-1.67000135963,-0.161639803649,0.0165542,-1.65376408063,0.0141069658933,94.0708760882,1.60131,48,0.0460907,44.18,48,-0.16114372194,-1.62618828889
36.0438495427,1.73604,60.3539,-1.83533,0.0414658374396,1.73564097348,1.73607684504,71.260749491,-1.47690242878,-0.201636427189,0.0139034,-1.38894997241,0.0452907146353,94.5024272479,1.73467,49,0.0250603,44.6353,49,-0.157399064664,-1.33592643766
36.2684991834,1.82363,61.2599,-1.92182,0.0554639894312,1.82336302666,1.82413610961,68.9495386359,-22.3414081536,-2.37061506471,0.55146,88.9012578505,22.4783867053,93.622210672,1.82161,50,0.0465786,45.3551,50,34.8043163516,94.7718009257
2.66239572524,1.95824,62.2313,-2.05105,0.0544653622441,1.95672929413,1.95781495336,94.0031664582,93.4593263141,89.5026553081,0.712865,94.2799739679,0.440143437568,99.7961458824,1.95571,51,0.0459131,45.6874,51,41.5675433469,94.9228255925
