AverageReturn,MinEsReturn,MaxReturn,AverageQLoss,QFunRegParamNorm,StdEsReturn,AverageDiscountedReturn,AverageQ,AverageY,AverageAction,AverageAbsQYDiff,Iteration,PolicyRegParamNorm,AverageAbsY,AverageEsReturn,AverageAbsQ,AveragePolicySurr,Epoch,StdReturn,MinReturn,MaxEsReturn
326.958966802,8.87915251478,339.616921137,59.1192,73.5741,107.04997436,168.341960544,141.215,141.235421262,0.636878,3.40528924273,80,41.2022,141.257657392,242.520476804,141.334,-145.139,80,3.89183987209,320.307748715,359.669241645
347.896755789,33.759640159,372.400628318,62.0019,74.1563,104.90169163,175.543148422,143.426,143.437682243,0.667029,3.42049637849,81,41.4326,143.45838551,192.798584838,143.532,-147.252,81,11.1206162106,324.911468852,333.579286332
310.818541902,12.0087597888,332.992548709,59.9776,74.7075,150.791905239,164.047775424,144.834,144.851220691,0.689632,3.42525980819,82,41.6014,144.872500154,185.360051207,144.944,-148.717,82,13.7556003342,284.476468445,427.57418259
333.065319273,14.4097206947,359.214102179,60.5979,75.2671,132.411572317,169.220719936,146.564,146.575878232,0.648973,3.45190268755,83,41.7614,146.600705818,210.585481091,146.68,-150.425,83,10.0146340856,309.47464225,342.146658065
324.29789846,13.1072374827,351.096752187,64.8919,75.7498,136.762926535,166.453678561,148.34,148.356224007,0.745415,3.49721341316,84,41.9531,148.385131714,201.16151182,148.472,-152.239,84,12.087587274,299.19363226,423.926355738
290.137992584,10.8046426751,332.879343615,60.7697,76.2435,136.159734289,155.013648623,150.495,150.510039475,0.617622,3.55043575215,85,42.1927,150.540736861,269.158913364,150.625,-154.414,85,14.4490666455,267.059996106,494.93165291
373.108610853,6.80622751659,397.043625845,65.4511,76.8389,162.570070028,179.243462035,152.384,152.400693919,0.706919,3.55842196329,86,42.3764,152.427759144,196.799298504,152.495,-156.347,86,8.09292263793,358.535365987,456.636425496
340.078651966,13.7569484062,363.63228161,64.6069,77.349,117.89230287,171.013027875,154.299,154.307997989,0.724445,3.58643436557,87,42.6044,154.339398792,230.690134543,154.439,-158.161,87,13.3232557281,295.839134245,369.397279004
353.193532436,26.5525560662,381.788323971,67.9714,77.8742,132.527419725,174.084642792,155.831,155.852603164,0.692803,3.69280491231,88,42.7483,155.894585267,202.782595045,155.987,-159.741,88,19.5218321038,284.023711781,381.350187661
381.503914689,29.7162132797,412.789533042,61.3175,78.3674,111.84036899,181.192627203,157.776,157.788663392,0.768548,3.5733824734,89,42.9136,157.8353237,297.520047459,157.919,-161.637,89,12.9417083146,348.919814974,405.791899927
355.762395601,34.283248548,406.081943124,63.5616,78.8353,121.102989539,173.242907716,159.473,159.481834302,0.671169,3.63570907526,90,43.1209,159.520443758,202.830739475,159.629,-163.355,90,12.2815779442,325.29187513,398.590232908
319.340057388,16.2044430009,387.754558449,68.2981,79.3683,144.022318774,162.377347917,161.14,161.158234434,0.654419,3.67250869409,91,43.3602,161.199381802,226.92337698,161.282,-165.081,91,19.0764235096,296.156206133,458.101015852
373.700492809,78.0909062395,400.692661262,74.8425,79.8839,126.357538569,178.408114626,163.354,163.36478195,0.722501,3.77263884174,92,43.488,163.41083314,224.058113733,163.52,-167.346,92,12.4224400483,342.046869201,377.483888907
388.133016324,21.9671543545,417.232935971,72.6412,80.3415,169.557816697,181.774407465,164.722,164.732110343,0.721213,3.76826517353,93,43.6622,164.779563491,236.563128715,164.883,-168.676,93,15.8348576449,342.072911296,515.405468257
402.699625196,14.6771141649,429.605514572,69.6911,80.901,166.4373255,186.388516277,166.581,166.599045782,0.722488,3.77137047953,94,43.9215,166.644196874,220.537680123,166.74,-170.621,94,12.2116387414,370.602164271,510.400224363
382.982105915,15.4757880609,405.698043058,81.1976,81.3921,146.785787498,180.735830027,168.352,168.363211629,0.697227,3.9285757771,95,44.1307,168.408294729,190.197164232,168.524,-172.374,95,9.22300813764,359.55428041,411.806154389
377.439468106,10.3708322371,507.148451588,88.2985,81.9183,119.083271769,179.492079874,169.625,169.643139276,0.697677,4.04634648805,96,44.2759,169.688159224,156.068101545,169.798,-173.847,96,39.8577864631,300.967518729,372.968208845
383.03882942,14.8158240181,514.087731567,72.8942,82.3924,149.972040145,182.268566348,171.923,171.933424817,0.739972,3.87532604058,97,44.4844,171.981738057,241.271017095,172.087,-175.984,97,24.5000482412,357.808016487,513.896681873
396.105636396,24.7627191126,443.363752239,83.4369,82.848,149.799148601,185.756786125,172.889,172.910322356,0.736478,4.01156626494,98,44.6139,172.952354127,238.783480547,173.039,-176.984,98,12.717303271,366.9264796,493.434041726
361.995745485,11.9699323879,430.854645443,76.3128,83.3403,158.465990458,175.779985789,174.902,174.907999658,0.696246,4.01112224293,99,44.8847,174.958650906,179.381424697,175.068,-179.049,99,31.6489024865,284.522126707,462.085002692
396.05087805,19.9375867326,458.6715919,92.0415,83.9054,122.657523143,184.359785683,176.402,176.41889854,0.721719,4.15431706611,100,45.0859,176.461508484,254.594724537,176.564,-180.612,100,21.1420325164,308.399131153,413.502671674
397.318179486,12.2961423391,514.524788597,86.4857,84.3933,137.299444395,183.907022603,178.596,178.613781263,0.74188,4.09833333893,101,45.2775,178.655106923,254.818605557,178.753,-182.747,101,43.4949536195,312.28789062,392.812501137
390.383736,9.8305436102,445.278633307,87.2139,84.9631,157.03590123,179.1397028,180.257,180.276266326,0.737546,4.04815794854,102,45.4109,180.31470264,252.014847162,180.414,-184.397,102,21.7705497573,314.892426941,454.63454437
493.765829109,19.9658633044,602.454013495,93.7318,85.3899,180.678831067,191.56246635,181.718,181.730924043,0.733733,4.17764119022,103,45.5535,181.775684191,225.361883116,181.877,-186.019,103,83.2276265144,319.48070019,513.230305038
417.385863101,16.7151591329,472.45948525,97.1141,85.8555,142.472243493,184.4021161,183.977,183.986809516,0.693013,4.16255657275,104,45.6815,184.020591342,262.448985026,184.146,-188.192,104,30.3867771391,337.859656042,491.572265807
380.640283258,27.7170037818,504.011723197,91.9902,86.3491,186.014003329,179.590881022,185.209,185.228832018,0.702934,4.11993020258,105,45.8215,185.277620864,220.024519396,185.362,-189.48,105,31.5071669338,308.296607664,573.319294223
414.741842256,19.002633837,500.030503356,99.1892,86.7823,170.519402472,185.845509974,187.006,187.020601575,0.699408,4.20951699175,106,46.0312,187.063486433,200.646796884,187.179,-191.156,106,50.59526903,349.499668404,491.760430821
422.432470367,8.08027628165,494.456584239,108.43,87.257,192.315886512,186.330255326,187.777,187.790763809,0.68934,4.26214108369,107,46.1863,187.834485773,329.883869737,187.941,-191.914,107,38.9217899474,293.266183158,512.691499591
390.383249544,11.8570442045,483.856698535,100.103,87.7173,132.63131122,180.078331453,189.419,189.43477361,0.739403,4.19647416001,108,46.3661,189.471524661,212.890586583,189.573,-193.585,108,51.9667557403,263.284556721,435.210843955
366.914801477,35.71143406,400.550401147,87.3292,88.1619,145.06383653,175.9737291,190.854,190.863836026,0.750369,4.06394672194,109,46.4742,190.903395519,230.067455798,191.012,-195.021,109,15.5222936873,328.804847432,515.076321609
470.302858816,25.4556252871,566.516473225,97.5564,88.5576,133.59509615,184.697460738,192.475,192.493644871,0.71996,4.20846395376,110,46.6508,192.535952326,194.143099798,192.652,-196.673,110,55.2874432241,315.399684488,434.416629915
449.885510285,24.629437548,564.547752788,105.879,89.0384,151.005560662,184.01788304,194.031,194.046087299,0.716372,4.36558818504,111,46.8169,194.083773915,144.920384946,194.194,-198.407,111,49.1169180489,348.026620808,505.289606754
456.449961774,28.7533598745,500.56247639,100.031,89.4776,126.985573142,182.722765835,195.435,195.449956726,0.74822,4.26649062386,112,46.9831,195.488443308,292.064895113,195.604,-199.94,112,22.6565081742,384.78650127,412.085472301
420.687759043,12.3265561606,602.313666821,103.952,89.921,198.008192053,184.894274615,196.507,196.522147823,0.733512,4.36954326977,113,47.1335,196.567212189,261.884741559,196.688,-201.0,113,62.7613302734,322.870502594,627.425165348
356.24866204,9.58059021372,470.259049141,90.5137,90.3374,164.982633842,170.671872869,197.755,197.766858755,0.702931,4.19305428665,114,47.3029,197.80350992,171.034795656,197.928,-202.108,114,30.9252996465,286.642292748,465.840177356
538.07420048,38.4703684379,645.481012409,117.351,90.8346,161.444759401,208.062272663,199.756,199.767134294,0.804192,4.49095304927,115,47.4741,199.806828157,206.83095332,199.918,-204.28,115,50.0455300641,440.006840631,439.660379673
534.835882364,26.051263103,705.14576904,101.644,91.2829,148.290602224,196.275859638,201.979,201.99768078,0.747216,4.39614343621,116,47.6274,202.040992653,298.564163747,202.143,-206.499,116,67.0241046667,362.52044479,492.31601726
413.661266764,14.9589853913,593.743794571,111.155,91.7312,161.276449325,181.763991426,202.672,202.685694377,0.731256,4.37494041867,117,47.7973,202.716875785,224.856317637,202.839,-207.241,117,61.217015501,306.015072398,516.939878293
459.429016043,23.440626619,630.044991633,118.526,92.1724,223.144090492,190.874869491,204.28,204.301348183,0.75916,4.55802846255,118,47.9559,204.343095331,297.008240365,204.469,-208.73,118,52.9385918686,360.336937591,663.430605291
458.907499919,10.9349504572,508.482760862,109.097,92.5955,174.306610237,187.844901043,205.9,205.90753018,0.761968,4.48558672756,119,48.1224,205.947965783,187.346712582,206.089,-210.471,119,13.1579041216,415.750398508,596.116526657
775.274360944,19.2578665093,972.920052791,114.043,93.0172,139.27003057,219.072150302,207.797,207.814467386,0.765448,4.56918749276,120,48.2932,207.854596215,258.66530121,207.972,-212.417,120,127.912233661,585.793001468,486.757003722
540.826843809,6.19687852297,690.66771562,120.338,93.4077,150.551470742,205.723242605,209.281,209.296818559,0.750427,4.60776557997,121,48.4607,209.335587721,153.110115557,209.471,-213.841,121,83.6899123142,331.514217235,479.092802248
528.635855613,16.5908878403,764.383446647,118.153,93.8195,173.670383988,197.146441619,210.666,210.681369971,0.736758,4.65287649966,122,48.6524,210.72119875,278.113523626,210.838,-215.37,122,154.867310397,208.475927163,576.091881947
562.203788988,16.0321019019,800.626704644,125.422,94.2932,177.166981221,199.832069769,212.51,212.532570568,0.740207,4.71407153502,123,48.7994,212.5725787,273.739764894,212.668,-217.217,123,103.128070253,382.458495048,613.900929774
690.739440657,4.88917370452,1079.35672391,129.295,94.803,211.100225747,207.840520358,213.445,213.451838973,0.768925,4.72316217496,124,48.9822,213.497509374,327.286644255,213.626,-218.246,124,202.892685472,346.821557296,566.534131157
543.539963476,33.2377968784,828.926161116,119.901,95.2508,196.746573942,199.509349277,215.289,215.302711324,0.761499,4.68522625412,125,49.1255,215.341597911,252.207424162,215.469,-220.133,125,134.82587334,353.197696278,543.364138693
720.484933793,10.6870570673,1119.9853411,111.358,95.6184,230.434634523,214.710622108,216.378,216.395363583,0.7575,4.63989396907,126,49.2543,216.441734574,337.994191632,216.559,-221.158,126,148.197567101,365.091760722,644.258059757
