Iteration,AverageQLoss,AveragePolicySurr,QFunRegParamNorm,AverageQ,AverageY,AverageDiscountedReturn,AverageAction,StdEsReturn,AverageAbsQYDiff,Epoch,MaxReturn,MinReturn,AverageAbsY,MinEsReturn,MaxEsReturn,StdReturn,AverageAbsQ,AverageReturn,PolicyRegParamNorm,AverageEsReturn
28,2.6801,-18.4573,25.8752,16.5525,16.5569601516,84.5508692705,0.757123,44.1125914637,0.877847587647,28,836.068629894,36.4770776637,17.2074740777,216.630371383,331.310706119,194.536961507,17.1892,278.901259338,25.0489,268.184786495
29,2.83036,-19.8565,26.5914,17.9322,17.9387318547,101.478693976,0.758235,112.342276116,0.933770784969,29,724.478601361,48.3354130374,18.5086499349,5.35925939419,297.474005785,137.764490827,18.4906,319.793305618,25.5088,141.37693697
30,3.16102,-20.9302,27.3636,19.0118,19.0172420238,98.3904098406,0.739719,108.53139721,0.983563474815,30,666.766281973,31.5498778853,19.5527697498,9.07844874365,325.578927931,97.497548489,19.5364,286.079070922,25.867,160.158311203
31,3.51343,-22.1439,28.1203,20.2185,20.2253235876,104.740840765,0.735292,108.802134702,1.03858941762,31,977.325726701,49.5711025206,20.7255242335,40.959392708,308.174206642,157.372275405,20.7091,294.02500745,26.2192,135.825188927
32,3.5495,-23.6466,28.7947,21.6233,21.6294090072,112.247796628,0.747828,79.43334616,1.07535442605,32,815.952135525,181.104564228,22.0867966697,100.837304187,345.122003214,119.172206523,22.0746,318.610003861,26.5566,222.197081505
33,4.12525,-25.007,29.4544,22.9454,22.9504858359,93.9548372497,0.748,107.641755467,1.14662524094,33,675.833004251,61.4036517517,23.3858428932,-3.52533567776,385.963129316,153.000890552,23.3786,287.535160845,26.8738,149.97140812
34,4.46603,-26.3632,30.1365,24.258,24.2638748877,94.364074272,0.763824,77.7110030325,1.20672547495,34,1008.36516339,26.830832577,24.6627347154,36.2849764623,238.439928317,313.631393308,24.6533,536.811236609,27.1395,132.729431292
35,5.09547,-27.8864,30.7608,25.7395,25.7459774643,109.01476348,0.733222,115.776738275,1.27289149906,35,1014.81844744,152.742202008,26.1177279288,52.9328334896,434.97412075,243.354899792,26.1128,358.332873906,27.376,217.465171582
36,5.27397,-29.2908,31.4088,27.0294,27.0361241182,97.0841464735,0.615486,122.97083658,1.32313598656,36,916.642403923,148.523832791,27.4009031796,-9.28276144566,305.342180442,324.682628393,27.3967,537.074539441,27.6837,133.069741912
37,5.81782,-30.883,32.0433,28.5363,28.5429721716,49.4868284288,0.636675,146.922479118,1.396418397,37,941.745664852,227.070009028,28.8796074426,15.5284131003,387.128370074,237.41050305,28.8762,768.41031836,28.0187,149.214775827
38,6.17998,-32.4869,32.6681,30.1112,30.1198826272,63.9605186923,0.705456,118.157153205,1.45476013107,38,917.704163151,129.195809567,30.4301514206,1.01317209876,371.364493253,332.540927714,30.4247,429.632459447,28.3235,157.387947567
39,7.01868,-33.9357,33.2929,31.5347,31.5420303678,33.3873328304,0.738742,14.019378967,1.53195964846,39,851.923768964,-68.395842575,31.8459388852,30.3788178344,68.4687305604,317.411938737,31.8442,277.201218084,28.6309,45.6136022143
40,7.7095,-35.1414,33.866,32.7083,32.7164871898,22.1064112525,0.735923,128.017144046,1.59949547073,40,855.917252098,-51.7390757187,32.99955061,0.106374973549,335.933137607,306.639128013,32.9992,207.164002893,28.9126,122.024917276
41,7.80135,-36.9265,34.4538,34.4824,34.4914432278,64.1292726666,0.709445,461.969297466,1.63446105967,41,924.894808895,4.58227003457,34.727973287,72.0665198007,996.005114732,301.544771571,34.7269,675.600194876,29.2077,534.035817266
42,8.6798,-38.1407,35.0329,35.6969,35.7063752182,65.6703818778,0.734321,91.2236389596,1.69197847202,42,854.927759868,-38.7485297162,35.9368898227,-0.483646741709,291.075786237,299.234772307,35.9349,383.284258968,29.5053,57.3243566338
43,9.22959,-39.6478,35.5375,37.0725,37.083569072,-1.61715440678,0.708118,74.3436090712,1.74734971019,43,170.271103073,-76.4562707942,37.3008410419,-17.9478803428,213.940818779,38.8192249398,37.2967,-9.73955856126,29.8094,57.686650172
44,9.64254,-41.0067,36.0456,38.4327,38.4423913553,-5.11445845952,0.679353,66.377031137,1.81127464989,44,143.854511162,-49.429236437,38.6349353831,4.13870531404,211.321374925,18.6428622405,38.636,-21.3388758076,30.0721,69.3759998325
45,10.5581,-42.2457,36.6096,39.6978,39.7112413492,10.8692877138,0.736671,78.3247590251,1.85669010155,45,145.56334102,-6.22878373665,39.8986314213,-8.84170436164,223.753651327,21.8512879095,39.8927,14.999714325,30.337,58.830498525
46,10.4309,-43.8536,37.0684,41.1536,41.1622579605,69.6075104551,0.732623,61.6317445345,1.89393745712,46,429.65772448,-15.9555881806,41.3436016342,-1.30058548918,225.023493649,115.612558714,41.3496,166.341650404,30.5977,48.3563879808
47,11.4316,-45.3343,37.5309,42.6339,42.6453535694,85.5223092284,0.724668,85.4766779705,1.95936974154,47,519.306509627,47.4910754856,42.8052297151,2.34540347647,233.533717762,125.203562909,42.8033,252.35075188,30.885,85.6018368876
48,12.4535,-46.9822,37.9951,44.2752,44.2839080885,115.419953131,0.793215,104.727967755,2.01288615593,48,462.292189015,90.8793370533,44.4240896225,-5.74568709834,333.092452278,67.7811514345,44.4247,317.223112724,31.2435,146.704355478
49,12.2086,-48.3095,38.4471,45.6366,45.6489887264,80.5874035142,0.717626,109.013225434,2.00400641717,49,657.379823472,9.66964693282,45.7815765812,35.8811649112,393.593381909,148.138506733,45.7785,251.403502172,31.5917,180.526037419
50,12.9741,-49.8799,38.9319,47.1798,47.1870780846,67.7096306638,0.780964,109.528951664,2.0692651495,50,626.663113397,-6.69500373047,47.3136131035,-1.76005606214,346.152668181,159.589101255,47.3165,182.745531807,31.8845,106.78118531
51,12.5246,-51.3404,39.3378,48.6857,48.6972077576,121.932611745,0.842289,132.465568123,2.06053996717,51,1021.01587624,206.128475687,48.8262641087,19.1481801526,390.820362055,224.826646122,48.8247,360.441994746,32.1737,171.432716956
52,14.153,-52.7,39.7907,50.0069,50.0172484694,124.688984752,0.904043,86.193693996,2.1299710346,52,490.555449833,94.3283360186,50.1404900639,10.0034422519,302.185498575,60.2427049094,50.1452,349.947568485,32.4949,116.023723597
53,14.8528,-54.08,40.1667,51.3815,51.3909137456,120.718443738,0.862626,105.29084289,2.18499875083,53,515.769268153,16.570223495,51.5074495665,26.8202002406,338.447301856,92.570830958,51.5091,318.571247846,32.7711,133.749985318
54,15.7827,-55.5912,40.5791,52.9256,52.93737099,119.857707448,0.892311,106.036569865,2.21438227408,54,567.358384204,48.7398835241,53.0503181445,74.5110337291,435.936494936,98.6198844231,53.0538,352.222711294,33.031,249.871756941
55,14.8783,-56.9847,40.9796,54.3458,54.3585713094,133.603643342,0.916224,122.107629208,2.21994045534,55,429.533336404,291.501365243,54.4700107052,41.3024431922,377.912647335,26.4533069311,54.4765,348.763461277,33.3404,202.301087548
56,15.96,-58.4453,41.3999,55.7808,55.7941425629,71.0753196551,0.86275,181.139819304,2.24702844115,56,724.771890713,28.3503950834,55.9041871712,-7.14938325249,451.508168205,205.635192709,55.9094,212.419412915,33.5771,259.579831803
57,16.6755,-59.9061,41.8066,57.2266,57.2345248323,126.032650029,0.910484,184.293960497,2.26358519277,57,617.837534055,20.447415033,57.3412693035,1.9038177506,441.113420139,81.0225789776,57.3438,387.162517946,33.793,181.724955269
58,16.3957,-61.2651,42.1891,58.4899,58.5018167925,143.954098833,0.892667,91.3670157151,2.29778533503,58,405.7094665,270.788327677,58.6073233199,35.9827399076,298.465676557,36.8443960811,58.6142,332.595111656,33.9987,133.833052556
59,16.5855,-62.5899,42.5855,59.8711,59.884389071,112.548123649,0.803422,135.144704757,2.28690478472,59,576.358827835,85.2265192033,59.9723778225,3.08901643252,406.559210391,84.4678127999,59.9728,265.306296768,34.2194,202.965863541
60,18.1553,-64.3251,42.9471,61.5628,61.5728949282,137.095630395,0.899161,133.248151455,2.39812867151,60,495.230916721,261.41110373,61.6562424756,19.8321447099,396.02906984,48.1750937195,61.6602,359.273698597,34.4612,266.979919858
61,17.777,-65.7696,43.318,62.9688,62.9839456951,135.577835354,0.85879,134.946566685,2.35507508601,61,639.863745707,227.318231218,63.0613939503,16.4803588973,398.986261062,90.6218503373,63.0635,398.400886736,34.7068,196.160933613
62,18.8292,-67.3261,43.6838,64.5172,64.5315937493,150.21587674,0.892679,126.213936062,2.43556189833,62,535.44706085,200.680046278,64.6049152376,7.66139667302,371.686890917,65.4692059392,64.611,396.507824807,34.9722,182.746072859
63,19.1493,-68.7282,44.0516,65.9257,65.9361373628,97.6384505752,0.82641,230.234026554,2.42539118619,63,748.615075206,-49.3809365184,66.0071362506,-7.40262401943,552.553550471,144.89310665,66.0138,223.877044948,35.1721,297.950655518
64,19.9476,-69.9314,44.4214,67.1358,67.1466903214,145.35275546,0.881865,125.433949725,2.51507091902,64,761.603218288,187.082326796,67.2140165444,-12.8904846719,329.265218613,129.358203452,67.2236,492.501186895,35.3786,148.633531987
65,19.546,-71.464,44.7704,68.6764,68.6886213818,118.890683751,0.832894,132.194923873,2.48082071619,65,548.629346071,131.097416572,68.756894638,17.2701318862,386.824025331,96.8210570628,68.761,279.333531155,35.5994,228.967724838
66,19.3818,-72.9481,45.118,70.0324,70.0459332614,145.253020095,0.846143,120.217284621,2.49990222426,66,485.597619166,174.736556429,70.1120605759,7.68023640117,347.258939583,60.8305901916,70.1091,370.910021316,35.8081,89.1902545566
67,20.4946,-74.1847,45.4827,71.2995,71.3181107122,137.004022789,0.851239,163.420254724,2.56590397727,67,536.346028545,25.3822150242,71.3822843808,6.58646588842,447.929381787,117.367081147,71.3804,367.832774041,36.0225,149.657287207
68,22.7698,-75.6581,45.8162,72.7855,72.7944701887,53.4114208648,0.835473,138.555567271,2.63796243836,68,550.689270347,-98.1859153169,72.8573561781,14.206445903,393.676877274,169.462743793,72.8724,131.344197548,36.2467,200.075106446
69,21.8001,-77.2641,46.1664,74.3128,74.3316714259,130.438377798,0.860271,120.733223105,2.66093902191,69,589.214847089,163.612710962,74.3978242976,0.357774461981,326.671391894,99.8062307159,74.3997,414.454091106,36.4328,147.335230232
70,22.2245,-78.5778,46.5311,75.5297,75.5440869092,61.1236480764,0.829905,91.9553184932,2.66263066583,70,699.218271547,-42.501923347,75.6098330861,4.79163428493,319.951509654,152.583479142,75.6177,137.075811968,36.6572,94.4401593366
71,23.6493,-79.8251,46.89,76.7669,76.7854523604,105.249180689,0.820528,68.6879088932,2.73027262878,71,621.601924813,71.9751666263,76.8505923667,2.2044993688,232.70516981,129.211200694,76.8545,258.058322577,36.8769,83.097431325
72,25.6039,-81.3424,47.3044,78.2878,78.2998783884,131.830643701,0.859351,108.123050645,2.80529622481,72,636.257758008,122.847802115,78.3638198619,9.80666110786,326.807461842,121.758505032,78.3721,329.171796708,37.0239,159.574036376
73,26.4421,-83.0078,47.6522,79.9843,79.9993880896,92.158779746,0.843184,106.148887626,2.86137252227,73,502.311556037,11.5942105975,80.0626578059,13.5118301277,358.785284247,134.556093375,80.0712,236.004003656,37.245,87.3135012319
74,25.9943,-84.2746,47.9813,81.2198,81.2386406125,102.092061917,0.832299,117.838722978,2.85529704855,74,592.23100462,83.1315982161,81.3031545544,1.95842089982,370.676838728,128.828466003,81.3036,284.197060325,37.4083,138.9075182
75,27.8101,-85.7042,48.357,82.6346,82.6552726029,56.9979254864,0.861688,160.050242318,2.94915434561,75,665.064453354,21.5078153861,82.7269305183,23.1186890341,438.189767096,90.7756260014,82.725,110.396456169,37.6031,205.451112016
76,27.3081,-86.9894,48.6546,83.8684,83.8836195436,95.5798250386,0.870715,119.984812676,2.96452522308,76,684.874862111,117.737297153,83.9572075592,43.3051056475,396.430183452,82.4458622471,83.9596,184.67520949,37.7644,177.511361843
77,29.5548,-88.6567,48.9971,85.5593,85.577970005,97.7603285383,0.841169,59.530448676,3.02761747581,77,473.814211263,82.9764346567,85.6418809279,-0.297121309571,157.86784521,91.7568553904,85.6509,183.398450375,37.9631,78.1654394234
78,30.2052,-89.9244,49.3727,86.7988,86.8135908622,86.9641517586,0.862961,103.243317153,3.07793412189,78,664.218939173,-3.48652002402,86.8798513643,34.4351593098,365.256457514,107.602555785,86.8913,176.48386372,38.1519,149.377734153
79,31.3667,-91.2172,49.6936,88.1901,88.2104775733,109.690027734,0.837684,88.5453138577,3.09133146948,79,432.571849564,95.7727196645,88.2764742469,-2.2386763578,315.138396593,78.6864953696,88.2839,214.269704176,38.3272,100.436016687
80,31.5284,-92.7559,49.9618,89.6807,89.6971039106,56.3299467768,0.878976,86.2178827086,3.15403497451,80,304.556252552,50.8099076636,89.7653718194,-0.725300668515,257.24387389,30.4610180607,89.778,80.4549485933,38.4879,108.099961737
81,34.7871,-93.8181,50.2897,90.6973,90.7219925618,61.5135600035,0.887695,68.11548754,3.21272884131,81,104.226556025,66.4240585859,90.7841100628,46.8966577359,278.795067379,7.63095825393,90.7874,83.2629917937,38.6785,140.369704465
82,34.2573,-95.6187,50.6617,92.3861,92.4042151225,94.1965557962,0.868128,137.465093008,3.24245202783,82,268.822427488,90.7519875056,92.4647581133,4.30349735404,436.108870911,26.8343599157,92.4732,140.757952521,38.8317,149.009274987
83,32.5844,-96.9326,50.9673,93.6155,93.6325603814,96.1615055069,0.879072,53.3129715038,3.28857113021,83,239.629638526,135.427813882,93.7028478333,44.2328840228,211.650909049,16.519373604,93.7128,152.739473864,38.9521,116.125456654
84,34.2088,-98.7436,51.2926,95.3506,95.373622742,108.150457474,0.836627,46.1841020831,3.34640160933,84,1208.0738066,90.9450794029,95.4397194674,61.1837592883,206.630800119,162.867917588,95.4438,248.847963062,39.1041,109.916693084
85,35.2739,-100.465,51.582,96.8963,96.9216273073,103.856222586,0.881854,94.0941635872,3.41179156012,85,280.623489949,132.473991646,96.9923882756,-1.18079251919,306.561947792,24.2788256487,96.9993,169.491748645,39.2432,114.287832068
86,40.862,-102.243,51.9169,98.6804,98.7028338623,119.073042657,0.839348,106.93419269,3.55872987058,86,518.083359234,134.962369606,98.7735694383,45.9903761407,395.914110541,90.6027086584,98.7856,225.926439898,39.4078,179.332732761
87,40.1522,-103.835,52.2354,100.166,100.187755967,122.106111916,0.851808,111.214279241,3.54583126197,87,415.741141468,165.223872654,100.263817032,-54.9865384775,316.61091779,65.1136105252,100.28,230.519688084,39.5818,100.502361675
88,40.21,-105.716,52.5591,101.902,101.928086036,134.738920882,0.876408,65.3677864944,3.59464718317,88,625.513002213,127.825741536,101.995363355,-1.37419411684,226.303173334,141.855914505,102.008,288.49472359,39.754,115.501783752
89,41.2171,-107.783,52.8706,103.776,103.801132971,121.569637253,0.877341,122.617124114,3.64062672523,89,630.761656064,110.335462018,103.87878108,19.3764440019,407.640083729,96.4644810248,103.893,244.665097321,39.9299,167.586405991
90,39.1957,-109.79,53.1599,105.753,105.774781702,117.250232685,0.859728,145.359501981,3.67441242527,90,689.238262631,82.8180608016,105.848701723,-3.70948092425,482.545611957,169.992320609,105.871,273.971170056,40.1052,173.664510363
91,42.966,-111.994,53.4806,107.746,107.771908368,109.745268439,0.83416,83.4497131142,3.80158301747,91,592.806369136,84.6179280457,107.848766897,0.696068166259,313.288421227,162.853647555,107.86,253.645537209,40.3051,110.845480663
92,44.683,-114.009,53.769,109.844,109.870037937,142.298087451,0.85033,98.1412643487,3.86955138178,92,736.444824696,240.972571393,109.941058084,-0.924532429403,368.134527139,101.517111124,109.956,339.56247159,40.4962,113.942618345
93,46.1446,-116.095,54.0446,111.778,111.806716937,107.587664609,0.849115,100.749301109,3.8923793083,93,462.336806415,109.015306457,111.880904455,0.840843477797,346.150174135,110.197631659,111.891,225.32612801,40.6741,150.415568509
94,46.4587,-118.164,54.3244,113.857,113.884199755,123.369468277,0.826036,78.8542225257,3.88720816811,94,652.341241886,87.1790550472,113.967103551,-3.40639405091,231.913556648,103.83627705,113.99,276.357692212,40.8634,98.2964997498
95,49.0788,-119.906,54.6512,115.502,115.522710968,115.384427436,0.872973,125.534577205,3.99483896703,95,425.423579749,175.167763392,115.598801498,-2.60033732606,402.223526037,59.051938772,115.622,240.912319456,41.0043,184.933020668
96,52.5624,-122.099,54.9714,117.559,117.588741396,103.418937449,0.867515,116.75411776,4.079436775,96,627.15934147,5.83889857717,117.66286002,-3.36533330867,395.776917574,115.121201731,117.67,231.397700402,41.1984,81.3961348439
97,57.2688,-123.965,55.2947,119.525,119.555675446,85.9226356311,0.799312,136.458427636,4.21203276798,97,571.807296961,81.958134572,119.625321658,5.20787152193,436.247337191,130.829499418,119.642,158.025130967,41.3624,254.413125318
98,53.2368,-125.888,55.6335,121.448,121.47480431,114.003929036,0.88987,89.5958809875,4.1266766773,98,634.286029004,87.3775888719,121.557384226,73.2574183329,306.050272336,145.41503569,121.576,292.127545188,41.5643,171.856859046
99,56.5574,-127.512,55.9437,122.943,122.965309718,124.747842327,0.867368,183.078817748,4.19064228635,99,819.269575296,113.725823961,123.047296493,42.9446544411,611.882141757,147.463276367,123.078,324.827130059,41.7114,238.047291674
100,51.6105,-129.523,56.1721,125.016,125.038080662,121.085963202,0.864682,126.810288518,4.12040755334,100,633.026521454,94.4750110285,125.113074964,3.9815768129,395.53827064,124.639117077,125.147,299.763200796,41.9162,192.415272491
101,56.3089,-131.272,56.4715,126.757,126.785555247,142.922537437,0.88089,116.790541967,4.28128227853,101,390.376761672,188.476641059,126.866356596,-3.43188000341,416.25403896,40.6229170385,126.886,291.838493735,42.0868,126.357584428
102,55.772,-132.806,56.771,128.221,128.250708817,122.387703155,0.875595,106.938018221,4.31629974063,102,667.292846625,183.327881255,128.328627071,-2.14824939316,334.277024876,98.9323637461,128.357,269.073937646,42.1714,184.765794128
103,59.3437,-134.258,57.0433,129.723,129.747827809,129.36864771,0.888974,90.4145866912,4.32393784741,103,667.10281947,167.328337547,129.834070823,7.73505744247,307.407777952,80.342533353,129.858,261.882436897,42.3504,183.181578302
104,60.3359,-135.69,57.3432,131.209,131.239193905,133.786658634,0.890043,31.4564208173,4.44965131683,104,496.125811433,193.083779246,131.319065883,268.056646531,370.159155207,52.7936239008,131.346,254.958847936,42.5025,313.327346502
105,64.7757,-137.233,57.6211,132.723,132.734943061,126.077302328,0.861492,98.6948320563,4.50212966684,105,731.708484938,104.535051233,132.8039334,-6.00034057295,280.179044594,114.925396101,132.86,349.302662908,42.7031,109.955770912
106,67.4146,-138.808,57.8972,134.42,134.451611962,103.789310306,0.87388,97.3322314591,4.51476805933,106,451.707435273,89.4952522212,134.529282051,-0.283596601562,322.056086714,81.4374969985,134.568,265.722489274,42.8785,150.744371649
107,67.3014,-139.831,58.1534,135.457,135.479551041,142.482561363,0.907607,132.157441997,4.52959873869,107,319.281474247,198.692815868,135.554987007,-4.70160439995,498.705753574,17.9552667567,135.59,281.277619596,43.0556,209.930282553
108,67.6975,-141.281,58.4513,136.859,136.883477806,125.980974099,0.897875,150.609877922,4.58032032623,108,295.947192792,185.949429501,136.962786998,83.3796449595,585.253176287,27.2126460305,137.008,242.944884971,43.2402,237.212626517
109,65.2212,-142.585,58.676,138.102,138.130542091,141.217892216,0.911222,111.88231993,4.55902163725,109,434.454997172,213.847305293,138.198975571,-2.30615857747,267.796228646,44.8026151423,138.246,294.003721472,43.3937,126.787193745
110,65.985,-144.019,59.0059,139.565,139.593801884,107.228170661,0.912373,71.1423682526,4.58172213436,110,206.008191781,160.165238069,139.669826819,52.3648483784,265.826510803,8.70797002533,139.707,175.755717388,43.5547,156.978305508
111,69.3456,-145.324,59.2299,140.956,140.982923278,124.661457458,0.892687,91.4622162353,4.59423492805,111,346.696670086,197.663119686,141.054067655,6.46274829641,334.396755697,39.5053545931,141.089,259.020704566,43.7036,192.280744503
112,65.0735,-146.426,59.4553,142.076,142.101183923,106.71574379,0.881991,102.145083816,4.56597884218,112,680.190742933,69.2903190041,142.177663967,-3.39818479547,310.15903507,117.022285883,142.209,266.936348443,43.8717,127.409433112
113,72.1371,-147.518,59.6821,143.179,143.205445412,136.238036867,0.927703,119.76471631,4.65479214296,113,312.328212833,213.17065864,143.279855815,-1.78575177559,438.886066059,11.745956895,143.331,270.819696264,44.0281,185.339290949
114,69.337,-148.272,59.9067,144.051,144.067689785,122.029806678,0.90139,102.204678709,4.61132027934,114,249.444909774,166.507012411,144.161238213,-6.09119535749,401.614780675,16.6382342894,144.217,214.429900898,44.1929,169.157832022
115,71.1668,-149.212,60.2019,144.999,145.028108861,111.551251666,0.917446,84.4778631615,4.66191392652,115,326.846978257,156.289997755,145.099188275,73.7483232494,373.72838161,22.4285201771,145.152,181.128602884,44.3575,180.455020983
116,65.2837,-150.053,60.4478,145.808,145.831865676,83.9844306587,0.903584,136.657090422,4.59310790302,116,158.186619177,106.132142801,145.912128829,5.42048688304,373.311843362,9.12871185004,145.97,122.5674101,44.4937,175.888884452
117,68.2096,-151.264,60.6916,147.12,147.142514569,115.403839427,0.919451,145.10335132,4.63008208582,117,263.009461174,164.470604255,147.229627875,2.85134605442,452.603148017,22.0320996826,147.276,191.671158875,44.6659,175.093313686
118,73.7121,-151.808,60.9651,147.623,147.653948835,83.5640993269,0.921596,92.8553007308,4.75242411034,118,188.985912281,104.269384407,147.752339353,-0.841929894371,305.525340022,13.5455346771,147.788,122.817859314,44.8263,208.689964315
119,72.9305,-153.196,61.2156,149.127,149.146914402,114.950548796,0.888737,77.7737099732,4.73623698302,119,373.360292652,138.087429203,149.22363242,0.371817646576,232.904252174,52.2276175221,149.277,220.800112375,45.006,126.461455415
120,72.0967,-153.655,61.4708,149.429,149.451152319,102.647687949,0.880888,99.4346937385,4.71737061385,120,338.82602426,25.8829854998,149.541328935,68.8268114195,391.355561754,48.4281307341,149.592,183.889197787,45.1418,237.656358054
121,71.2513,-154.445,61.7173,150.317,150.336637989,102.306244273,0.907627,79.1829658572,4.75643496476,121,253.710100419,131.136124348,150.426027614,-2.68447382969,230.472787743,20.5465797643,150.475,160.922929418,45.2812,118.437475112
122,79.2103,-155.888,61.941,151.649,151.667040588,105.044350203,0.896499,69.7878805424,4.79255566083,122,222.715787911,117.596423806,151.747157243,103.52409536,299.346990683,20.4032525042,151.819,177.723324781,45.4104,190.559111145
123,75.0186,-156.683,62.1902,152.489,152.514855451,119.225248934,0.895862,101.679196107,4.78538350875,123,342.715609059,175.03429602,152.593117775,-5.04204576423,316.156536101,30.1844783952,152.643,220.68494372,45.5662,135.173346249
124,79.1673,-157.647,62.3862,153.444,153.465698895,119.332096711,0.88966,83.9999132617,4.8677649196,124,393.895040143,177.140679195,153.541179905,-3.84359900626,262.222638785,34.2707001312,153.604,232.46063524,45.7285,152.579891478
125,76.4385,-158.303,62.6531,154.053,154.078696207,106.100051781,0.91165,128.947780443,4.806580112,125,379.533123025,147.626678008,154.157483628,87.6625994499,466.710128132,33.4938068443,154.223,175.659747406,45.8976,218.770898962
