AverageAbsQ,AverageAbsQYDiff,StdReturn,MinReturn,MinEsReturn,Iteration,QFunRegParamNorm,AveragePolicySurr,MaxEsReturn,StdEsReturn,PolicyRegParamNorm,AverageAbsY,AverageY,AverageAction,AverageQLoss,MaxReturn,AverageReturn,Epoch,AverageQ,AverageEsReturn,AverageDiscountedReturn
0.828474,0.0731235455983,98.0615058346,797.036464602,404.615064607,40,20.9412,-0.904776,404.615064607,0.0,26.0813,0.829724927386,0.827717443406,0.870245,0.00991421,1152.72441204,974.810608504,40,0.827064,404.615064607,78.3933806659
0.90251,0.0755729734316,471.129467415,319.614516034,422.169686418,41,21.1877,-0.982046,422.169686418,0.0,26.4736,0.90338105487,0.901995830775,0.859381,0.0107203,1785.67459791,1045.88465195,41,0.901627,422.169686418,79.148109249
0.964047,0.0771513476922,235.57414452,538.308988109,372.446372674,42,21.5224,-1.04485,372.446372674,0.0,26.8445,0.965142433541,0.963964145241,0.892106,0.0111527,1192.48510913,871.032387503,42,0.963347,372.446372674,77.3196488553
1.04396,0.0782116011027,191.945938883,366.559974838,428.859197621,43,21.8238,-1.12828,428.859197621,0.0,27.293,1.04490874497,1.04414876478,0.849533,0.0115622,995.88608962,624.317129384,43,1.04353,428.859197621,80.2197863026
1.11161,0.0794442143761,135.623347127,210.021327336,452.585824097,44,22.1016,-1.1951,452.585824097,0.0,27.6581,1.11237507418,1.11185169882,0.893107,0.0117697,701.126080368,412.033019051,44,1.11128,452.585824097,23.1271559846
1.18573,0.0818173422013,405.556708342,719.571675757,519.54628198,45,22.4144,-1.27111,519.54628198,0.0,27.991,1.18674132587,1.18611977767,0.882647,0.0134076,1762.08774181,1375.19995804,45,1.18545,519.54628198,131.399291582
1.25652,0.0835016571301,363.324024454,193.338977637,419.148549902,46,22.7286,-1.34429,419.148549902,0.0,28.253,1.25734056314,1.25697583701,0.8938,0.0138593,1310.90335236,717.053602021,46,1.25637,419.148549902,93.4506014614
1.35204,0.0870220482387,432.967886148,333.930736915,452.426406875,47,23.0786,-1.44051,452.426406875,0.0,28.6051,1.35312367285,1.35272950312,0.884606,0.0150072,1577.57748895,773.433852148,47,1.35191,452.426406875,78.3500749467
1.45494,0.0880720327794,626.982585276,-583.957667141,837.046369583,48,23.367,-1.54758,837.046369583,0.0,28.948,1.45581378459,1.45540653081,0.891438,0.0151276,1553.07209372,526.953759128,48,1.45477,837.046369583,55.8215444493
1.56668,0.0896921135194,275.971346223,449.613779191,877.678747209,49,23.6474,-1.66175,877.678747209,0.0,29.1833,1.56768353354,1.56737426842,0.876611,0.0159118,1408.13734381,790.20046274,49,1.56652,877.678747209,102.876274731
1.64371,0.0892879752068,81.0699862884,583.23641866,454.895712094,50,23.9011,-1.73787,454.895712094,0.0,29.5174,1.64463524973,1.64454094075,0.894095,0.0158557,843.626473082,706.817332253,50,1.64366,454.895712094,91.8323152058
1.74811,0.0910573089455,321.889325785,361.655645238,747.670857099,51,24.1839,-1.84161,747.670857099,0.0,29.8414,1.74910893524,1.74893905029,0.868999,0.0171245,1417.69126681,758.469218639,51,1.74805,747.670857099,67.6501245781
1.83546,0.091857228627,153.311525703,440.337799324,885.876261722,52,24.4523,-1.92947,885.876261722,0.0,30.1766,1.8363955078,1.83623650452,0.881129,0.0197768,1027.61329934,693.388606722,52,1.83535,885.876261722,74.0280278005
1.92291,0.0914157127259,101.992413325,253.711220704,524.76434279,53,24.6852,-2.01524,524.76434279,0.0,30.4158,1.92369354588,1.92362767851,0.888314,0.0178946,592.042821814,490.198548198,53,1.92291,524.76434279,70.0837642317
2.01349,0.0919860887194,416.724671828,-146.144772745,421.831140856,54,24.9208,-2.1113,421.831140856,0.0,30.7598,2.01437291545,2.01429784235,0.838397,0.0171802,1017.59378341,558.441454134,54,2.01349,421.831140856,97.4300952322
2.1029,0.096109134497,252.215265717,479.88381837,445.9912061,55,25.1951,-2.19998,445.9912061,0.0,31.0302,2.10378644883,2.10372216811,0.892389,0.020599,1450.65580954,992.124463405,55,2.1029,445.9912061,103.168942568
2.18308,0.0960819646968,282.85858406,-72.5080079768,293.481549249,56,25.4384,-2.27559,293.481549249,0.0,31.2981,2.18401577719,2.18398188061,0.899183,0.0212812,1072.79595247,627.473763188,56,2.18308,293.481549249,89.5674807788
2.26314,0.0947165236409,153.714417105,362.002231649,642.229980248,57,25.646,-2.35479,642.229980248,0.0,31.5432,2.26416794671,2.26411127524,0.937002,0.0193513,906.094452132,767.353452413,57,2.26314,642.229980248,90.9911970743
2.3555,0.0981780330381,272.476015835,449.649390252,671.939676221,58,25.9965,-2.4464,671.939676221,0.0,31.8108,2.35642442018,2.35634021728,0.8841,0.0223457,1386.78336908,773.62807322,58,2.3555,671.939676221,74.3914533215
2.47007,0.100376983408,87.4556838578,808.740209441,798.741105329,59,26.2846,-2.56141,798.741105329,0.0,32.0493,2.47101228256,2.47094690933,0.901119,0.0230565,1140.73573507,938.765711611,59,2.47007,798.741105329,107.595124939
2.57167,0.101818613562,342.272652381,-67.9000243057,1265.15456792,60,26.5731,-2.66284,1265.15456792,0.0,32.2591,2.57248921085,2.57243617538,0.915022,0.0244969,1152.48008739,949.44199069,60,2.57167,1265.15456792,100.762362659
2.64566,0.103876485667,805.413297298,-1045.15933001,811.660661659,61,26.8671,-2.74075,811.660661659,0.0,32.514,2.64645475252,2.64639994127,0.880651,0.0262675,912.994632921,154.765851329,61,2.64566,811.660661659,70.4503848989
2.73748,0.103592697257,232.36256002,235.454738991,667.807054872,62,27.1383,-2.83105,667.807054872,0.0,32.7419,2.73822633472,2.73817830913,0.911838,0.0244122,1113.49056858,758.956061188,62,2.73748,667.807054872,104.018911466
2.81539,0.104150005155,302.08087198,137.491972523,516.031840735,63,27.4351,-2.90603,516.031840735,0.0,32.9449,2.81614786697,2.81607347204,0.911898,0.0249874,1248.03036888,901.477245632,63,2.81539,516.031840735,111.930118322
2.89949,0.107636537345,109.206808959,700.601375548,766.507924616,64,27.7215,-2.99387,766.507924616,0.0,33.2059,2.90047139025,2.90042406875,0.940709,0.0281027,1074.17350057,905.492771375,64,2.89949,766.507924616,82.9824929377
