AverageReturn,AveragePolicySurr,StdReturn,MinReturn,AverageDiscountedReturn,AverageQ,QFunRegParamNorm,AverageQLoss,AverageY,AverageAction,MaxReturn,Epoch,AverageAbsY,AverageAbsQYDiff,MaxEsReturn,PolicyRegParamNorm,StdEsReturn,AverageEsReturn,MinEsReturn,Iteration,AverageAbsQ
-33.7946217981,-1.84722,5.9372640418,-43.1258022327,-10.9001369893,1.59559,13.9185,0.0152788,1.59627676029,0.992897,-15.5902511479,19,1.60183487851,0.0874215584404,-0.596130500846,16.298,17.9692972874,-29.6908751248,-52.6473082569,19,1.60321
276.605138001,-1.86787,395.100334028,-57.3560958004,26.0488909056,1.62312,14.2601,0.0135471,1.62399763437,0.769901,891.158151199,20,1.62996891384,0.0833478827103,6.91370335786,16.6638,21.1066905384,-25.6558504655,-54.2736824993,20,1.63133
-57.7806246599,-1.91516,6.54892878624,-64.6931139228,-10.9091267883,1.65053,14.6324,0.0142757,1.6512155745,0.878481,-14.6097082056,21,1.65705001616,0.08324157063,349.734444333,17.0545,129.2987549,18.2453646254,-84.9833993846,21,1.65856
-52.3363234789,-1.94339,13.1782824982,-70.9455182923,-17.2194241076,1.72573,15.0406,0.0159608,1.7263429653,0.899587,-19.4673042884,22,1.73150900862,0.0873305914072,17.1343306491,17.4608,22.1538682844,-30.5760283617,-63.2970715913,22,1.73314
-49.1632390259,-1.96339,5.11391592218,-64.2028657676,-19.4702435814,1.7622,15.4353,0.0133008,1.76285023502,0.923404,-37.6692247443,23,1.76726600196,0.0815161523173,8.0529857843,17.8924,20.2050436943,-29.8025916785,-56.6419214316,23,1.76833
-43.7719888979,-1.97123,9.6687968027,-60.8894988753,-17.1307880787,1.7694,15.8221,0.0135393,1.76997378807,0.900842,-24.8122523928,24,1.77369916895,0.0811379115569,338.816878961,18.4035,111.642860588,8.3674699431,-53.2191388731,24,1.77465
-34.7932326262,-1.98094,4.77530380308,-44.5639857358,-14.3113970349,1.78765,16.2421,0.0138159,1.78827902002,0.920079,-5.32887393639,25,1.7918798572,0.0803867420273,78.0168923669,18.8855,48.9714576934,-9.68433949597,-55.8962093463,25,1.79251
-32.7821209579,-1.97683,5.88770643537,-43.0795796991,-14.078145384,1.79731,16.6084,0.0114062,1.79786530592,0.906301,-3.1125239389,26,1.80119353393,0.0747052464732,-7.58716138847,19.3924,15.6959235675,-27.1117005228,-53.449801602,26,1.80191
-7.7321137331,-1.9738,2.74784578707,-13.7434914928,-6.45162835425,1.80945,17.0151,0.0128052,1.81001912977,0.893901,-2.66311458462,27,1.81346469261,0.0753461379213,-0.947922881258,19.7681,16.3483406754,-30.8257374707,-56.1534183445,27,1.81398
-7.7274242691,-1.93558,2.48691080914,-13.4465881484,-6.23295288113,1.78906,17.4243,0.0134671,1.78935934824,0.88885,-3.40344634603,28,1.79323390132,0.0741019828585,16.0348126848,20.3671,10.3674788005,-9.30289615895,-33.2922699381,28,1.7938
-8.61777647465,-1.90002,5.08157232841,-25.9662401393,-4.87629770995,1.75971,17.8115,0.0115558,1.76032250301,0.93305,-2.7206803369,29,1.76490617553,0.0702424779626,6.60498134545,20.9183,7.30115205058,-9.03241871853,-28.1204956755,29,1.76545
-2.78177831579,-1.89549,61.0414660181,-129.741319051,-1.89879396678,1.73188,18.1499,0.0109243,1.73222025026,0.935379,304.154519177,30,1.73756272451,0.0669157222651,1.16894572422,21.9018,7.01187755572,-10.5428362795,-32.1308153309,30,1.73779
59.2207199338,-2.17742,77.5687251179,-44.0762528345,30.3628326822,1.80909,18.499,0.0171788,1.81003709911,0.956621,326.207390543,31,1.81338531984,0.0863409971743,86.2435110317,22.443,23.4083679526,17.3678717118,-6.66719297602,31,1.81321
