AverageAbsQYDiff,AverageAbsY,AverageEsReturn,MinReturn,AverageAction,MaxEsReturn,AveragePolicySurr,Iteration,AverageY,AverageDiscountedReturn,MinEsReturn,QFunRegParamNorm,MaxReturn,Epoch,AverageReturn,StdEsReturn,AverageQ,AverageAbsQ,AverageQLoss,PolicyRegParamNorm,StdReturn
0.399276263488,24.8436730871,465.757104517,801.158548972,0.999374,776.962894721,-24.9954,1934,24.8393955031,257.913131455,212.872874596,217.795,3296.6495023,1934,2216.52210677,194.8277612,24.8397,24.849,1.40617,227.574,752.689854575
0.434402392765,24.8405769229,320.989543633,789.628209814,0.999653,439.356647815,-25.0235,1935,24.836336118,253.550876833,85.9632192126,217.868,3227.34173401,1935,2169.06129289,120.218427737,24.8358,24.8533,1.61477,227.552,755.854603991
0.405376107271,24.7965255231,491.88077179,499.540039211,0.999419,951.151648048,-24.9661,1936,24.7909943252,242.155608135,66.2052075571,217.871,2090.67836566,1936,973.173719588,321.346144592,24.79,24.802,1.44299,227.614,365.754237841
0.411016817608,24.8276104381,397.321138201,521.904602368,0.999535,681.541164694,-24.9909,1937,24.8236212853,252.007625983,199.641732641,217.858,3445.31561395,1937,1010.97340891,192.035844471,24.8225,24.8337,1.42941,227.556,470.063437423
0.426529464815,24.8230725231,289.811986212,230.646231162,0.999221,697.034981689,-24.9814,1938,24.8191959397,151.811722681,62.4057404687,217.872,530.505452522,1938,290.015386283,208.948956065,24.8189,24.8327,1.68717,227.608,99.5566557924
0.421291844264,24.8421660108,223.647402683,59.122782546,0.999739,532.499303825,-24.9922,1939,24.8389120989,52.0306152627,17.0551963635,217.939,246.175748846,1939,63.9470662878,152.597649473,24.8382,24.8499,1.4874,227.627,16.017335322
0.406475883414,24.816230364,165.504796999,63.7105132181,0.99978,503.155691459,-24.9708,1940,24.8119139281,140.619166494,42.3721228679,217.963,261.131970291,1940,245.323089998,144.832822238,24.8096,24.8208,1.4836,227.628,26.3854916925
0.432340194107,24.8121490834,75.5441632161,63.3241767684,0.999354,238.295026724,-24.9808,1941,24.8096167944,129.589243859,19.6039130215,217.986,240.847490523,1941,219.470272442,47.2177612296,24.8088,24.82,1.61042,227.763,43.7258147177
0.437630108285,24.8238058931,118.773758298,59.6949590073,0.999027,316.166254952,-24.9743,1942,24.8198340056,67.1076372168,52.2545056798,218.009,254.973418396,1942,94.085180353,87.3962690511,24.8197,24.8319,1.66158,227.749,65.2555981213
0.419811611325,24.8088445733,178.191956658,209.112731534,0.999573,273.868947725,-24.9809,1943,24.8043940182,134.171645732,10.6120971957,218.018,250.885121799,1943,228.750054857,91.4876773938,24.8034,24.8144,1.3979,227.82,9.12699234052
0.458961521794,24.7377946589,367.549881251,243.516335141,0.999477,905.4213557,-24.9118,1944,24.7330276531,255.05472302,108.172994309,218.038,3192.18388979,1944,1892.38701365,241.1282169,24.7323,24.7469,1.90178,227.912,739.892573466
