StdEsReturn,MinEsReturn,AverageReturn,MinReturn,AverageAbsY,StdReturn,AverageEsReturn,AverageY,MaxReturn,AverageAbsQ,AverageDiscountedReturn,AveragePolicySurr,AverageAbsQYDiff,PolicyRegParamNorm,Epoch,Iteration,QFunRegParamNorm,MaxEsReturn,AverageAction,AverageQ,AverageQLoss
0.0,19.5897828529,480.634522647,189.930616545,3.14334342709,103.413649995,19.5897828529,2.77129565557,565.244705587,3.11241,31.7801223724,-3.44139,0.390575874642,19.0172,19,19,19.1235,19.5897828529,0.705444,2.76876,0.288025
0.0,103.631975328,411.490060457,-110.202698119,3.48861542009,211.013732591,103.631975328,3.17571451275,595.854874293,3.4598,-1.15775730873,-3.9107,0.419194351718,19.6148,20,20,19.9104,103.631975328,0.702565,3.17328,0.332878
0.0,238.753398063,454.70779838,81.2501774969,3.92269704891,215.228921625,238.753398063,3.67263455664,723.289797717,3.89425,-15.0573505613,-4.4755,0.445155660283,20.1834,21,21,20.5973,238.753398063,0.759324,3.66936,0.36426
0.0,254.721328367,223.522448397,98.904939421,4.40697875375,51.4551164092,254.721328367,4.22346940594,298.496909819,4.38028,20.0988969253,-5.09851,0.476212739824,20.8961,22,22,21.3079,254.721328367,0.778301,4.21963,0.419658
0.0,198.146798694,529.590258163,264.30499604,4.98892813017,127.246369552,198.146798694,4.86270064804,724.830466271,4.96738,80.1711171684,-5.7867,0.508533000705,21.6145,23,23,21.9736,198.146798694,0.783204,4.85844,0.478361
0.0,225.764657627,674.083035865,605.741047053,5.70130653779,37.2101270147,225.764657627,5.62157592975,733.060535449,5.68287,57.1697017717,-6.59769,0.546997192383,22.2558,24,24,22.6142,225.764657627,0.768275,5.61685,0.566119
0.0,293.111159023,640.681957616,532.700132645,6.41944578845,107.882856836,293.111159023,6.37304675875,929.483486602,6.4054,93.3486890237,-7.38647,0.572923644996,22.8321,25,25,23.1945,293.111159023,0.824453,6.36679,0.625934
0.0,418.462746111,512.536951875,-118.939197362,7.28365946239,252.624972858,418.462746111,7.25931967389,670.58375727,7.27258,91.806509326,-8.33329,0.596001986438,23.3798,26,26,23.7441,418.462746111,0.780894,7.25318,0.688671
0.0,327.199580244,682.290617334,536.52241256,8.20538579413,82.6667867705,327.199580244,8.19053747807,849.990336615,8.19454,66.0253256824,-9.28603,0.616504219679,23.8464,27,27,24.2735,327.199580244,0.742786,8.18403,0.736224
0.0,534.622534389,967.211411358,813.525558747,9.18161615308,64.9022655442,534.622534389,9.15011415355,1027.26359409,9.15683,74.7709593381,-10.3102,0.717521889242,24.2819,28,28,24.935,534.622534389,0.743805,9.14318,1.1621
0.0,-189.358737143,910.673706385,758.944682965,10.0232278542,75.1984069145,-189.358737143,9.99577583167,1023.48071086,10.0057,85.2249168635,-11.1415,0.691284777459,24.7322,29,29,25.4754,-189.358737143,0.727289,9.98885,0.951858
0.0,482.672808662,871.672279335,763.32908176,10.9495888451,51.2211953117,482.672808662,10.9330045628,956.581988192,10.9359,80.3292862635,-12.0801,0.685058058658,25.1482,30,30,25.9782,482.672808662,0.739029,10.9257,0.954484
0.0,371.963361381,927.238828901,831.676117068,11.8121978235,60.125263827,371.963361381,11.8003759083,1004.01604845,11.7994,105.249395894,-12.9493,0.682580446607,25.5569,31,31,26.4231,371.963361381,0.751726,11.7921,0.957046
0.0,525.647978032,807.622746773,686.669565983,12.815258712,56.2464590505,525.647978032,12.8071984614,891.695426648,12.8038,77.3664318154,-13.9598,0.697580946841,25.9575,32,32,26.9286,525.647978032,0.780568,12.7997,1.06973
0.0,534.972113507,966.554610502,857.771640197,13.8237115372,71.641213142,534.972113507,13.81883142,1076.54271053,13.8134,98.6051608116,-14.9698,0.713283401241,26.4219,33,33,27.3837,534.972113507,0.789949,13.8111,1.10674
