StdEsReturn,AverageEsReturn,MinEsReturn,AverageAction,PolicyRegParamNorm,MinReturn,AverageQLoss,AverageDiscountedReturn,Iteration,StdReturn,AverageAbsQYDiff,AverageQ,AverageAbsQ,QFunRegParamNorm,AveragePolicySurr,AverageY,Epoch,MaxEsReturn,AverageAbsY,AverageReturn,MaxReturn
55.5457667611,120.713751016,11.3715644913,0.856804,34.4549,111.07424088,37.2206,95.8872714972,76,20.9725806809,3.49648868983,84.0693,84.2028,46.1045,-87.5702,84.0900104604,76,203.373181666,84.2058923648,153.708008629,258.633490256
76.6991669228,127.419972152,3.79152500124,0.834115,34.6181,101.216991594,41.9036,96.1445589265,77,25.6186862828,3.59514338758,85.9828,86.1247,46.4547,-89.5421,86.0065503187,77,223.575670051,86.1300766161,147.066913115,257.114897496
93.5027426252,130.52860171,-8.3914702185,0.813491,34.8454,115.833488182,38.7108,96.2655254538,78,48.9521114941,3.55114390647,87.7701,87.9114,46.7759,-91.2689,87.7976729847,78,301.119056336,87.9075102092,160.532149133,324.063849238
91.5411965291,103.082251889,-14.2004729483,0.855007,35.0101,3.84971801742,37.9029,117.185606255,79,134.265890874,3.5532583448,89.2913,89.4391,47.1544,-92.7867,89.3109793507,79,258.464979318,89.4375920932,253.010072751,1067.1160593
91.9112191739,150.88896647,-3.25148215512,0.797896,35.1899,117.963230015,45.3999,116.315928343,80,98.0114913717,3.76418276552,91.1951,91.3282,47.5177,-94.813,91.2279701914,80,349.80897328,91.3284364818,253.309881557,421.660860026
57.9941701878,170.997837537,116.566962674,0.800144,35.3529,79.2198871666,42.1357,99.9176557489,81,72.3864300185,3.7179773567,92.9081,93.0478,47.7941,-96.6669,92.9271030872,81,304.732114726,93.0391832033,180.008249444,365.96103428
112.561679138,99.8063469596,-6.99392453365,0.883858,35.5617,-2.35858752406,48.4854,-1.36398515375,82,0.390414363827,3.85340878399,94.3696,94.501,48.1487,-97.9968,94.3970943647,82,310.120939973,94.5106983012,-1.37730848069,-0.374940193074
108.473274888,129.098363501,-6.36785589011,0.945931,35.7824,79.5600487051,48.3942,64.318586293,83,2.50970109222,3.86946854782,96.4962,96.6171,48.5113,-100.243,96.5272530152,83,284.467760744,96.6320516821,90.8034601126,97.8596273365
76.5056455236,167.130556989,-1.06726906271,0.814234,35.9595,76.3133222476,44.8899,132.342260311,84,85.1895768477,3.78513259218,98.2643,98.4083,48.8384,-102.135,98.2893175016,84,273.371525732,98.4076824134,332.956739352,500.215492926
73.4533205973,106.570555934,-5.37455075811,0.848613,36.1721,114.268226072,44.7771,93.8864712512,85,37.8749682488,3.82669821192,99.5329,99.6621,49.2076,-103.464,99.5570037681,85,194.881638417,99.666058796,169.658594781,299.218352876
72.053635043,105.172298314,-3.38726025156,0.858287,36.3596,99.3975053228,47.9377,85.4093551684,86,58.7307355529,3.90970558874,101.687,101.832,49.5248,-105.584,101.71087689,86,210.262842716,101.829654289,166.415179876,383.350702157
137.468140858,217.256787167,1.94900595134,0.849489,36.5108,140.789563231,50.6743,96.6910297855,87,27.7730793394,3.95424958485,103.355,103.493,49.871,-107.223,103.397631214,87,425.038755137,103.514866463,215.963549871,276.778731559
106.712993033,94.4353083318,-2.77109835213,0.874069,36.736,-0.341812127961,48.3552,14.8403334884,88,69.981306688,3.89022960933,104.842,104.986,50.1719,-108.781,104.863215645,88,292.855287353,104.987551891,28.3760549612,441.090642691
122.366100103,85.5757349625,-2.80677380386,0.855342,36.9165,-0.415445564433,54.7962,66.5216548188,89,103.167627741,4.06740533787,106.845,106.979,50.541,-110.796,106.875898004,89,311.002354516,106.987484025,129.910218522,376.302905307
135.920581932,197.631148266,-1.88564724627,0.853198,37.1067,-1.61328811064,52.1188,105.831651423,90,58.4200752457,4.03544283777,108.121,108.256,50.9526,-111.958,108.139650402,90,473.084383246,108.249118664,205.306787894,324.943843245
100.520757224,125.838907316,-2.91784302851,0.900204,37.2799,0.23914589881,53.549,105.153066004,91,330.644174335,4.12756571838,109.218,109.38,51.2326,-113.189,109.256878516,91,285.584675996,109.38793266,388.936194735,1171.08332545
130.132327398,111.449744776,-2.04949431881,0.832648,37.4794,83.2641637318,50.7778,98.4596193295,92,41.7613271364,4.05472030689,110.803,110.948,51.5484,-114.641,110.824400496,92,358.061527003,110.946887442,234.011472412,367.048761304
69.9688303998,142.165990972,-8.86274210306,0.816708,37.6548,119.493725052,53.1472,115.794367076,93,99.6619442216,4.09891199368,112.805,112.958,51.8261,-116.772,112.833134482,93,250.825271103,112.958149151,266.15188248,480.072655458
