Iteration,AverageAction,AveragePolicySurr,AverageQ,AverageEsReturn,AverageReturn,MaxEsReturn,AverageAbsY,PolicyRegParamNorm,AverageAbsQ,MinEsReturn,AverageQLoss,Epoch,StdReturn,MaxReturn,StdEsReturn,QFunRegParamNorm,AverageDiscountedReturn,MinReturn,AverageAbsQYDiff,AverageY
52,0.793032,-50.4819,47.7767,198.909561787,215.208479305,322.588884111,48.2994213307,30.3123,48.2694,-32.284422632,18.5872,52,81.3008114764,379.896359874,106.426887203,36.7641,107.430290693,-22.9496841588,2.41523963479,47.7986294903
53,0.842018,-52.2355,49.3166,183.888383377,263.195067049,292.925734284,49.8157156642,30.4555,49.791,-14.6459040129,18.7747,53,88.0529595804,679.970973518,94.4643536101,37.1921,121.05305063,163.348851461,2.42572146563,49.3322152981
54,0.835408,-54.1823,51.2878,185.291669823,238.996121167,563.870943982,51.739857743,30.6322,51.7025,31.9390187134,22.4818,54,99.0722570803,457.621333387,177.809770463,37.671,113.218336913,87.2940632275,2.61365942112,51.312610071
55,0.84326,-55.9782,52.9646,207.758988541,309.117619848,664.682591042,53.391452076,30.7947,53.3576,-1.04711686334,21.7186,55,113.040027875,589.951799336,222.834458998,38.0599,121.484280993,149.512601456,2.61201643998,52.9859682635
56,0.808155,-58.0578,55.0831,171.599790986,196.434979766,333.461123817,55.4451715657,31.0134,55.4173,3.32944427011,22.5291,56,60.524612354,310.655690401,113.512542422,38.4692,103.249831321,93.2080014776,2.63824379826,55.1033926701
57,0.8735,-59.7144,56.846,115.22662738,249.453687011,206.055995774,57.2025222979,31.2353,57.1681,-32.4713668397,26.5561,57,97.3770155609,472.267360906,83.0184102714,38.8633,112.350262468,118.740237392,2.8135301753,56.8692784709
58,0.85084,-61.1716,58.2033,142.756945556,257.473798413,249.070852383,58.5580121143,31.4814,58.5361,43.576131605,26.1922,58,54.0279838844,441.987556362,65.2296240022,39.2716,124.070334947,85.5372832601,2.80268655656,58.2263797501
59,0.843596,-63.4207,60.3729,192.139354803,132.240608912,381.682997897,60.7274247383,31.7306,60.6924,32.1824955864,25.9202,59,58.3466575468,374.86639976,123.336206635,39.6105,74.561594399,85.7997728143,2.80922576253,60.4025612542
60,0.872561,-65.1313,61.9396,98.6833210774,152.047258284,236.221754826,62.2564307605,31.9623,62.2362,-6.83444141113,27.2281,60,90.1422472325,511.576448157,66.5493072685,39.9701,81.1516238896,54.4433877982,2.88168370636,61.9589900471
61,0.850067,-66.9241,63.6731,231.982917281,137.181541432,439.662162883,63.9740071652,32.122,63.9455,111.683972195,26.9042,61,51.6619010681,286.298190684,121.752520278,40.4003,66.7609408293,77.5478700725,2.9420418802,63.7008521587
62,0.892472,-69.1854,65.847,150.790342445,144.165447351,387.943804223,66.1107106907,32.3509,66.0803,-29.7684995965,26.5383,62,41.9400831514,328.098295017,110.875618909,40.7435,81.6318469413,115.105620628,2.93968511216,65.8716864049
63,0.879783,-70.8395,67.5306,98.6462832063,140.350945203,330.283086379,67.7734658143,32.5904,67.7463,-8.15672747214,31.7579,63,120.954222304,758.925746984,114.15375518,41.218,63.8686264314,8.79506909808,3.07709668213,67.5659349749
64,0.860377,-73.0258,69.5734,168.70464586,128.240326469,464.057127448,69.7618154391,32.7997,69.7482,3.91146749549,33.5883,64,60.2997436229,348.065789735,141.33077444,41.5953,63.8736130515,16.1067341301,3.13354176979,69.599577585
65,0.844469,-74.5563,71.0073,151.940305244,148.26649519,394.296050552,71.2077776788,32.9583,71.1777,5.97062796437,33.1683,65,71.9650291931,367.791728965,128.31723259,42.053,65.8338758826,45.9370730446,3.16217798846,71.0432150819
66,0.894908,-76.4165,73.0598,88.6170410538,207.940804561,181.977759193,73.2176036412,33.1298,73.2005,-4.04731396421,32.2534,66,56.2562162597,304.366208826,60.3367558769,42.419,108.524265977,123.500799951,3.18899969744,73.0786658195
67,0.842976,-78.4434,74.9412,127.979769949,105.099376747,242.080685187,75.0893234965,33.2822,75.0604,4.23919293397,32.1205,67,33.6800444661,313.394100722,70.6682056153,42.8423,66.1160620843,80.1334902364,3.19579955337,74.9767663
68,0.829491,-80.3391,76.7814,154.852209562,125.392951373,319.632863146,76.9235972287,33.4164,76.9002,-1.75238967384,32.7588,68,25.3895311955,317.26511425,81.6167332332,43.2139,77.9941914247,105.064608435,3.23980106991,76.8073853755
69,0.888535,-82.3129,78.767,175.427398894,198.331653716,292.47707999,78.9014130281,33.6417,78.8783,-2.7482197394,36.5636,69,45.6849923352,357.21394947,99.3907954566,43.5788,101.540827623,124.394060349,3.27904918009,78.7889314357
70,0.865559,-83.945,80.3528,144.050290483,156.162612205,281.262717077,80.4752505821,33.8108,80.454,-3.19096619102,35.4166,70,52.6477841755,342.951082351,111.332612346,43.9853,93.6925819397,114.925442791,3.32913826145,80.3811880941
71,0.912582,-85.3258,81.6998,136.775116476,174.839852367,298.563157477,81.8259328319,33.986,81.7934,7.63696536357,34.438,71,14.8424651991,237.85237347,81.343457824,44.2836,104.785317285,146.679629995,3.33860169719,81.7334865161
72,0.902983,-87.131,83.4664,177.539129159,132.304032561,468.495654414,83.5877834824,34.1691,83.5633,63.6902098619,39.8753,72,9.85673471468,144.197790026,120.295851583,44.6776,89.6522600394,111.529664424,3.41593639141,83.4974603352
73,0.836867,-88.9474,85.2224,153.979887392,151.225615041,288.045362427,85.3301936981,34.3049,85.3123,1.81524054967,40.3034,73,9.6988725623,168.4843283,94.3053996313,45.0235,91.6459391366,127.358918745,3.41670786633,85.2461960052
74,0.855155,-90.8233,87.0591,156.272934147,124.914880817,322.390235067,87.1765173409,34.4265,87.149,-0.198950049787,39.4769,74,3.53051137871,135.199706042,82.3883319548,45.3532,85.7726712764,119.917079659,3.43854811012,87.0912912788
75,0.860306,-92.3199,88.6433,199.238198557,112.059945552,332.445209205,88.7572581216,34.6374,88.7337,44.393101187,42.9075,75,21.9449049714,205.596208974,99.795010343,45.6467,61.4537865322,80.6308335171,3.53773483855,88.6802590635
