MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,StdReturn,MinReturn,AverageEsReturn,AverageAbsY,Epoch,MinEsReturn,Iteration,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss,AveragePolicySurr,AverageReturn,AverageQ,AverageAction,MaxReturn,StdEsReturn,PolicyRegParamNorm,AverageY
93.8377566827,2.54790547048,8.80004,27.0015583676,-0.893234651636,79.0553141341,8.71467730273,41,-0.101428197548,41,85.0419,0.523498245372,4.64363,-8.59022,7.66608036395,8.15489,0.0155118,93.0525023962,32.3593267565,27.4183,8.15730132878
94.6937149609,14.5547045325,9.59762,35.7983684334,-0.155115287098,78.436516803,9.51635804699,42,-2.14432439211,42,84.9595,0.494578385265,2.93338,-9.35735,74.3207084876,8.90282,0.217539,93.1865015286,32.9368932032,27.512,8.90354947286
95.1377756376,19.6055465114,10.503,25.6859810935,-0.990840480939,83.2317657917,10.430061396,43,-3.07889631066,43,84.8258,0.48563241088,2.19931,-10.2435,84.1827192831,9.76484,0.355075,92.9785990668,30.5289976754,27.7522,9.76567268544
98.7093442686,6.19726642974,11.2549,46.3102141716,-0.00415888857399,92.7773095361,11.1843237152,44,87.6256459967,44,84.8851,0.544043273579,3.53592,-11.0216,40.8377592639,10.5072,0.0427406,94.3348996746,3.09300894593,27.8302,10.5082331901
93.3117778911,27.1352289913,11.9393,0.617280357126,91.0667109197,78.503810066,11.8781356342,45,-2.71439617877,45,84.9337,0.559261239832,3.91626,-11.7107,92.4184726838,11.1746,0.644108,93.1651353315,33.1719701334,28.0183,11.175527723
92.7293480805,26.5943698124,12.924,0.604169688553,89.2468009669,90.9858057398,12.8596798769,46,87.3892334911,46,84.7801,0.58223631626,3.74152,-12.6968,90.9535265539,12.124,0.788208,91.5104755463,1.82241664261,28.2108,12.1254636083
98.9553652108,21.8705329492,13.7672,2.58400213794,80.5670510076,90.3338673906,13.7035460031,47,84.8998877207,47,85.0242,0.542931064095,3.16378,-13.556,89.4223373714,12.9564,0.785392,91.591579567,5.15475251452,28.3699,12.957910989
97.3478836886,26.3572441403,14.5222,0.630852585451,89.7977471838,89.0439273257,14.4715497546,48,77.2348365237,48,85.1598,0.581559887734,4.2387,-14.3377,91.18866742,13.7208,0.752432,91.9853031619,7.33985218639,28.4526,13.7250710134
92.1049082302,5.9875191576,15.204,38.9689435508,-0.549421496161,89.7288275408,15.1503361176,49,82.8586478877,49,85.5956,0.580886532286,4.2779,-15.0485,20.8682557153,14.394,0.0277337,92.4834903788,3.07910834031,28.4952,14.394596957
94.180134555,-0.306472549031,15.8691,0.0091678099338,-3.08855615001,78.0875836861,15.8142389483,50,-1.98530127975,50,86.1738,0.591195264343,3.32809,-15.7737,-3.07545718893,15.0882,0.0307854,-3.05970524119,32.7249210689,28.6706,15.0912389208
92.9849924754,-0.0154399109739,16.5904,0.0304798303966,-0.104865054876,78.0560731041,16.5433812165,51,-2.85721829069,51,86.7263,0.5979703859,3.92186,-16.544,-0.0310428195076,15.8485,0.000310739,-0.00297454499581,33.0508832206,28.8831,15.8516294982
93.35098141,15.6055670575,17.3869,1.22332557576,86.5097681412,74.8730804251,17.3428084487,52,-1.39963021663,52,87.5668,0.58293956614,3.61387,-17.4283,89.5101491899,16.6902,0.512926,90.873945021,34.1842533233,29.1912,16.6936485912
95.2792732292,14.8815675643,17.9849,45.3737903684,-0.459375365651,92.3922853028,17.9359093139,53,86.9849837738,53,88.1572,0.611277484966,3.55723,-18.0734,54.1652316007,17.3176,0.102212,92.3260160393,2.60441764938,29.3406,17.3192152
92.6435379871,3.37401660593,18.9481,33.9970430448,-0.0553683259033,75.3435528794,18.9015944378,54,-1.63073373684,54,88.8698,0.579760682006,2.84811,-19.0978,15.156042872,18.3275,0.017644,91.2637791558,34.4637029824,29.4897,18.3293294809
92.7608781246,-0.00801228211148,19.9607,0.00905630743189,-0.0349190231298,69.825941259,19.9108195955,55,-5.09294564102,55,89.5892,0.671199799927,4.49667,-20.1383,-0.0213491850355,19.3694,0.000213706,-0.00916696763793,37.7196818669,29.7538,19.3713769856
93.2396835192,-3.81171892848,20.5997,0.46255256693,-47.0774677589,71.7745109757,20.5517591519,56,-0.415361398199,56,90.1785,0.71392793417,5.07075,-20.8227,-46.143274802,20.0664,0.461895,-45.6068661051,36.1557152944,29.9963,20.0657605841
