AverageQ,Iteration,AverageAbsQ,AverageAbsQYDiff,Epoch,AverageY,AverageDiscountedReturn,AverageAbsY,AverageReturn,StdEsReturn,QFunRegParamNorm,MaxEsReturn,AverageEsReturn,PolicyRegParamNorm,AverageQLoss,MinEsReturn,StdReturn,AverageAction,AveragePolicySurr,MaxReturn,MinReturn
3.71798,58,3.72403,0.114122724915,58,3.71839079249,99.9956828753,3.71863186976,1000.0,11.9589590295,40.9573,61.0,13.5205479452,30.6548,0.0839119,2.0,0.0,0.187233,-4.13698,1000.0,1000.0
3.7886,59,3.79474,0.113463043684,59,3.78901331404,99.9956828753,3.7894135366,1000.0,11.0830643057,41.1995,59.0,13.1447368421,30.9396,0.0865175,3.0,0.0,0.163636,-4.21367,1000.0,1000.0
3.86543,60,3.87066,0.112802934624,60,3.86568218945,99.9956828753,3.86621931489,1000.0,9.19387361565,41.5142,51.0,11.7674418605,31.1575,0.0871226,3.0,0.0,0.301339,-4.29191,1000.0,1000.0
3.93165,61,3.93867,0.11709994284,61,3.93206367276,99.9956828753,3.93251049782,1000.0,9.11288895232,41.9532,76.0,10.7096774194,31.3731,0.0898102,3.0,0.0,0.269994,-4.37904,1000.0,1000.0
3.99568,62,4.00218,0.122290961407,62,3.99593469621,99.9956828753,3.99637128524,1000.0,8.32132468087,42.2777,43.0,11.0,31.5312,0.102941,3.0,0.0,0.231685,-4.44968,1000.0,1000.0
4.06315,63,4.07185,0.125360026832,63,4.06346653834,99.9956828753,4.06419745751,1000.0,9.78118740154,42.6679,66.0,11.9166666667,31.7903,0.100747,3.0,0.0,0.166822,-4.5288,1000.0,1000.0
4.12463,64,4.13274,0.130854102477,64,4.12506791768,99.9956828753,4.12596906261,1000.0,11.3116201804,43.0909,74.0,12.5308641975,31.9573,0.113003,3.0,0.0,0.111327,-4.59188,1000.0,1000.0
4.19218,65,4.20067,0.127017490043,65,4.19280253708,99.9956828753,4.19390733063,1000.0,11.3362109368,43.4049,61.0,12.3086419753,32.1377,0.108081,2.0,0.0,0.116571,-4.67658,1000.0,1000.0
4.25752,66,4.26569,0.129114318373,66,4.25763817918,99.9956828753,4.25866953722,1000.0,11.1595888081,43.7833,60.0,14.9701492537,32.2138,0.114683,3.0,0.0,0.165891,-4.73865,1000.0,1000.0
4.34064,67,4.34884,0.122719127611,67,4.34127292453,99.9956828753,4.34273792715,1000.0,13.3672528378,44.059,71.0,14.8656716418,32.2511,0.103427,2.0,0.0,0.159279,-4.82676,1000.0,1000.0
4.4026,68,4.41223,0.131488879273,68,4.40313786415,99.9956828753,4.40486226164,1000.0,14.650143035,44.448,68.0,16.0483870968,32.3506,0.120985,3.0,0.0,0.13642,-4.89373,1000.0,1000.0
4.47437,69,4.48412,0.143791467558,69,4.47475055365,79.8556130427,4.4762769005,164.032786885,20.0465294395,44.6807,106.0,17.5263157895,32.4366,0.136,3.0,34.701049832,0.493179,-4.96283,301.0,131.0
4.54711,70,4.55603,0.133898227256,70,4.54702670024,94.3541039042,4.54826790458,316.636363636,11.9734304654,44.986,67.0,15.390625,32.5399,0.122773,3.0,79.2023944319,0.217914,-5.05844,461.0,135.0
4.61827,71,4.62787,0.137579307456,71,4.6188210835,99.9956828753,4.61997034323,1000.0,11.0397310181,45.1565,56.0,12.8481012658,32.6395,0.128366,3.0,0.0,0.413623,-5.13392,1000.0,1000.0
4.69061,72,4.69921,0.144926661155,72,4.6909624554,99.9956828753,4.69177627191,1000.0,18.3928928519,45.5388,91.0,15.0,32.6863,0.141166,3.0,0.0,0.280748,-5.20873,1000.0,1000.0
4.75573,73,4.76542,0.144540000013,73,4.75644522994,99.9956828753,4.75732079162,1000.0,15.157240724,45.9522,107.0,12.8441558442,32.8203,0.147976,3.0,0.0,0.289909,-5.27998,1000.0,1000.0
4.83034,74,4.83833,0.138721321596,74,4.830372252,99.9956828753,4.83148003343,1000.0,14.9094867662,46.1329,74.0,14.2898550725,32.9957,0.140724,3.0,0.0,0.245159,-5.36054,1000.0,1000.0
4.89513,75,4.90491,0.142146691144,75,4.89600301392,99.9956828753,4.89727240106,1000.0,15.7071697534,46.3701,77.0,14.9264705882,33.1807,0.146301,3.0,0.0,0.291941,-5.43874,1000.0,1000.0
4.99617,76,5.00497,0.14365356053,76,4.99655991539,99.9956828753,4.99758821165,1000.0,12.1802406483,46.7429,59.0,14.2535211268,33.3811,0.14459,3.0,0.0,0.291238,-5.52749,1000.0,1000.0
5.0594,77,5.0681,0.139978633902,77,5.0595876287,99.9956828753,5.06050398701,1000.0,13.3276527015,46.9675,83.0,14.2714285714,33.4718,0.139308,3.0,0.0,0.388903,-5.59722,1000.0,1000.0
5.09266,78,5.10263,0.148396922619,78,5.0933336778,99.9956828753,5.09418984541,1000.0,13.3363697528,47.3615,72.0,13.8309859155,33.5459,0.154714,3.0,0.0,0.346546,-5.66138,1000.0,1000.0
5.17971,79,5.19045,0.149367416393,79,5.18010223754,99.9956828753,5.18171667786,1000.0,9.97679118338,47.6514,57.0,12.2048192771,33.6657,0.15416,3.0,0.0,0.411905,-5.72808,1000.0,1000.0
5.24053,80,5.25096,0.148904151131,80,5.24131853959,99.9956828753,5.24296625195,1000.0,10.0136703436,48.0269,47.0,12.5375,33.7734,0.15988,3.0,0.0,0.373362,-5.80945,1000.0,1000.0
5.30094,81,5.31304,0.156004719424,81,5.30110428132,99.9956828753,5.30287945174,1000.0,10.9072152152,48.3066,52.0,12.2125,33.8502,0.166781,3.0,0.0,0.141167,-5.87294,1000.0,1000.0
5.37241,82,5.38329,0.145966812831,82,5.37285792669,99.9956828753,5.37455392169,1000.0,11.0058939422,48.7206,57.0,12.987012987,34.0913,0.15529,3.0,0.0,0.20836,-5.93938,1000.0,1000.0
5.44029,83,5.45202,0.168698582489,83,5.440545327,99.9956828753,5.44193897764,1000.0,10.6621873852,48.9285,49.0,13.3506493506,34.2885,0.200536,3.0,0.0,0.214088,-6.0201,1000.0,1000.0
5.50986,84,5.52001,0.155362166748,84,5.51023239488,99.9956828753,5.51123643486,1000.0,7.64732530691,49.2878,39.0,10.956043956,34.4404,0.168656,3.0,0.0,0.146541,-6.09068,1000.0,1000.0
5.57224,85,5.5825,0.151402185868,85,5.57267598973,99.9956828753,5.57405406034,1000.0,12.0966583166,49.5356,78.0,13.1643835616,34.587,0.172233,3.0,0.0,0.19814,-6.15805,1000.0,1000.0
5.64232,86,5.65543,0.160163871561,86,5.64273886215,99.9956828753,5.64399929736,1000.0,10.6129637708,49.8109,58.0,12.3,34.7856,0.184089,3.0,0.0,0.321327,-6.23095,1000.0,1000.0
5.71082,87,5.72287,0.158730921694,87,5.71143593019,99.9956828753,5.71294849072,1000.0,14.9432965583,49.9353,91.0,16.0303030303,35.0654,0.184506,3.0,0.0,0.397568,-6.30485,1000.0,1000.0
5.76944,88,5.78184,0.160700652525,88,5.76960141429,99.9956828753,5.77079662569,1000.0,16.1734585152,50.0733,115.0,14.4492753623,35.3032,0.190501,3.0,0.0,0.202353,-6.36397,1000.0,1000.0
5.812,89,5.82573,0.165070044539,89,5.81272638335,99.9956828753,5.81430868983,1000.0,10.9403855751,50.3994,51.0,12.4683544304,35.529,0.189564,3.0,0.0,0.465225,-6.41318,1000.0,1000.0
5.87162,90,5.88421,0.160501522112,90,5.87194075912,99.9956828753,5.87326500903,1000.0,14.3368425241,50.7252,75.0,14.6956521739,35.6448,0.190121,3.0,0.0,0.0492249,-6.4885,1000.0,1000.0
5.91309,91,5.9269,0.169751887763,91,5.91389460882,99.9956828753,5.91536526185,1000.0,8.48038603191,50.991,43.0,10.1111111111,35.8409,0.225887,3.0,0.0,0.0563333,-6.5412,1000.0,1000.0
5.97992,92,5.99262,0.165886531421,92,5.98001235228,99.9956828753,5.98115221643,1000.0,7.56046997229,51.2512,40.0,10.6595744681,36.0793,0.20156,3.0,0.0,0.063149,-6.61704,1000.0,1000.0
6.0352,93,6.04828,0.176603531417,93,6.03561954066,99.9956828753,6.03680935967,1000.0,6.15942015393,51.5803,35.0,8.58928571429,36.1917,0.22514,3.0,0.0,0.0815969,-6.6883,1000.0,1000.0
6.11631,94,6.1299,0.172822641934,94,6.11663352834,99.9956828753,6.11823445317,1000.0,9.31716502281,51.964,44.0,11.2637362637,36.3598,0.222506,3.0,0.0,0.0487303,-6.74261,1000.0,1000.0
6.16327,95,6.17699,0.175962916288,95,6.16362201418,99.9956828753,6.16539640271,1000.0,8.43925715869,52.2317,49.0,9.75961538462,36.493,0.223079,3.0,0.0,0.128966,-6.82052,1000.0,1000.0
6.22286,96,6.23675,0.172558926661,96,6.22344534142,99.9956828753,6.22519126227,1000.0,7.59140986028,52.4211,37.0,10.2474226804,36.7622,0.215076,2.0,0.0,0.277356,-6.87639,1000.0,1000.0
6.26213,97,6.27645,0.192125122352,97,6.26213148872,99.9956828753,6.2636298188,1000.0,8.05780049234,52.6618,42.0,10.9230769231,37.0462,0.270952,3.0,0.0,0.250298,-6.94099,1000.0,1000.0
6.34426,98,6.35906,0.176934485561,98,6.34521496913,99.9956828753,6.34716102228,1000.0,8.22540997783,52.8698,40.0,12.4938271605,37.1141,0.222861,3.0,0.0,0.149805,-6.99367,1000.0,1000.0
6.41131,99,6.4253,0.175905863571,99,6.41127559929,99.9956828753,6.41303606725,1000.0,11.7020370126,52.9999,76.0,12.6455696203,37.2412,0.237916,2.0,0.0,0.0812491,-7.07668,1000.0,1000.0
6.46064,100,6.47635,0.179225813846,100,6.46135305837,99.9956828753,6.46386728665,1000.0,10.4258714351,53.2924,75.0,12.0,37.3684,0.233649,3.0,0.0,0.0666775,-7.14036,1000.0,1000.0
6.51383,101,6.53014,0.18282930336,101,6.51453991836,99.9956828753,6.51802896817,1000.0,10.1678096826,53.6036,78.0,11.8571428571,37.5337,0.250866,3.0,0.0,0.103105,-7.20268,1000.0,1000.0
6.57041,102,6.58991,0.2036281392,102,6.57064742828,99.9956828753,6.57321977626,1000.0,10.1022728608,53.7954,58.0,11.7764705882,37.7124,0.299499,3.0,0.0,0.0845644,-7.26959,1000.0,1000.0
6.65434,103,6.6703,0.179028782008,103,6.6550865131,99.9956828753,6.65830058327,1000.0,6.93926963776,54.1191,35.0,10.6808510638,37.867,0.243339,3.0,0.0,0.136971,-7.33815,1000.0,1000.0
6.71439,104,6.73291,0.185233163357,104,6.71466723969,99.9956828753,6.71739794603,1000.0,10.9090936115,54.4244,79.0,11.4827586207,38.0403,0.25929,3.0,0.0,0.176474,-7.39924,1000.0,1000.0
6.76334,105,6.78174,0.198088324103,105,6.76382646161,99.9956828753,6.76657185607,1000.0,10.8865413203,54.6035,59.0,13.0519480519,38.1142,0.282993,3.0,0.0,0.138737,-7.46655,1000.0,1000.0
6.84028,106,6.85747,0.192865886428,106,6.84059919207,99.9956828753,6.84378381293,1000.0,10.1217455166,54.8399,54.0,12.1951219512,38.2529,0.28699,2.0,0.0,0.0758058,-7.55271,1000.0,1000.0
6.84718,107,6.86674,0.203637848804,107,6.84750198042,99.9956828753,6.8503190469,1000.0,9.33602444017,55.0524,44.0,12.5063291139,38.2956,0.289897,2.0,0.0,0.255538,-7.58349,1000.0,1000.0
6.93029,108,6.94725,0.192951382693,108,6.93125284035,99.9956828753,6.93362297445,1000.0,11.7907986724,55.3082,60.0,13.48,38.463,0.283666,3.0,0.0,0.181642,-7.66962,1000.0,1000.0
7.00616,109,7.02368,0.194834855518,109,7.0063969763,99.9956828753,7.00852513538,1000.0,6.99211330268,55.5983,37.0,10.28125,38.5486,0.293021,3.0,0.0,0.117117,-7.75491,1000.0,1000.0
7.04884,110,7.06612,0.196909276193,110,7.04895431066,99.9956828753,7.05216074591,1000.0,11.2414661587,55.7806,51.0,13.9014084507,38.7032,0.295939,4.0,0.0,0.101282,-7.79968,1000.0,1000.0
7.13526,111,7.15394,0.208798896935,111,7.13589582087,60.9328777817,7.13824070672,332.870967742,10.5154785383,56.0761,41.0,13.2266666667,38.8773,0.332671,3.0,412.317270725,0.177607,-7.92092,1000.0,43.0
7.22518,112,7.24311,0.202049623344,112,7.22597522171,99.9956828753,7.22824973185,1000.0,11.8449104308,56.3366,57.0,14.8529411765,38.9679,0.31348,3.0,0.0,0.17405,-7.97676,1000.0,1000.0
7.28201,113,7.30155,0.21070603081,113,7.28227833051,99.9956828753,7.28526323249,1000.0,12.5242788321,56.6194,55.0,13.7027027027,39.1033,0.319258,3.0,0.0,0.179579,-8.03977,1000.0,1000.0
7.34335,114,7.36218,0.207437031421,114,7.34394096634,99.9956828753,7.34754847375,1000.0,15.3114336363,56.9084,81.0,14.4,39.2574,0.331512,3.0,0.0,0.0652995,-8.10936,1000.0,1000.0
7.4056,115,7.42556,0.218742661796,115,7.40618447404,99.9956828753,7.40842497168,1000.0,9.40817689334,57.1467,45.0,13.0821917808,39.3862,0.352614,3.0,0.0,0.124377,-8.20354,1000.0,1000.0
7.47044,116,7.48905,0.21189905286,116,7.47054936571,99.9956828753,7.47181639741,1000.0,10.8832184782,57.3617,61.0,12.8888888889,39.5658,0.330281,3.0,0.0,0.107237,-8.27642,1000.0,1000.0
7.55217,117,7.5701,0.210818377143,117,7.55259078734,99.9956828753,7.55425387756,1000.0,12.4543390798,57.5703,63.0,16.0483870968,39.6369,0.353632,3.0,0.0,0.0691038,-8.35611,1000.0,1000.0
7.61302,118,7.63083,0.212099312896,118,7.61353155657,99.9956828753,7.61460594103,1000.0,10.6485601801,57.8991,60.0,11.7411764706,39.7248,0.340463,3.0,0.0,0.210488,-8.42629,1000.0,1000.0
