AverageQ,PolicyRegParamNorm,MinEsReturn,AverageQLoss,Epoch,AverageAbsY,StdReturn,Iteration,AverageY,AveragePolicySurr,MaxReturn,AverageAbsQYDiff,AverageEsReturn,AverageReturn,AverageDiscountedReturn,StdEsReturn,QFunRegParamNorm,MinReturn,AverageAction,AverageAbsQ,MaxEsReturn
33.5464,35.5229,90.901195964,5.12249,73,33.5501905093,0.207280215938,73,33.5487972631,-34.4354,92.926298739,0.683483140646,93.8264551012,92.5065730198,41.0806905992,1.29571683012,93.4805,92.1333288743,0.964241,33.549,95.8013539745
34.803,35.7565,91.3293908763,4.2549,74,34.8069191341,0.0648261692643,74,34.8068863729,-35.7543,92.6009554529,0.655819887144,93.8678409861,92.5050758411,41.9906569864,1.05073283417,94.1588,92.3543199399,0.991865,34.8038,95.8149774044
35.9402,35.9639,88.623330645,5.94973,75,35.9437834226,0.0773380664877,75,35.9437474868,-36.9963,92.7000229197,0.719434666921,93.5183223328,92.5748138111,42.4497096497,2.90410849562,94.7229,92.3609249518,0.994577,35.9404,99.7
37.2413,36.1425,83.040444055,4.34391,76,37.2430726941,0.0810993191911,76,37.2430330926,-38.3945,92.700046141,0.666001200716,91.9973819283,92.5818437339,42.4101862607,3.57266068966,95.2379,92.3825891846,0.992346,37.2414,94.8233522616
38.5519,36.1988,88.785068726,4.7167,77,38.5555109151,0.0809252090814,77,38.5554675954,-39.7628,92.8000718681,0.661102471128,92.7601287046,92.7080361764,43.1379393412,1.6791314033,95.7892,92.4895515995,0.99393,38.5519,94.3334592269
39.7893,36.2295,89.8897219037,4.55837,78,39.792155452,0.079007133168,78,39.7921316264,-41.108,92.9001112715,0.67394015573,94.3154638006,92.80815742,43.6635721392,1.89157651156,96.3659,92.606131207,0.993506,39.7893,98.5105080795
41.4789,36.2615,93.3216500886,3.51349,79,41.4827534956,0.0847734795858,79,41.4827249099,-42.8074,93.0000309859,0.606632065718,94.4516921822,92.8571360453,43.9582486465,1.22451276695,96.8655,92.7026254769,0.994333,41.4789,98.541514027
43.3052,36.207,90.8468450235,4.31305,80,43.3086637843,0.0641963977894,80,43.3086158652,-44.774,92.9991738119,0.656640839879,94.2362297047,92.9031008839,44.1977848804,1.95327412872,97.3543,92.7641657827,0.994003,43.3052,99.0851548874
44.8422,36.238,92.9834986109,4.89565,81,44.8447716403,0.0565503368338,81,44.8447348985,-46.3876,93.0001006715,0.666508575041,94.3074614379,92.9157650198,44.293923054,1.35236270361,97.8679,92.7730683449,0.994798,44.8422,98.356746341
46.5306,36.2915,90.8614399814,3.42766,82,46.5343985628,0.0832579015427,82,46.5343635691,-48.1298,93.0999975387,0.635238864149,93.4032887793,92.9770771946,44.6175151895,1.29645186452,98.3782,92.717764974,0.994371,46.5306,94.9026204035
48.1815,36.3601,93.3225463776,4.93277,83,48.1822406473,0.102429700252,83,48.1822071463,-49.8932,92.7000173763,0.705016201105,93.8651176855,92.51600821,42.1778612648,0.312642778613,98.8139,92.3026830877,0.995686,48.1815,94.482492402
49.9665,36.4269,91.6976101033,3.78095,84,49.9713611651,0.0862132398908,84,49.9713277488,-51.702,92.7960378913,0.671959683562,93.7759617666,92.6235753979,42.7071305568,1.12631936935,99.1729,92.3947917984,0.994524,49.9665,95.6428897026
52.0461,36.5357,90.7607649971,4.22445,85,52.0502288962,0.0939835454713,85,52.0501888755,-53.8287,92.7000608783,0.698973130858,93.8495227193,92.5633167722,42.3840149512,1.44139061974,99.5798,92.3684931301,0.994427,52.0461,96.8190145279
53.5315,36.6059,87.8297913528,4.29618,86,53.5367848693,0.113786250041,86,53.5367401262,-55.3933,92.6998934415,0.690553877466,92.9166056224,92.5240984591,42.1675352909,2.48402878149,100.006,92.2069324025,0.994116,53.5315,95.3521499837
55.1835,36.679,88.8476012903,4.55758,87,55.1871283298,0.100732533259,87,55.187099727,-57.051,92.6991643672,0.693223462999,93.1227172623,92.5209153295,42.1638372947,2.80111037884,100.452,92.2073885286,0.994519,55.1835,99.1583917763
