PolicyRegParamNorm,AverageReturn,StdReturn,Iteration,AverageAbsY,AverageAction,QFunRegParamNorm,MaxReturn,StdEsReturn,MinEsReturn,AverageEsReturn,AveragePolicySurr,MaxEsReturn,AverageQ,AverageQLoss,Epoch,AverageY,AverageDiscountedReturn,AverageAbsQ,AverageAbsQYDiff,MinReturn
21.9531,76.4191271997,32.7934025181,47,1.38738198793,0.149265,41.4983,92.0888676905,3.26209277556,87.4040003354,93.5975917143,-1.45823,97.0455847245,1.38207,0.0258937,47,1.38227775667,-0.324679253887,1.39179,0.0474851760463,-7.14494287249
22.1208,70.7176372921,38.7146823751,48,1.4702508349,0.127645,42.4444,92.2695502981,1.28572824042,91.0229897414,92.3572329946,-1.54727,94.2576082214,1.46455,0.0372878,48,1.46472489233,-0.110858043854,1.47418,0.0521602608269,-10.3704914722
22.2779,71.4128722261,36.8912588264,49,1.53452455965,0.17445,43.3957,92.1197614765,3.43091998017,86.183954504,93.5750404604,-1.61412,99.6498004879,1.52947,0.0288784,49,1.52929445961,0.600897450067,1.53833,0.0496466951017,-8.2245991201
22.4963,83.2132509509,26.0857294138,50,1.67788055605,0.352148,44.2706,91.6074026019,3.43153422814,88.0086199365,92.9965400149,-1.75761,98.574776678,1.67265,0.0406031,50,1.67276562759,17.8169720298,1.68215,0.058596170539,-7.09959113727
22.6621,84.2454102703,24.7368908676,51,1.79322586289,0.264261,45.0418,92.2672807043,2.56638325075,86.8771052778,90.5125271599,-1.87331,93.7449316381,1.78728,0.0502049,51,1.78723226269,9.93732888153,1.79771,0.063657765972,-10.2850761498
22.7311,88.7770209648,17.8845662143,52,1.84906874471,0.211661,45.7888,95.1741981523,35.0644756334,-8.2738541946,77.447948819,-1.92492,93.6579331183,1.84279,0.0504333,52,1.84258257578,18.171764834,1.85415,0.0654301241815,-3.18781471018
22.9296,80.3239274446,30.8672202032,53,1.96314051983,0.18509,46.5431,94.8120362507,3.05532740167,88.9508975994,93.1479039113,-2.03711,98.2913482164,1.95604,0.0651192,53,1.95582162814,11.4978903643,1.9678,0.0685493143678,-6.38541071175
23.1414,39.5147142641,47.5566668008,54,2.05947915514,0.0808664,47.0283,93.3331502947,36.6153134511,-6.07835828182,75.7303467883,-2.13413,94.1160592833,2.05162,0.0622995,54,2.05183649222,0.557453522385,2.06272,0.0672908171529,-8.27175265397
23.3207,91.5657128439,2.24968262275,55,2.16817649599,0.189073,47.6466,93.9484385726,1.73373486349,89.5734264195,91.7842623284,-2.24331,94.7282305278,2.16106,0.0690542,55,2.16077604813,4.92738239077,2.17215,0.0709594330706,88.1838630779
23.3877,88.9307744664,15.0941185227,56,2.29971121022,0.415722,48.1243,94.5266251406,3.28739136138,85.7782004841,91.538907234,-2.37023,96.8786747802,2.29249,0.110844,56,2.29247053103,22.9945009409,2.30323,0.0828679807677,-11.8683025597
23.5059,47.1503803608,45.1090370333,57,2.33956274979,0.0969221,48.5445,91.0923422872,1.19019497558,90.3143903055,91.7280469324,-2.40386,93.6563071144,2.33187,0.0539858,57,2.33185096236,8.04882651323,2.34255,0.0686810679574,-1.21492460391
23.5823,19.6960532228,38.1674247812,58,2.46873365854,0.0418584,48.8861,92.7986855891,34.2273418551,-0.342111006603,76.1453929881,-2.53464,92.9622399763,2.46112,0.0568343,58,2.46084542422,3.77312494849,2.4725,0.0702066258164,-1.92348164924
23.7979,44.1240885547,45.2446614194,59,2.55588611609,0.103388,49.2726,91.1078713177,35.4128516465,-4.06174775686,75.091462523,-2.61695,92.0900650878,2.54628,0.057528,59,2.5466116809,10.1362828299,2.55777,0.063357089621,-1.54292259928
23.9202,47.8936852339,45.8143122084,60,2.63658622911,0.089111,49.6092,92.6147778274,34.8802440046,-7.82094330931,77.5021325552,-2.69738,95.1156265557,2.6274,0.0510763,60,2.62748019327,15.1572433092,2.6392,0.0658924634012,-0.705293322923
24.0997,87.1733994538,14.6329192435,61,2.71422825431,0.387333,50.0489,93.3269558373,1.69490165722,89.7260499301,91.3536921104,-2.76958,94.4832985369,2.70462,0.0450169,61,2.70470460092,16.4647404064,2.71706,0.067726308906,-1.32534991543
24.3143,88.7783761609,1.00529286097,62,2.83402417119,0.71037,50.4044,90.1225101448,3.04558508198,87.591491653,92.1487818457,-2.88488,98.5771504789,2.824,0.0590638,62,2.82431977255,18.6066593444,2.83603,0.0693357676208,85.6631624207
24.3731,90.0311561433,2.18069366632,63,2.9471109884,0.549843,50.8102,93.7716678343,2.37727702169,89.9499213052,92.3911843703,-2.99435,98.3156915335,2.93682,0.0339621,63,2.937051171,19.9224321129,2.94899,0.0620272564137,82.747407784
24.5683,90.8297130264,2.20750920494,64,2.98769884716,0.654631,51.2227,93.9598156177,1.22676411602,89.6379396242,91.7909418995,-3.03566,93.704064486,2.97788,0.0584647,64,2.97823794303,25.995800812,2.98907,0.072933601555,85.9720575837
24.7245,91.1919450663,2.40060964679,65,3.0211471652,0.678748,51.652,94.251966436,3.91400240961,87.4701361116,91.0652844445,-3.06799,98.9345901311,3.01174,0.0400647,65,3.01225444299,27.2224853778,3.02251,0.0599687440786,84.5499217411
24.9436,94.0414554159,0.442368271176,66,3.12943293434,0.758975,52.2678,94.4034019021,2.2957314302,88.285920969,92.250195656,-3.17662,96.0222150469,3.12004,0.0564309,66,3.12040026593,42.7044634824,3.13099,0.073244146272,92.5880886593
25.1681,93.4927938408,0.052515907242,67,3.19828839823,0.977797,52.8169,93.5977838045,2.1229586943,90.5186481641,94.1798008453,-3.24953,99.1344855129,3.18968,0.0363455,67,3.19014940812,46.99792785,3.19898,0.0669503768711,93.3724227162
25.3755,93.331673914,0.0440752833723,68,3.29477395261,0.99239,53.4173,93.4206887623,1.55055888131,89.9452800875,93.4777947987,-3.3467,96.1669966031,3.28621,0.0600908,68,3.28665198328,46.5441157415,3.29527,0.0814147191647,93.2357634281
25.4914,93.2657836852,0.0313370577096,69,3.38174405017,0.990326,54.0087,93.3246376047,2.07745100545,87.4034959984,93.2728645616,-3.4449,95.0691501876,3.37477,0.044538,69,3.37521532112,46.0981719931,3.38204,0.075227246451,93.2189465067
25.6854,93.151846107,0.052366067074,70,3.54159569623,0.989618,54.5152,93.2144453641,1.36314473702,90.6036972738,93.359535036,-3.61524,95.4352549461,3.5352,0.0527509,70,3.53587768028,45.4297058533,3.54192,0.0883129677808,93.0306032626
25.7846,92.8339009122,0.0654594764523,71,3.62148614143,0.988724,55.1111,92.9163515087,1.60841291002,89.780828454,93.6020770747,-3.70178,95.3650693439,3.61595,0.0679921,71,3.61664281891,43.6398259723,3.62157,0.0939758639634,92.7044367062
25.9592,93.0372704085,0.0746915673472,72,3.73508251531,0.988945,55.7344,93.1221673602,1.80383709345,88.4829179483,93.350285325,-3.81731,94.7400418694,3.72994,0.0502987,72,3.73048604309,44.7671605826,3.73527,0.0824289153553,92.8510632077
26.0672,92.9233688014,0.117449569515,73,3.86847289895,0.98885,56.3937,93.1196989704,1.26326071053,90.687863224,93.4631956617,-3.95793,94.8375679883,3.86445,0.051246,73,3.86496027107,44.1361615801,3.8683,0.0841165091375,92.646713627
26.196,93.0542446011,0.12971991143,74,3.97743876639,0.987417,57.0056,93.3173047703,1.76328132441,89.3389026884,93.3426562329,-4.0786,96.4939626365,3.97433,0.0697034,74,3.97485478008,44.8128535082,3.97724,0.0988899394544,92.7632217414
26.3286,92.2806430875,0.154966252821,75,4.09580705762,0.989366,57.5982,92.4228671634,1.6725496293,88.5157186569,93.716875538,-4.20134,95.2812290962,4.09409,0.0358868,75,4.09450457402,40.7368003896,4.09544,0.0775588204992,91.8671127276
26.4653,92.5156969596,0.182820386483,76,4.23204672075,0.988984,58.0521,92.7243574784,1.71949484206,90.5607331578,94.0028676004,-4.34424,98.0857894024,4.2307,0.043617,76,4.23135075764,41.9500299703,4.23143,0.089227207267,92.0432352766
26.5687,92.2145165009,0.182826261513,77,4.37178678052,0.990106,58.5409,92.505807777,1.40767333396,90.3338316844,93.6631504022,-4.4889,96.0579669727,4.371,0.0531873,77,4.37155078338,40.4263746771,4.3713,0.0918686030893,91.5578295159
26.6746,92.5371028549,0.177182492762,78,4.49535911049,0.989202,58.9995,92.7839773764,1.42653314411,89.6727380394,93.6914355873,-4.61311,95.3426984692,4.4948,0.0447129,78,4.49533061383,42.0708500969,4.4949,0.0834401319435,92.0700236432
26.7936,93.0952135823,0.119554189517,79,4.64486575601,0.988949,59.4356,93.2105645588,2.50319845812,88.822627232,93.1709511226,-4.77521,96.740214665,4.64433,0.0517627,79,4.64486434241,45.092697392,4.64436,0.0874062104877,92.7588924702
26.9273,93.2356249976,0.0516869666946,80,4.77410068096,0.990007,59.8582,93.302332981,2.17320870655,87.9989848648,92.1664153569,-4.90829,94.7009748742,4.77355,0.0351695,80,4.77410006848,45.9158947712,4.77355,0.0749893034105,93.136321382
27.0172,93.1880424902,0.0672480069835,81,4.91990270434,0.992066,60.2399,93.3042593561,1.96043459377,90.1026336707,94.0317592211,-5.05901,99.4356155754,4.91926,0.0445896,81,4.91990094974,45.7169784347,4.91926,0.0847174267346,92.9845653014
27.1316,93.2967083065,0.0564727663071,82,5.08103153058,0.993228,60.6428,93.4017081845,2.32992076743,90.6265831204,93.7958600781,-5.22357,99.4072549855,5.08048,0.036801,82,5.081030966,46.3712884853,5.08048,0.0804300935889,93.2097478507
27.2422,93.1813242077,0.105202502297,83,5.19454795554,0.989688,61.0744,93.305920057,1.66403122293,90.6286764702,94.4623954951,-5.34116,98.9458033467,5.19367,0.0551091,83,5.19454473803,45.6002743298,5.19367,0.0862476907379,92.8998767651
27.3536,93.008575071,0.16617201087,84,5.37849853995,0.990208,61.481,93.207789128,1.05037785957,92.999260317,94.2902302295,-5.52483,97.368445823,5.378,0.0222339,84,5.37849585304,44.6569849385,5.378,0.0689894880473,92.638006335
27.4599,93.1317228291,0.149609477281,85,5.48158334197,0.98937,61.965,93.3099349075,1.7962317997,90.1198977942,93.8642442163,-5.6288,98.0682033608,5.4808,0.0354265,85,5.48158059782,45.3135383057,5.4808,0.0791649787433,92.7406573458
27.5515,93.2403889209,0.0533767093584,86,5.64101760887,0.991284,62.4263,93.303239269,2.01458590738,90.2412995591,93.4363354165,-5.78521,97.7473826412,5.64047,0.0289254,86,5.64101707562,45.985876709,5.64047,0.0755417300497,93.1252439445
27.6274,93.3023137977,0.062318663115,87,5.76921840469,0.992299,62.9687,93.4075881054,1.47809620994,90.0206045007,93.8227646607,-5.91143,95.1784205526,5.76868,0.0431938,87,5.76921629423,46.3724549614,5.76868,0.0843543745244,93.1461040564
27.6694,93.2834294348,0.086000183888,88,5.92427954335,0.990585,63.5174,93.4061725546,0.926171978716,91.3869208858,93.7306341715,-6.05963,94.8515587318,5.92385,0.0318361,88,5.92427763712,46.2087581147,5.92385,0.0795608928789,93.0607591051
27.7548,93.429929292,0.0860497910827,89,6.00513723839,0.993188,64.0672,93.537483248,2.21695681287,89.6632035817,94.0538097624,-6.13501,99.6,6.00443,0.0418177,89,6.00513444189,47.1363267271,6.00443,0.0825768551497,93.2301246007
27.7961,93.3879679937,0.0839670734754,90,6.12649387319,0.992956,64.6277,93.5011225851,2.00463460965,90.8818236264,94.2253597862,-6.25019,99.7468412932,6.12596,0.0318273,90,6.1264914934,46.886417283,6.12596,0.0786008728925,93.2292006376
27.8886,93.445538573,0.0972396111862,91,6.21052017934,0.992013,65.1834,93.6010151186,1.61276130409,90.9981439189,93.532105308,-6.32587,96.1759814436,6.20984,0.039804,91,6.21051725736,47.1882025902,6.20984,0.0809965862501,93.2672207446
