AverageQ,MaxEsReturn,AverageForwardProgress,AverageY,MaxForwardProgress,StdEsReturn,AverageAbsY,MinEsReturn,Epoch,StdReturn,AverageDiscountedReturn,AverageReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageEsReturn,AverageQLoss,MinReturn,AverageAction,MinForwardProgress,MaxReturn,QFunRegParamNorm,AveragePolicySurr,StdForwardProgress,AverageAbsQ
20.2533,67.8567698915,0.0112021498115,20.2512580998,0.48792582414,26.331918452,20.2524307375,-12.6707922249,30,15.9893401975,12.0761634442,18.3608561937,15.2133,1.48942960532,24.3833519078,10.608,-24.8425474406,0.988407,-0.402566316712,68.876458369,35.4157,-20.6227,0.151363745724,20.2635
19.4583,33.2194796298,-0.0770347592359,19.4846388886,0.209253700202,12.5603563066,19.4884095649,-8.92230443642,31,10.1918147311,6.50105902903,7.75470989251,15.4059,1.26861089829,10.5715372756,7.89998,-22.7267546888,0.990701,-0.402106166784,39.6869206039,35.9239,-19.462,0.102706181587,19.4631
18.3473,60.6994744767,0.0419068214325,18.3949115621,0.535002013465,25.6155752382,18.4035356956,-31.6543534045,32,25.884076449,13.7229740438,22.5516364285,15.4656,1.53955482303,15.5351633504,9.90477,-33.2401012541,0.982719,-0.509307596641,73.6107774284,36.5729,-18.5386,0.255515857386,18.3609
17.6202,44.5007193482,-0.0335327976391,17.6710832901,0.263398365239,21.2582430017,17.6794372722,-23.9432654115,33,13.4290979955,10.1735752151,14.157756894,15.4919,1.28415037453,11.432415586,6.90651,-23.5261594792,0.989841,-0.419108810115,45.1290423302,36.8695,-17.9006,0.130323250381,17.6291
17.1172,62.3280313522,0.0179208112559,17.1381348142,0.482098967658,26.0389552655,17.1481046479,-25.8889447987,34,23.4552500595,12.7628817109,20.2068420996,15.5458,1.15482413585,22.1565422666,5.4223,-31.7890573932,0.984667,-0.48549895004,68.2955180027,37.3829,-17.2789,0.230610631937,17.1226
16.5637,29.922261865,0.0172257445652,16.5790993452,0.472038718186,21.5927769411,16.5863220212,-31.6794352022,35,19.0979731437,12.5067830929,19.9737482087,15.5965,1.03023799807,9.40068291292,4.21007,-31.9055234335,0.986261,-0.511661186386,65.3115704802,37.7545,-16.6464,0.189059413744,16.5729
16.2948,93.5826365993,0.0688480383303,16.3065098642,0.831965202171,40.2063398263,16.3147795536,-20.4623354935,36,41.8911413696,14.7434871841,25.6701156013,15.6889,1.07974543616,45.2786675328,4.41698,-36.2276041016,0.987668,-0.534416645978,103.163378586,38.0888,-16.5297,0.407840744413,16.3082
16.2396,64.240605112,0.251280945216,16.2515143351,0.595286980816,20.5287767482,16.2614268523,4.17447936532,37,19.0963510535,27.5921732637,43.0289750129,15.6376,1.02188064648,38.0069952743,3.92978,-18.5042341887,0.988195,-0.361366785715,77.9819403314,38.4728,-17.043,0.189010694559,16.2441
16.4035,68.1227790234,0.300323714636,16.3963058836,0.743492468316,13.9895308565,16.4013708459,30.951220087,38,21.6175894904,30.5449613743,48.3479452924,15.6661,1.14708179435,47.7671197591,5.29276,-25.9636009981,0.981266,-0.436543407662,94.5278235928,38.7929,-16.4791,0.210629533067,16.4246
15.7852,107.831623795,0.0969424475119,15.8027842446,0.887745068573,37.9776922782,15.8045031773,-9.23722853839,39,39.9502216577,16.3903957843,28.5342826631,15.9425,1.03662765691,35.381177131,4.03918,-38.5766150312,0.987226,-0.536236871359,109.731487078,39.1027,-15.6721,0.387903026627,15.7933
15.2739,76.4404865252,0.329779804255,15.315149073,0.755842784998,19.2853466726,15.3171841307,17.6130416027,40,22.3996380188,31.9029936673,51.0261239119,15.9805,1.00484686996,51.006441361,4.10772,-14.3892100732,0.984129,-0.317209300415,94.3704713643,39.5219,-15.3967,0.220842607422,15.2789
15.2904,90.12689136,0.114623903442,15.2945809428,0.86395794341,35.7773218332,15.2973041442,-22.1519312282,41,41.2856246733,17.2594116534,30.3205199057,16.444,1.13071740013,34.9852913957,4.6994,-32.0508331063,0.991147,-0.504852005843,107.340057482,39.7769,-16.2229,0.400133993484,15.3125
15.116,99.6868549101,0.099235143298,15.1360007866,0.871811671741,42.6573912566,15.1363401723,-28.4426022384,42,40.0732415059,16.4240095542,28.6658037343,16.4427,1.05378036042,35.0680960973,3.56671,-34.094808146,0.991087,-0.485422875071,106.349962636,40.0611,-15.3376,0.389504221437,15.1171
14.4743,89.0745785745,0.0939304575321,14.4956847449,0.840823769347,33.3996699333,14.4958426233,-11.701439444,43,38.0292310936,16.1153271489,28.2487327396,16.4561,0.867274467607,16.9384142992,2.44097,-38.2302127609,0.990171,-0.547853582019,105.449049874,40.2751,-14.3529,0.370718437806,14.4743
14.1947,66.4128840645,0.223819801944,14.2185600695,0.715088516721,22.6712380976,14.2186172203,-11.8569003473,44,21.3117796416,25.6547906162,40.3338341786,16.4119,0.833871134228,35.8318205363,2.3542,-26.326959685,0.994778,-0.452575303249,92.5619398147,40.4834,-14.1774,0.212511330327,14.1953
