AverageDiscountedReturn,AveragePolicySurr,AverageReturn,Iteration,AverageAction,StdReturn,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,MinReturn,AverageAbsY,AverageQLoss,MaxEsReturn,Epoch,AverageY,AverageAbsQYDiff,QFunRegParamNorm,StdEsReturn,AverageQ,MaxReturn,MinEsReturn
61.3728632916,-13.4524,72.7994345666,40,0.469566,51.982474269,14.4627,27.8688,966.565205545,-44.9851774487,14.5015848558,1.97771,966.565205545,40,12.5508700682,0.751453609647,29.7544,0.0,12.542,122.82182672,966.565205545
124.902081182,-14.4043,340.627167163,41,0.457087,211.875974641,15.3776,28.1675,1408.37659317,110.877293937,15.407761365,1.8815,1408.37659317,41,13.4973407372,0.744634200349,30.1578,0.0,13.4918,823.663807497,1408.37659317
137.412366866,-15.7877,798.598082177,42,0.630268,819.254556719,16.6913,28.5337,507.949019632,-9.40668724482,16.720686661,2.24316,507.949019632,42,14.88288117,0.800165250704,30.6331,0.0,14.8708,2181.33751939,507.949019632
147.528087129,-16.7255,626.766526644,43,0.617071,691.228166357,17.5521,28.9434,1309.5611215,-44.7027404554,17.5949440347,2.47328,1309.5611215,43,15.771279929,0.815529408849,31.1516,0.0,15.7617,2180.2466117,1309.5611215
114.888353881,-17.8762,173.944340111,44,0.580014,191.30719189,18.5621,29.2356,460.666017733,-38.3028718173,18.5987763863,2.80017,460.666017733,44,16.8386321284,0.857484467835,31.5576,0.0,16.8264,572.225293598,460.666017733
134.615801092,-18.8127,261.308636948,45,0.530633,294.40896493,19.4443,29.5235,469.436423165,-43.0889521588,19.4949756962,3.09549,469.436423165,45,17.7682939024,0.881402224471,32.0052,0.0,17.7585,976.610182894,469.436423165
71.5748980379,-19.6356,-128.981611042,46,0.542862,73.5952003906,20.116,29.9356,498.944726887,-236.045871495,20.1601948115,2.99881,498.944726887,46,18.528654554,0.864538982474,32.4558,0.0,18.52,-17.8739286547,498.944726887
129.673025172,-20.6478,54.4696854594,47,0.681121,377.674484528,21.0251,30.346,205.081105726,-325.215765847,21.082622684,3.5336,205.081105726,47,19.5314656406,0.904756017731,32.8916,0.0,19.5202,840.24372896,205.081105726
80.5255053339,-21.6521,-293.539822924,48,0.773446,337.459460274,21.9114,30.7688,276.913441726,-677.900107958,21.9682697696,3.68288,276.913441726,48,20.5386444613,0.918483685931,33.4014,0.0,20.5272,494.313970414,276.913441726
149.880426598,-22.2225,534.763610749,49,0.597167,714.323100502,22.4857,31.1283,360.086728153,-210.211580447,22.5399584171,3.99319,360.086728153,49,21.1902379826,0.943743157928,33.8533,0.0,21.1795,2223.92819522,360.086728153
258.536132017,-23.2631,2934.4746581,50,0.915951,256.32675953,23.4027,31.4452,506.975209824,2391.37501502,23.4559399814,3.94819,506.975209824,50,22.1788396902,0.948533681134,34.3141,0.0,22.1684,3220.52189606,506.975209824
126.808681338,-24.1245,94.5189828092,51,0.657291,389.271270835,24.2698,31.7963,776.34128393,-325.2425371,24.3143688639,3.89547,776.34128393,51,23.0575694855,0.965066380447,34.7337,0.0,23.0466,1116.32655084,776.34128393
102.079871938,-25.2696,-16.8355954853,52,0.454655,117.795880568,25.3814,32.1658,559.083678794,-151.283518253,25.4429491055,4.27147,559.083678794,52,24.1885457357,0.972350879752,35.1617,0.0,24.1759,192.177995979,559.083678794
231.908126375,-26.8036,1846.90437438,53,0.840356,999.510333689,26.7913,32.4861,2041.49049617,552.104717002,26.8575628223,4.96782,2041.49049617,53,25.6820361231,1.02775111129,35.5907,0.0,25.6731,2854.25751213,2041.49049617
215.218777927,-28.6915,830.731532818,54,0.745998,649.839606915,28.5691,32.7286,2249.6381619,4.08791469745,28.6160980356,4.62123,2249.6381619,54,27.4900764031,1.0453754654,36.0412,0.0,27.479,2327.59874203,2249.6381619
276.389174685,-30.1054,2846.2219092,55,0.918853,856.489874906,29.9138,33.0593,626.41133202,979.638905316,29.9774162584,5.93434,626.41133202,55,28.882479118,1.12398548247,36.491,0.0,28.8705,3470.79545535,626.41133202
245.4227023,-30.9172,2354.39642389,56,0.817644,1451.22250953,30.6574,33.3866,185.954274108,10.8781137683,30.7038946274,5.38921,185.954274108,56,29.6884757296,1.08683981842,36.8851,0.0,29.6758,3469.81190099,185.954274108
231.010002766,-32.6151,1157.7699975,57,0.866933,1344.33084589,32.3492,33.7228,2370.32156936,-88.5900640834,32.4004599004,5.49316,2370.32156936,57,31.4254201136,1.1134938073,37.3728,0.0,31.4128,3484.69321585,2370.32156936
183.346879641,-33.9313,872.864061992,58,0.887278,1260.53354101,33.5493,34.0516,1553.08745168,-342.368611073,33.6150211505,6.7354,1553.08745168,58,32.6565269973,1.18843742055,37.7842,0.0,32.6436,3119.90404484,1553.08745168
192.214863055,-35.7575,1345.2068212,59,0.823843,1472.11922611,35.4152,34.39,470.488186946,-404.754021785,35.4712745449,6.53935,470.488186946,59,34.5170199031,1.19328954435,38.1945,0.0,34.5028,3324.40401362,470.488186946
222.693209371,-37.1165,2493.70450993,60,0.917854,911.608051149,36.6809,34.6789,813.453223638,147.077004607,36.7617549423,7.10223,813.453223638,60,35.8786289347,1.21283658675,38.6624,0.0,35.866,3010.7060932,813.453223638
201.210170029,-38.5598,1118.9390167,61,0.870993,1136.40985356,38.109,35.0009,2193.00506804,-435.75848055,38.1626603372,6.38581,2193.00506804,61,37.292231973,1.20046881472,39.1039,0.0,37.28,3146.61662095,2193.00506804
245.292026938,-40.1652,1671.1253146,62,0.873576,1522.16836255,39.6728,35.3999,255.960564967,-70.3600076817,39.7391549264,8.58958,255.960564967,62,38.8880625685,1.2974881127,39.639,0.0,38.8719,3590.10301463,255.960564967
