PolicyRegParamNorm,AverageDiscountedReturn,Iteration,StdEsReturn,MaxEsReturn,QFunRegParamNorm,AverageAction,MinReturn,AverageAbsY,AverageReturn,AverageQ,AverageEsReturn,AveragePolicySurr,AverageAbsQYDiff,AverageAbsQ,Epoch,AverageQLoss,AverageY,StdReturn,MaxReturn,MinEsReturn
37.8849,166.312042016,61,139.613712675,508.654118462,55.183,0.590461,201.674001604,101.989934656,327.338432086,101.958,216.040463349,-105.599,2.60028906134,102.039,61,32.6984,101.97510172,80.0769036405,482.332082998,10.1383664214
38.1831,152.453521196,62,127.509389024,523.158376748,55.8634,0.580705,258.654774403,104.180014793,285.612167836,104.153,286.740220969,-107.768,2.69159405528,104.241,62,33.5084,104.163182333,17.7662702498,312.929584952,97.8803740015
38.4534,155.247423282,63,115.810995301,377.467868676,56.4378,0.625297,166.21733437,106.06924842,290.61768166,106.035,190.50462922,-109.784,2.78733251035,106.131,63,38.4791,106.049784328,60.7294452136,442.862941311,50.9003103136
38.7446,94.1656324778,64,102.724192473,435.734013988,56.9796,0.642277,117.697174702,108.456226834,141.190654945,108.416,237.850319491,-111.931,2.70173114826,108.519,64,33.0457,108.431518324,39.8555735905,254.764148759,39.3305652391
39.0513,186.450656775,65,79.8991526986,327.865441011,57.5005,0.608715,301.048190841,110.225069439,394.36108423,110.186,203.987771651,-113.815,2.77866739849,110.284,65,34.6991,110.198458059,40.0523389242,450.330149529,59.5987156736
39.3582,165.80423759,66,125.862749669,455.25698259,58.1123,0.55819,273.76352998,112.552464455,332.506984649,112.51,172.03320221,-116.279,2.97700002696,112.622,66,41.372,112.523203673,21.4319413482,453.841400176,14.6737105196
39.6794,119.042552697,67,139.569641642,487.357681844,58.7023,0.666523,112.188414268,114.556158379,203.51835356,114.516,191.594821863,-118.368,3.02559701289,114.618,67,43.6114,114.532762362,92.4737700581,448.030519044,11.7801765835
39.9595,185.152217161,68,106.406874032,389.361295377,59.305,0.616555,294.021582799,116.979946551,389.985811916,116.934,151.540670368,-120.827,2.94385417255,117.053,68,38.7211,116.944973688,60.4730564162,515.152283386,12.58480977
40.1781,139.157886084,69,102.253760327,325.888855098,59.8562,0.552135,192.452695659,119.287115093,248.797467546,119.243,190.662444173,-123.097,3.07884619928,119.36,69,41.9837,119.259742498,32.8345736553,328.722056928,14.3733733395
40.462,113.135075393,70,115.269986547,385.624323068,60.4005,0.633433,126.923790513,120.98559104,186.27950965,120.939,218.568038544,-124.809,2.92809669358,121.051,70,38.9597,120.952250456,69.4096548676,500.518720077,51.0804899265
40.7506,167.250982158,71,133.850779653,504.349312132,60.9847,0.621005,270.34781796,123.752428048,332.396669166,123.706,204.418459351,-127.658,3.14112462961,123.827,71,44.9036,123.722037119,36.8201515299,445.119564465,50.9063253096
41.0384,134.140396572,72,117.718600129,428.812019822,61.5086,0.621528,126.805302708,125.949148423,236.282555172,125.899,244.68302911,-129.986,3.23017533822,126.023,72,49.5562,125.915456778,60.1402013507,473.013451732,7.34936060244
41.3112,115.215972676,73,100.825027277,391.3527738,61.9667,0.594601,139.403785481,128.089498468,188.97334709,128.032,208.828515431,-132.018,3.21275264734,128.157,73,48.1357,128.049146326,64.4590391847,421.945515818,12.4366324616
41.598,143.631715677,74,79.2939587781,355.84176863,62.4907,0.698212,153.08139238,129.863042494,261.37184759,129.819,251.464904644,-133.97,3.32348111085,129.951,74,51.4113,129.835260768,64.0925475972,565.278771276,102.035265127
41.8622,211.612630452,75,176.562296546,696.581901351,63.0017,0.568703,480.731007834,132.331622428,544.509556382,132.273,207.699063861,-136.428,3.26470782518,132.421,75,47.3791,132.286187039,19.159376044,572.683569643,13.0379266128
42.1338,205.399976659,76,176.413611819,477.914859701,63.6123,0.576686,374.870167292,134.894717625,487.016012914,134.82,249.852017556,-139.077,3.46556749408,134.968,76,55.2192,134.837128804,43.6121033443,558.587480434,12.1175416721
42.363,179.487192669,77,104.946886345,314.615348073,64.0588,0.592991,226.691572868,137.258607013,391.974625951,137.202,175.731446498,-141.5,3.39963629325,137.354,77,53.8853,137.218349665,92.8983810853,590.195116183,13.6904278257
42.6065,195.737967147,78,132.842409018,512.563391113,64.5504,0.577706,305.462473883,139.332875223,452.537086929,139.273,270.526356567,-143.606,3.4745918982,139.422,78,56.9474,139.286344626,54.0203828385,513.019265085,22.254322112
42.8021,206.0622301,79,152.5771454,581.238280234,65.0314,0.614835,314.65923833,142.00011445,494.923592504,141.927,287.037688566,-146.277,3.51385914529,142.073,79,54.3431,141.949525752,52.1101477396,598.827660749,56.5943890242
43.0675,207.309124653,80,79.9965528545,327.62514913,65.5533,0.67527,313.632498001,144.02939293,498.399314596,143.956,200.75652063,-148.445,3.65461724878,144.11,80,65.0114,143.975562806,49.4429979191,562.883764161,52.3893516333
43.2654,205.232828707,81,115.790260684,465.864546384,66.0949,0.665096,315.939947116,145.91795512,487.79104875,145.852,232.125604522,-150.49,3.66034513341,146.004,81,63.9644,145.858544413,52.5095507186,600.190550517,62.4229897713
43.5206,197.269883222,82,147.410382755,486.767002574,66.553,0.628927,321.342874538,148.456318839,459.980159842,148.38,276.713114778,-153.004,3.72560140545,148.553,82,65.6152,148.403509261,74.9709943401,604.334931621,42.0655629151
43.7325,203.340987683,83,166.764640675,613.909307268,66.972,0.657931,308.718720137,150.568576232,482.349990046,150.49,211.508007186,-155.176,3.74005814089,150.682,83,62.8997,150.506679674,44.9719569254,522.097798951,62.6554458767
43.9377,183.736811434,84,81.919009999,391.281367782,67.4317,0.65264,289.487515599,152.782621803,400.047182342,152.696,273.886659086,-157.503,3.83740277303,152.877,84,68.8658,152.712869982,71.5038429007,517.749495953,95.5511262352
44.2023,180.852994925,85,262.000821854,860.971791061,67.9542,0.662705,304.347183335,155.844848187,391.391443868,155.758,390.716728126,-160.555,3.80695372873,155.931,85,66.3636,155.776170857,79.0487545373,586.41935982,73.502375541
44.4283,165.867960121,86,144.826052375,466.628507854,68.3509,0.629555,278.462368816,158.448832743,329.882390421,158.365,251.189512376,-163.228,3.8456943142,158.54,86,69.9716,158.385612976,58.4185179152,510.694251533,6.82270778434
44.6544,186.980072272,87,130.225812533,521.815571832,68.876,0.649871,313.524822374,160.098306254,411.662670306,160.02,215.983586007,-165.013,3.9288137466,160.211,87,71.1651,160.031667478,64.5420800337,529.214750843,52.4258798195
44.8538,217.194177719,88,131.002147497,493.189874106,69.3009,0.635387,501.471674492,162.478617676,546.818062449,162.373,237.289503544,-167.338,4.00248377217,162.574,88,75.587,162.394005067,20.6981435319,602.818045907,10.6266709992
45.0673,173.217986996,89,101.230285369,427.302740932,69.7647,0.629131,263.011674136,164.589190564,358.674701802,164.504,291.150219904,-169.528,3.94691683581,164.687,89,68.7041,164.517716512,81.9265641565,558.935815961,49.1104567827
45.2668,191.361018019,90,170.290344975,517.545085859,70.2365,0.698595,297.298516942,167.288005192,430.730896261,167.205,198.699391631,-172.175,4.07183544733,167.382,90,77.3282,167.220252765,67.6912776241,532.396465086,20.0460339549
45.4788,190.360792257,91,155.903113673,519.264127455,70.7206,0.677396,296.420389604,169.194496149,427.329681037,169.098,223.792982033,-174.138,4.06270590155,169.295,91,74.9213,169.119214104,88.0311548666,564.209402872,16.2655846635
45.6493,175.278386279,92,165.903748506,510.338203951,71.2382,0.663596,247.319472856,171.104127756,376.575686027,171.006,193.296790064,-176.003,4.12737988033,171.209,92,82.9406,171.018376712,129.458306525,574.713270188,20.3278824175
45.9138,175.521267089,93,140.374922132,411.468107207,71.6249,0.676599,156.787688875,173.700943985,374.50747181,173.623,253.75102542,-178.677,4.1596105055,173.815,93,78.9373,173.63379207,111.004270122,539.861795299,48.2785014817
46.1238,202.26427392,94,153.074001327,443.639002189,72.0394,0.697893,291.392237034,176.115052943,480.903513498,176.016,206.660009593,-181.144,4.20335123527,176.218,94,80.6719,176.045469255,113.841286605,898.842084841,6.41909949075
46.3792,210.296519268,95,71.123153076,344.267255961,72.4677,0.719969,463.422287538,178.005975199,503.968586723,177.915,255.204797581,-183.14,4.36266637334,178.107,95,91.3624,177.93286032,8.77716603409,527.450380518,115.917760735
46.5155,201.309327672,96,114.809362832,363.894716787,72.9839,0.733681,387.700080257,180.537902166,465.16885008,180.439,157.94482766,-185.756,4.33236412527,180.633,96,92.5282,180.462949203,21.5506445523,505.734344398,34.4878381515
46.7163,198.053780377,97,103.945084537,384.029650872,73.3508,0.726825,249.295477661,182.076840919,457.539257159,181.988,234.059900121,-187.342,4.38979524859,182.19,97,92.4878,182.00474254,66.9919554503,515.538445718,9.51633320448
46.857,187.080661691,98,106.070569013,378.934964781,73.7986,0.718944,334.340723206,184.222397694,411.944892411,184.142,224.680359298,-189.558,4.34677442999,184.324,98,89.2131,184.151005258,66.009794963,522.794646585,77.1192730145
47.0037,197.545649962,99,202.74191162,561.098321766,74.341,0.664324,369.562373705,186.796377492,474.879099498,186.705,256.169136291,-192.099,4.42600836811,186.902,99,88.8973,186.725421049,56.892876763,561.082142223,45.0354132696
47.1734,197.850011829,100,136.431672636,416.833071744,74.8284,0.702025,365.335978937,188.54504227,450.239896462,188.437,200.356215791,-193.901,4.52560389396,188.642,100,100.625,188.461732657,22.2270813164,476.546182974,23.8054682944
47.3193,206.725860364,101,152.808444223,488.014972202,75.2548,0.704228,447.099454462,190.92368857,489.086899971,190.83,304.019191527,-196.223,4.58310232353,191.036,101,98.624,190.848507959,13.1037611955,513.894415826,22.3445441996
47.4693,205.776431106,102,94.3702585085,505.310798524,75.6466,0.684677,469.079374491,193.691470917,489.966767694,193.587,272.730949753,-198.823,4.609255303,193.792,102,102.172,193.605310248,7.21379878393,506.029476181,159.674920377
47.6052,195.280332325,103,191.726873979,499.101562205,76.0503,0.640763,398.529436421,195.086953028,437.756898369,194.993,211.159010567,-200.53,4.64663051461,195.174,103,102.285,195.017821173,12.6489259877,461.968811739,14.7567542727
47.8079,193.072757768,104,204.476238619,597.712120336,76.5297,0.636653,391.668883147,196.864747843,435.974758628,196.774,219.585088858,-202.23,4.77759153666,196.974,104,114.356,196.790109267,26.8068934695,513.634790379,10.8454338887
48.0435,203.292583138,105,172.96086437,571.260854856,76.9285,0.673831,462.357185692,198.366561904,478.401133592,198.27,367.853169978,-203.713,4.71470749953,198.472,105,110.619,198.292749571,6.27175091995,490.866650056,76.1732797573
48.2457,169.029557785,106,197.179415884,658.759691418,77.4493,0.677418,261.823991602,201.036876863,338.175912443,200.935,218.606993576,-206.312,4.81582262872,201.158,106,117.342,200.952534495,45.0313342307,480.22705996,33.1990749467
48.4223,193.385321529,107,169.945206912,564.159089448,77.8824,0.641701,388.726748658,202.347977014,436.219094388,202.25,238.651364963,-207.675,4.87810252906,202.461,107,120.544,202.262381201,33.266074291,525.424141048,36.6000408542
48.5568,200.356322015,108,141.079480241,558.777750025,78.3521,0.664886,316.456540671,203.71039576,455.975119991,203.606,270.318448238,-209.238,4.88017611276,203.828,108,117.377,203.626379678,27.026976669,473.313610511,22.8441858912
48.7327,192.559636586,109,188.066875939,593.655670618,78.7787,0.700184,327.065602931,206.272115781,435.155776462,206.162,322.785546662,-211.717,4.79165425243,206.37,109,108.78,206.19056397,67.3321180025,514.674464219,19.7072809086
48.8734,195.860789928,110,189.86163928,606.684739626,79.2015,0.665758,270.662962954,208.061138739,451.988998505,207.927,282.174139076,-213.484,4.93198235885,208.181,110,116.882,207.944695113,76.3213465178,554.658396822,60.967172253
49.0084,162.638345681,111,183.261702553,593.766768817,79.5723,0.700225,157.439792162,210.098498717,327.7777643,209.978,306.349987289,-215.478,5.11182782112,210.243,111,132.144,209.997979142,103.696202193,522.519857875,25.7442967483
49.1505,150.074596925,112,188.171690043,624.974851126,79.9989,0.706306,149.567212468,211.442641784,278.648012772,211.337,377.632004485,-216.906,4.95315603515,211.587,112,116.167,211.35578661,70.3737525485,468.756260859,26.9649488914
49.3285,151.83155195,113,175.502098874,629.977837036,80.4832,0.708992,167.251336172,213.173097531,279.755128993,213.052,260.085992411,-218.877,4.9916917698,213.297,113,118.936,213.078646593,41.1213545074,353.274603386,25.9548631679
49.5031,202.441924163,114,153.393116933,425.81381143,80.9207,0.696049,340.836371999,215.01194167,474.122044378,214.913,193.709930021,-220.493,4.99878401759,215.126,114,113.566,214.928362776,36.1330857064,527.918150761,11.0442517685
49.6473,180.265547476,115,230.520881613,789.439334073,81.3381,0.69527,163.317094558,216.403978232,381.200155042,216.273,290.330464455,-222.018,5.18697306703,216.551,115,135.624,216.292379771,66.67837091,535.144340858,65.4692902697
49.792,191.425009526,116,118.46230565,417.535896723,81.7472,0.685123,160.205962345,218.811390074,439.883018942,218.69,241.983744901,-224.412,5.04894532954,218.934,116,116.399,218.712661261,113.538535244,706.544866715,71.2795513622
49.956,189.354888843,117,179.757118083,607.993019058,82.1376,0.611738,361.789632032,219.937207632,441.545869995,219.799,331.511898449,-225.524,5.23894430715,220.087,117,132.704,219.814018417,70.7610535271,645.658623273,23.3840094151
50.0929,186.784798113,118,256.926101272,742.466814197,82.5947,0.658228,386.833601245,222.046491164,407.302754799,221.878,310.372946533,-227.462,5.31210267245,222.171,118,139.906,221.905998589,9.38042235781,426.184843342,30.5001137545
50.2373,197.329561296,119,169.449407541,612.869040591,83.0442,0.650281,440.196704862,223.023418074,464.428617021,222.881,184.309991572,-228.647,5.10240904057,223.175,119,120.761,222.896851218,15.6884798531,521.658965954,47.4000506954
50.3709,180.86935225,120,167.882328606,486.70205995,83.3729,0.673045,262.967191831,225.155766206,389.364230154,225.023,288.204419953,-230.86,5.25689858956,225.296,120,129.062,225.042257787,72.4388200295,540.423051972,30.3832525055
50.6011,208.35018723,121,166.89728404,571.162373608,83.8021,0.650327,481.954106274,226.839437383,508.248342454,226.698,287.831889331,-232.634,5.3794990398,226.964,121,139.589,226.724862708,11.7068068949,534.001992954,58.2299557306
50.7681,158.712301092,122,161.069858844,429.121082348,84.2231,0.678314,259.138617385,228.396998242,298.015242199,228.284,213.087968121,-234.138,5.20011551176,228.526,122,126.863,228.296653021,19.478948301,451.728833133,10.9301545899
50.9549,176.453452102,123,139.743860218,512.312149018,84.6356,0.694686,287.813101826,230.189044324,367.696211753,230.066,303.571403059,-235.964,5.3885580771,230.328,123,145.647,230.085175758,49.1360190124,497.495958421,116.52009142
51.128,159.368681066,124,263.607472469,892.425273429,85.0296,0.676084,172.013247278,231.484764793,306.681004722,231.358,362.473078402,-237.181,5.45443453654,231.651,124,148.909,231.371082779,53.6851047799,479.483312,4.74799101674
51.2698,173.174306045,125,133.810712744,378.831950763,85.3911,0.693017,286.107438023,232.107725392,356.262766908,231.962,188.672928627,-237.745,5.55516330165,232.223,125,145.727,231.989242193,69.4618217067,536.881937278,9.26984319214
51.3842,196.215657538,126,157.828412518,523.605198116,85.9044,0.68383,288.999274391,233.839471317,459.636207184,233.702,259.718516514,-239.579,5.48008531528,233.969,126,142.301,233.720570569,81.1360307873,561.785858509,13.0656844583
