AverageQ,StdReturn,AverageAction,AverageDiscountedReturn,MaxEsReturn,Iteration,StdEsReturn,MinReturn,AverageY,AveragePolicySurr,AverageAbsQYDiff,MinEsReturn,AverageAbsQ,QFunRegParamNorm,AverageQLoss,Epoch,AverageReturn,PolicyRegParamNorm,AverageAbsY,MaxReturn,AverageEsReturn
1.79812,31.9117204782,0.0334489,1.93233423405,55.5254147717,53,54.2052171048,-1.4531742748,1.79864409357,-1.89426,0.0716145450498,-52.885019438,1.80578,38.0892,0.101192,53,13.7922902324,30.8152,1.80250061518,85.3154538202,1.32019766684
1.93499,2.00987234775,0.511762,20.5340001391,91.9253315097,54,35.6211489027,87.9436275568,1.93516637784,-2.0299,0.0689119394176,-5.14985956047,1.94381,38.3191,0.0900489,54,91.0229827187,30.8592,1.939935822,94.6367577454,74.4687194745
1.99867,2.62952316501,0.36967,15.9158773151,93.9009214756,55,1.7267364759,85.8553679155,1.99896793059,-2.09111,0.0637458887812,89.0250474902,2.00825,38.5424,0.076631,55,92.438033679,31.0625,2.00479561878,94.8283709382,91.3226514355
2.1633,2.71800905156,0.464696,11.3547834879,93.7545357669,56,1.98957041772,83.9156232222,2.16312131397,-2.25744,0.0743553538179,88.2907206247,2.1721,38.772,0.0869476,56,90.1978136301,31.1882,2.16795212685,94.4751641794,91.5582533838
2.25218,2.81191014288,0.479285,16.6388534086,94.3249830844,57,1.71885916833,83.8230804605,2.25230196193,-2.3404,0.0685274449579,89.2601030602,2.26049,38.9246,0.0649937,57,91.385711861,31.2643,2.25647474405,94.3574981502,92.1632416215
2.3539,1.48191731658,0.516479,11.7417266319,99.8515225345,58,3.12858104346,84.1887923411,2.35408439821,-2.43522,0.0555151616916,89.2741434912,2.36056,39.1939,0.0394087,58,89.0066874258,31.403,2.3573872198,92.6605341244,92.9090437727
2.41488,2.14805806752,0.374019,9.08347914323,94.1990339617,59,2.04131247298,83.9248260073,2.41466757491,-2.49368,0.056457834211,88.114243267,2.42234,39.3234,0.0426128,59,90.3073096922,31.3856,2.41834807405,93.2981478541,91.9466134703
2.51516,45.2678850375,0.106366,5.91206418041,95.4630044234,60,2.03558050576,-1.8013362989,2.51468669935,-2.58562,0.0594732166772,90.0679366192,2.52446,39.5153,0.0430521,60,52.4259544528,31.5185,2.52005515929,93.2395422559,92.4173401862
2.5885,36.8478915407,0.0785783,4.31550063803,93.3826689061,61,1.49115111792,-6.56545118126,2.58833728496,-2.65312,0.0551715238171,89.0888643137,2.59971,39.6938,0.0398687,61,9.97703642321,31.7307,2.59548198213,92.9438766291,91.1937660003
2.63685,0.383038169248,0.807393,16.2334507591,94.6992935804,62,30.935727924,86.5380476396,2.63691063907,-2.69686,0.0530759078639,-2.04705870919,2.65101,39.893,0.0389321,62,87.5649138907,31.9828,2.64638581697,89.0547992424,79.6665152188
2.74062,0.38828038498,0.864399,45.5313368937,99.8736511726,63,3.49695270884,93.3847437326,2.74060364226,-2.79654,0.0619017338045,87.5940986857,2.75607,40.162,0.0414566,63,93.9047678205,32.2069,2.75182579072,94.6299365985,91.1848065074
2.7617,0.373535067395,0.890396,41.4696354654,99.0586257505,64,2.45883094223,92.5306111644,2.76176220393,-2.81577,0.072228215202,90.0163552776,2.78051,40.3639,0.0531758,64,93.0521499844,32.5935,2.77558829741,93.6791766003,93.4908891962
2.86683,0.0764602004909,0.970025,41.4465518553,97.26973148,65,2.21526274933,92.3685252594,2.86722317003,-2.92769,0.0671013885795,89.1455828483,2.88618,40.6163,0.0454062,65,92.537520864,32.8189,2.88226834676,92.6778220994,93.4023230016
3.02422,0.29698977999,0.985994,40.5792507159,99.7381584141,66,2.43495910948,91.5597448982,3.0240357248,-3.09341,0.0667232271042,89.779152288,3.04345,40.876,0.0393711,66,92.2676508605,32.9933,3.03921702815,92.6139752173,93.4790149245
3.09105,0.325795032352,0.993546,34.1520537831,99.7110318897,67,2.55653768671,89.9866744554,3.09103375518,-3.16694,0.0680525659795,88.1459996409,3.11082,41.1858,0.0310013,67,90.8730468442,33.1329,3.10684394902,91.203018322,93.5652685062
3.20281,0.387973633836,0.99271,37.2636657588,95.8790686997,68,1.93350480953,90.5433133735,3.20279208503,-3.29079,0.0813836260522,88.5073423407,3.22111,41.5454,0.0498966,68,91.5510246909,33.3786,3.21642726355,92.007689336,93.0251883384
3.31955,0.492224543753,0.993772,36.4426837299,94.1393112633,69,2.15255677431,90.2735746871,3.31953699496,-3.41001,0.075681396241,86.6400752403,3.33404,41.8107,0.0329309,69,91.3653226095,33.6117,3.33014655497,92.1039526944,92.2499760741
3.44629,0.596120294699,0.993105,37.2530040013,95.3559935041,70,1.33327060141,90.3459526111,3.44632811265,-3.54406,0.097181768586,90.5382718648,3.45804,42.0375,0.059332,70,91.5358814913,33.7513,3.4545153289,92.4045912813,93.0919879331
3.55816,0.58437132322,0.993362,38.2030575743,95.0135825997,71,0.999091750113,90.3198665226,3.55854239835,-3.66558,0.0839877790378,91.5118236641,3.56615,42.31,0.0425257,71,91.7321099813,33.9473,3.5642727912,92.806356044,93.713730314
3.70294,0.730491737789,0.992378,39.092826363,94.424748832,72,0.490722832267,90.3050866031,3.70334132379,-3.81243,0.0864757272133,92.849102182,3.70865,42.6025,0.0515256,72,91.9109103173,34.1493,3.70738495956,93.333382563,93.6270339786
3.84183,0.569568756441,0.99482,36.8878526777,95.5377958984,73,1.83857787028,90.1042806725,3.84218937761,-3.96056,0.087706360529,88.3473906584,3.84499,42.8896,0.0484783,73,91.4479457805,34.3288,3.84380685405,92.4651358221,93.5208225906
3.96264,0.558090717634,0.995109,36.5400447507,96.0560667381,74,1.11858831512,90.0008314487,3.96294882016,-4.08638,0.101899939074,91.7072596256,3.96376,43.1601,0.0536337,74,91.372577133,34.4922,3.96354858735,92.1977815594,93.8546985239
4.08359,0.581094113735,0.995682,36.6553038642,94.9560837496,75,2.30830200097,90.1043521824,4.08415893684,-4.21672,0.0831774211242,88.3958944089,4.08382,43.4211,0.0387476,75,91.3916391602,34.6539,4.08425408195,92.5063446043,92.6073899399
4.25322,0.833737421731,0.99226,39.7800211039,97.340443701,76,2.13012622671,90.6040589416,4.25354212485,-4.38961,0.0869035754388,89.2650642389,4.25332,43.6866,0.0415965,76,92.0404875945,34.8049,4.25354768169,93.3066696665,93.6898585422
4.41974,0.38666673647,0.995369,35.4654559349,96.9315729746,77,1.70982119221,90.0004268446,4.42016144921,-4.55711,0.08233579837,89.7985292131,4.41976,43.9393,0.0323376,77,91.1465011463,34.9495,4.42016406382,91.5973334351,93.5606552773
4.54748,0.580150287165,0.99546,37.8268770322,94.5651059264,78,0.712590244021,90.4952554163,4.54775237212,-4.68858,0.098703505101,92.0632973432,4.54749,44.2349,0.0469938,78,91.6389692745,35.0746,4.54775766479,92.9652182872,93.6261626986
4.70988,0.439270518407,0.993627,40.2039855107,95.0723873849,79,1.43071439565,91.0629523758,4.71029886509,-4.85448,0.0870507146472,89.3073387725,4.70988,44.4938,0.0362603,79,92.139391472,35.154,4.71030122535,92.908112697,93.3902924423
4.86524,0.465375754156,0.994353,39.4352532602,99.0361297116,80,2.25860703617,91.0085274004,4.86581421195,-5.01034,0.0893719202748,89.9189243705,4.86524,44.7817,0.043479,80,91.9802186269,35.2305,4.86581716692,92.7964608721,93.4586816158
5.008,0.372223533722,0.994349,41.9021745752,98.2238217614,81,1.84534127774,91.5167485159,5.00847501499,-5.15904,0.0910567624595,89.587600501,5.008,45.0544,0.0472363,81,92.4661266688,35.326,5.00847836769,93.0034263778,93.8578971364
5.15897,0.378306516774,0.996872,35.6610032117,97.3158384315,82,2.32315570965,90.1034916934,5.15945422789,-5.30896,0.0820469044776,88.7068574836,5.15897,45.3668,0.0352871,82,91.1781253932,35.4537,5.15945490298,91.5998521113,93.0167965282
5.29178,0.349363085647,0.993782,41.7835239826,95.8829258237,83,1.3703214842,91.6168783034,5.29215583446,-5.44208,0.0948742819729,89.7469811268,5.29178,45.6652,0.0502171,83,92.4480112409,35.4892,5.29215930471,92.9983109698,93.7831131533
5.43018,0.309164749435,0.993767,42.7494351846,97.2825212727,84,1.37090321971,91.9610470274,5.43087698119,-5.57913,0.0794364413006,90.8969244656,5.43018,45.9411,0.0281762,84,92.6321404874,35.5897,5.43088193183,93.0960824885,94.2421582809
5.57916,0.242796446003,0.994828,42.5690606507,99.6579998499,85,2.44699680453,92.0218927007,5.57959314544,-5.72692,0.0851372446198,89.3576578534,5.57916,46.212,0.0375544,85,92.5933205893,35.6532,5.57959659137,92.9006445105,93.8043159938
5.69123,0.148876714218,0.99425,41.9677185284,99.5133822869,86,1.70558212803,92.0586991254,5.69175085241,-5.83334,0.0761253769264,92.5261033523,5.69123,46.4914,0.0314949,86,92.4848190993,35.7747,5.69175251348,92.6979884692,94.2591499231
5.80271,0.119128900817,0.993725,43.0181093046,95.0122660715,87,1.27259757214,92.3111329469,5.80345886494,-5.94245,0.085713446843,90.0535782889,5.80271,46.8246,0.0369068,87,92.6866245136,35.8322,5.80346028538,92.8000489155,94.1179641994
5.96208,0.130456953831,0.996179,41.306468962,99.5527457711,88,2.33884593355,91.9133735527,5.9627389421,-6.09328,0.0759843325731,89.5519736843,5.96208,47.1321,0.0345567,88,92.3453874731,35.9303,5.96274159667,92.4973779988,93.7328905145
6.03738,0.136672629995,0.99511,43.0159577043,99.5870450668,89,2.13538629247,92.3073095237,6.03816412739,-6.16227,0.0841405479301,90.4314106249,6.03738,47.419,0.0382953,89,92.6771580114,35.9724,6.0381669884,92.9008774207,93.8778072755
6.15234,0.198076098915,0.994027,42.9286755677,94.5461881384,90,0.708367326172,92.1877160531,6.15319976496,-6.26726,0.0733496042261,92.1376484652,6.15234,47.6654,0.0286976,90,92.6668552279,36.0802,6.15320101935,92.9005082419,93.6785484232
6.2291,0.29114236052,0.991558,44.8414770577,94.2931203975,91,2.0330324331,92.4208265735,6.22998390579,-6.34001,0.0850897135667,88.4010422184,6.2291,47.9523,0.0478227,91,93.0313610246,36.114,6.22998870214,93.4554085272,92.3542031792
6.33918,0.145110174127,0.993968,44.7197575084,98.128860869,92,1.73700856685,92.6823174048,6.34007729442,-6.43667,0.0804342538328,90.8797899183,6.33918,48.2165,0.0431343,92,92.9974241277,36.177,6.34007943602,93.3235989192,93.8641307912
6.40266,0.072982264007,0.993031,46.8264548022,97.3799015403,93,2.13210035788,93.2015795053,6.40327186857,-6.49382,0.0816787449753,89.3473588105,6.40266,48.4212,0.0427838,93,93.377147257,36.2177,6.40327413549,93.5223000396,93.5563303552
6.45802,0.0936989429137,0.992451,46.2332083052,99.2863376695,94,2.78513782759,93.1002392416,6.45902203256,-6.53803,0.0766455453814,89.7461268372,6.45802,48.6636,0.0385596,94,93.2768130695,36.2452,6.45902405971,93.4315880875,93.3459261842
6.49172,0.0752150552704,0.989806,46.7901977793,94.9625640805,95,1.9070302772,93.2003411622,6.49248515148,-6.56783,0.0757677918825,89.6693853404,6.49172,48.8483,0.0362523,95,93.3894172061,36.2886,6.49248861186,93.5280271836,93.0389266388
6.52265,0.0779344760929,0.994619,44.2257105031,99.7668767421,96,2.89774514758,92.7012167905,6.52363152216,-6.58857,0.0739645135841,89.5346931338,6.52265,49.0299,0.0325584,96,92.9043483002,36.4228,6.52363395912,93.0000494465,93.3715279492
6.56046,0.0955718946502,0.986474,46.9352171516,95.9400989854,97,1.31115709397,93.2339597851,6.56155253349,-6.62327,0.085470080902,91.4479154844,6.56046,49.1725,0.056268,97,93.4337452947,36.4348,6.56155581931,93.551290406,93.7901294341
6.57148,0.085123431624,0.988197,47.2803724222,94.5918388117,98,1.71324062742,93.345212056,6.57215998752,-6.62582,0.0656558642311,89.47289787,6.57148,49.3369,0.0216586,98,93.4831003978,36.4582,6.5721609509,93.6025404404,92.4113833815
6.59633,0.0931367471863,0.988083,46.9050770439,95.5117468469,99,2.19135292347,93.2457906235,6.59706691843,-6.64797,0.0839891551938,88.6432187947,6.59633,49.4814,0.0463254,99,93.4191082351,36.4551,6.5970688878,93.5931041232,91.5817495594
6.61279,0.056807598154,0.987915,47.3132814095,94.8586709546,100,1.86641204088,93.3838459839,6.61338502567,-6.65585,0.0684217317594,89.9574535273,6.61279,49.5358,0.028222,100,93.4901597384,36.4417,6.61338717335,93.5755639248,92.5377358663
6.59492,0.05792039308,0.988855,47.2464335149,95.1168862634,101,2.88779160869,93.3804236186,6.59539201555,-6.62995,0.0730392486898,86.3032048115,6.59492,49.6407,0.0413626,101,93.473559182,36.5166,6.59539576357,93.5824625824,91.9801587512
6.60106,0.101964220228,0.990877,46.9549503737,95.0494354788,102,1.81408770963,93.1469246779,6.60163546179,-6.63178,0.0801759892195,90.0716809266,6.60106,49.7172,0.0464596,102,93.4116495372,36.5298,6.60163885567,93.572545147,92.6764946765
6.58071,0.0626282122379,0.989235,47.2598365479,99.5742029421,103,2.41981394233,93.2608605183,6.58104138874,-6.6093,0.065184758279,90.5724203777,6.58071,49.7752,0.0253728,103,93.4736506005,36.5651,6.58104372324,93.5524220235,93.704031012
