MinReturn,EnvExecTime,MeanKL,Perplexity,AverageDiscountedReturn,LossBefore,NumTrajs,PolicyExecTime,Time,ExplainedVariance,Entropy,Iteration,StdReturn,LossAfter,MaxReturn,ProcessExecTime,AverageReturn,ItrTime,dLoss,MeanKLBefore
-41,0.4441952705383301,1.40689166983e-08,1.22309,-8.4722478953,-9.85984485169e-08,999,1.359870195388794,153.25915002822876,0.309982774913,0.20138,57,7.26195353899,-9.85984485169e-08,-5,0.09164667129516602,-8.65665665666,2.6757020950317383,0.0,1.40689166983e-08
-42,0.4297757148742676,0.00951705407351,1.22278,-8.73532439619,1.053388754e-08,999,1.3649778366088867,155.7502679824829,0.319845833183,0.201127,58,7.3207999994,-0.00242935470305,-5,0.08941030502319336,-8.92592592593,2.487262010574341,0.00242936523694,1.40230511647e-08
-41,0.430591344833374,0.00755683146417,1.18556,-7.74009125731,-9.15527387235e-09,1000,1.32051682472229,158.1942548751831,0.262560386697,0.170213,59,5.75346426077,-0.0400957129896,-5,0.08496284484863281,-7.907,2.440548896789551,0.0400957038343,1.56259805095e-08
-32,0.4256300926208496,0.00970168411732,1.16624,-7.34843557528,5.77103520527e-08,1000,1.2961199283599854,160.61638498306274,0.280030987843,0.153788,60,4.68934696946,-0.563047111034,-5,0.08928179740905762,-7.505,2.417617082595825,0.563047168745,-2.27859509039e-10
-23,0.43253636360168457,0.00708949333057,1.19086,-7.49185184152,-5.91278093154e-09,1000,1.3165326118469238,163.07846689224243,0.197404932987,0.174678,61,4.66252120639,-0.0426054112613,-5,0.0851893424987793,-7.664,2.4576189517974854,0.0426054053485,-5.9555937959e-09
-23,0.4301319122314453,0.00720741273835,1.1784,-7.3953203434,3.97999819768e-08,1000,1.310011386871338,165.5267369747162,0.158942417102,0.164157,62,4.59415106412,-0.000420304830186,-5,0.08568787574768066,-7.576,2.4431798458099365,0.000420344630168,-9.08969843838e-10
-32,0.4363276958465576,0.00864379294217,1.22972,-8.75776705219,1.79290768898e-08,1000,1.386085033416748,168.08811497688293,0.143720019391,0.206784,63,5.2997010293,-0.0012009559432,-5,0.0868074893951416,-8.987,2.5579230785369873,0.00120097387228,-4.58847049245e-09
-34,0.42894864082336426,-8.71853433893e-09,1.17268,-7.55908228885,7.64235394968e-08,1000,1.308403730392456,170.667298078537,0.149734249316,0.15929,64,4.72080491018,7.64235394968e-08,-5,0.08809018135070801,-7.749,2.57413911819458,0.0,-8.71853433893e-09
-25,0.44328927993774414,0.00760382926092,1.17367,-7.2543096093,-2.4394546827e-08,1000,1.3430898189544678,173.24750804901123,0.155258848185,0.160137,65,4.37488788428,-0.000532668258529,-5,0.08792734146118164,-7.434,2.57673716545105,0.000532643863982,-8.81960460219e-09
-23,0.4662175178527832,0.00667617097497,1.21894,-7.99266117644,-1.96577385481e-08,1000,1.3347859382629395,175.89724206924438,0.17037558702,0.197979,66,4.98450388705,-0.00129935680889,-5,0.09997391700744629,-8.189,2.644545078277588,0.00129933715115,-3.43214723308e-09
-23,0.4492478370666504,0.00807292666286,1.1657,-7.06435961842,-1.90734859018e-08,1000,1.2803950309753418,178.32652306556702,0.181012821094,0.153318,67,4.30211296923,-0.00135965505615,-5,0.09004783630371094,-7.232,2.4227681159973145,0.00135963598266,5.50221646023e-09
-23,0.4349241256713867,0.00732028717175,1.14131,-6.80589006523,6.45617674877e-08,1000,1.3026025295257568,180.86165499687195,0.147382948095,0.132173,68,3.97872730908,-0.00230348855257,-5,0.08753824234008789,-6.973,2.5306010246276855,0.00230355311434,-4.67814409433e-09
-23,0.4410991668701172,0.00685935793445,1.18173,-7.99219385167,-2.28698882054e-09,1000,1.3574166297912598,183.06589198112488,0.113381533822,0.166981,69,4.59834057025,-0.000161559364642,-5,0.09221625328063965,-8.208,2.1996469497680664,0.000161557077653,-2.50174938543e-08
-23,0.4390571117401123,0.00686824368313,1.20255,-9.06450143746,-1.9058239431e-08,1000,1.3782966136932373,185.5718228816986,0.0954474400208,0.184444,70,4.91070504103,-0.0008370927535,-5,0.08668041229248047,-9.324,2.500309944152832,0.00083707369526,-1.56007313734e-08
-25,0.4319281578063965,1.67393252037e-10,1.17551,-8.60635100396,5.20497991374e-08,999,1.3514728546142578,188.17392802238464,0.0883423247949,0.161705,71,4.62450523963,5.20497991374e-08,-5,0.08867526054382324,-8.85385385385,2.5987350940704346,0.0,1.67393252037e-10
-32,0.42523908615112305,0.00939948391169,1.17538,-8.7546296278,2.40325928047e-08,1000,1.33316969871521,190.33625102043152,0.0901568218349,0.161592,72,4.71942528281,-0.000337374483934,-5,0.08455061912536621,-9.005,2.1576690673828125,0.000337398516526,1.5202442083e-10
-23,0.4266357421875,0.00885244738311,1.15184,-7.35420348223,4.7950639015e-08,1000,1.2962732315063477,192.50431108474731,0.112645507354,0.14136,73,4.15639254643,-0.00035847138497,-5,0.08829045295715332,-7.549,2.1635799407958984,0.000358519335609,7.35634930749e-09
-23,0.4284229278564453,3.48148487817e-09,1.11777,-6.27258681352,5.35011288605e-08,1000,1.2455015182495117,194.9905400276184,0.181454037376,0.111332,74,3.33165364346,5.35011288605e-08,-5,0.08483409881591797,-6.422,2.4815831184387207,0.0,3.48148487817e-09
-23,0.42719459533691406,3.46308870469e-09,1.1177,-6.48838678231,4.57763675854e-08,1000,1.26226806640625,197.54561185836792,0.152379796668,0.111275,75,3.54913947317,4.57763675854e-08,-5,0.0855872631072998,-6.647,2.550611972808838,0.0,3.46308870469e-09
-23,0.4339275360107422,0.00824881531298,1.11776,-6.48991480642,-2.46187923381e-08,1000,1.263293981552124,199.61089301109314,0.155609041731,0.111325,76,3.57152614438,-0.000125334219774,-5,0.08622264862060547,-6.649,2.0607879161834717,0.000125309600982,3.47983775129e-09
-23,0.4338705539703369,-9.71500874539e-13,1.08225,-5.86519703965,5.41687015243e-08,1000,1.2486085891723633,202.15792202949524,0.218671961587,0.0790445,77,2.99416081732,5.41687015243e-08,-5,0.08594417572021484,-5.999,2.542536973953247,0.0,-9.71500874539e-13
-23,0.43272900581359863,0.00734758889303,1.08219,-5.73532614389,1.54917245254e-07,1000,1.226501703262329,204.20223689079285,0.240046270461,0.0789913,78,2.79978124145,-0.000259433465544,-5,0.08819866180419922,-5.865,2.040847063064575,0.000259588382789,-8.79763547169e-13
-41,0.428774356842041,0.00678034545854,1.10959,-6.26270581874,9.63018464972e-09,1000,1.2502286434173584,206.63255286216736,0.162291085527,0.103987,79,3.44276110121,-0.000844155496452,-5,0.09105205535888672,-6.414,2.4268598556518555,0.000844165126637,-4.89172746754e-09
-32,0.43196797370910645,0.00698020635173,1.14221,-7.26515436313,-1.80053717713e-07,1000,1.2915475368499756,208.76601886749268,0.112995247573,0.132962,80,4.18737996843,-0.000293433753541,-5,0.0861520767211914,-7.457,2.128355026245117,0.000293253699823,-4.13754008832e-09
-23,0.44182729721069336,0.00659191608429,1.16519,-8.1736259734,4.8446654688e-08,1000,1.3681409358978271,210.95487689971924,0.0935308500511,0.152883,81,4.51003281585,-0.000118878939247,-5,0.08941221237182617,-8.402,2.1840739250183105,0.000118927385902,1.92634200258e-10
-41,0.44244933128356934,0.00989889353514,1.17429,-9.47671124637,1.14349436586e-08,1000,1.4171779155731201,213.56026005744934,0.0854308229234,0.160664,82,4.87775194121,-0.000539793400094,-5,0.09103178977966309,-9.756,2.600616931915283,0.000539804835038,7.14612147235e-10
-41,0.43080878257751465,1.90645703668e-08,1.16984,-10.758038589,9.29937300498e-08,1000,1.434809684753418,216.2439489364624,0.093442624722,0.156867,83,4.72150442126,9.29937300498e-08,-5,0.08786559104919434,-11.086,2.680276870727539,0.0,1.90645703668e-08
-41,0.43196964263916016,0.00768869137391,1.16941,-10.842772239,-5.8413505144e-08,1000,1.4563093185424805,218.8353190422058,0.0944608541646,0.1565,84,4.68234086756,-0.00165005552117,-5,0.09065532684326172,-11.178,2.5866949558258057,0.00164999710766,1.90948821199e-08
-41,0.4286038875579834,0.00753050064668,1.22495,-11.3760331863,1.42574307915e-08,1000,1.4251601696014404,221.37554097175598,0.12823732646,0.2029,85,6.23522052537,-1.10024106503,-5,0.08487963676452637,-11.705,2.53678297996521,1.10024107928,-1.40412579341e-08
-41,0.42979907989501953,0.00833161454648,1.25371,-11.5232262877,-8.8500975437e-08,1000,1.4399795532226562,223.95046091079712,0.107389406467,0.226109,86,5.61585576738,-0.00472993543372,-5,0.0854043960571289,-11.858,2.5714659690856934,0.00472984693274,1.75999623764e-08
-41,0.42921924591064453,6.89435131207e-09,1.23819,-10.6294431309,9.53674361703e-10,1000,1.4097707271575928,226.615159034729,0.10596962079,0.213655,87,5.29701802904,9.53674361703e-10,-5,0.08595776557922363,-10.94,2.660122871398926,0.0,6.89435131207e-09
-41,0.43613624572753906,0.00785869639367,1.23808,-10.686323885,2.93731687862e-08,1000,1.438666820526123,229.17698192596436,0.112606095497,0.213559,88,5.59481581466,-3.98475640395e-05,-5,0.0866854190826416,-10.994,2.5582950115203857,3.98769372083e-05,6.86252832338e-09
-32,0.4358255863189697,0.0064577027224,1.18614,-10.7995306814,-7.2479249269e-09,1000,1.4083402156829834,231.76050186157227,0.0926682957585,0.170701,89,4.60003902157,-0.00280250050128,-5,0.08632993698120117,-11.129,2.5789480209350586,0.00280249325335,2.22350120538e-08
-23,0.4379258155822754,0.0096976403147,1.17968,-11.0490841559,1.76359211679e-08,1000,1.5071003437042236,234.411278963089,0.102540980112,0.165241,90,4.64244935352,-0.000475718290545,-5,0.0929560661315918,-11.392,2.647231101989746,0.000475735926466,2.08736903318e-08
-23,0.4276695251464844,0.00781884882599,1.2333,-11.648601708,2.32696528712e-08,1000,1.4267230033874512,237.0172860622406,0.117484564325,0.209694,91,5.28412679636,-0.0018909786595,-5,0.08539628982543945,-12.002,2.6013851165771484,0.00189100192916,2.36138149035e-08
-23,0.4281952381134033,-9.42695166373e-09,1.20044,-10.6460410768,1.60217279443e-08,1000,1.3921191692352295,239.4929919242859,0.103857513669,0.18269,92,4.99018145963,1.60217279443e-08,-5,0.08473634719848633,-10.967,2.471205949783325,0.0,-9.42695166373e-09
-23,0.4411752223968506,0.0078129209578,1.20108,-10.7573864869,-1.31607054144e-08,1000,1.4351279735565186,242.05910992622375,0.102557885181,0.183221,93,4.88845006111,-0.000540302251466,-5,0.08824992179870605,-11.084,2.5612189769744873,0.00054028909076,-9.4203675971e-09
