Iteration,AverageReturn,MaxEsReturn,Epoch,AverageDiscountedReturn,MinEsReturn,AverageQ,AverageAbsY,MaxReturn,AveragePolicySurr,AverageQLoss,AverageAction,StdReturn,QFunRegParamNorm,MinReturn,AverageEsReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageAbsQ,StdEsReturn,AverageY
32,674.409960327,413.215176821,32,64.561177581,413.215176821,0.652031,0.65303682709,729.753257661,-0.725422,0.00403885,0.771893,27.834694638,41.9347,640.934213792,413.215176821,56.8356,0.0461690529184,0.652394,0.0,0.652500650475
33,609.652217416,472.751093368,33,65.833762965,472.751093368,0.71865,0.719454518766,729.578654051,-0.79359,0.00435756,0.739166,88.4055028214,42.9072,371.483051981,472.751093368,57.8152,0.0470781708114,0.718922,0.0,0.719019113313
34,470.186026841,398.97309478,34,55.3501856006,398.97309478,0.788382,0.789225159223,769.587045974,-0.86282,0.00420987,0.764765,440.053577622,43.808,-609.357022224,398.97309478,58.7414,0.0464580393687,0.788529,0.0,0.78894741538
35,700.055582896,467.476668057,35,60.4457709449,467.476668057,0.856024,0.856644915856,791.920784035,-0.928521,0.00416834,0.757774,40.0005944303,44.5655,641.493326449,467.476668057,59.6869,0.0465826012037,0.856078,0.0,0.856511145692
36,766.652144623,457.97968426,36,74.9563390887,457.97968426,0.927294,0.927915869807,819.369693852,-1.00172,0.00456287,0.757991,38.3760943551,45.3837,707.498413992,457.97968426,60.6489,0.0476443101462,0.927314,0.0,0.927827324505
37,710.466839635,523.336937981,37,66.098301904,523.336937981,1.0008,1.00142034657,778.47606092,-1.07588,0.00519757,0.820797,44.9175607746,46.1926,620.65882298,523.336937981,61.59,0.0488402716739,1.00081,0.0,1.00132682297
38,794.87138218,454.681092617,38,70.3319174541,454.681092617,1.07154,1.07212285543,892.165314662,-1.14425,0.00496063,0.792696,54.8803373889,46.9166,700.449508345,454.681092617,62.4847,0.048290017478,1.07154,0.0,1.0720636161
39,755.987062151,506.060318658,39,63.9923697694,506.060318658,1.13907,1.13963435935,812.80313207,-1.21292,0.00514614,0.793836,25.7199183664,47.7155,725.219587754,506.060318658,63.256,0.0494878690671,1.13907,0.0,1.1395771257
40,712.937095236,549.519938724,40,64.4212503794,549.519938724,1.21463,1.215217675,767.143154626,-1.28705,0.00533415,0.797627,30.9195600187,48.5157,668.819151698,549.519938724,64.1367,0.050071867547,1.21463,0.0,1.21517970332
41,734.625652543,528.159826063,41,66.5518311073,528.159826063,1.28704,1.28763052939,793.107302785,-1.35972,0.00593429,0.850015,41.8157861576,49.2185,671.57647527,528.159826063,64.8869,0.0519039032812,1.2871,0.0,1.2875645886
42,660.116911883,437.399585146,42,14.0071500185,437.399585146,1.35535,1.35583841108,905.64228238,-1.42813,0.00591785,0.822943,178.704041016,49.9488,256.447563193,437.399585146,65.6395,0.0525403751342,1.35535,0.0,1.35580112693
43,698.261634255,459.778226327,43,37.7399956388,459.778226327,1.4261,1.42674531752,841.8927717,-1.50024,0.0068787,0.841857,153.306122003,50.6274,379.146113924,459.778226327,66.357,0.055322529819,1.4261,0.0,1.42668087025
44,479.869464073,478.813950209,44,63.8990430286,478.813950209,1.50556,1.50612342963,843.944217638,-1.58283,0.00671825,0.851446,322.535118475,51.278,-128.989768478,478.813950209,67.1704,0.0554075550887,1.50556,0.0,1.5060852295
45,498.398451023,455.253991611,45,44.143639464,455.253991611,1.58042,1.58096864958,705.836920511,-1.6591,0.00822822,0.82551,264.467382563,51.9654,-144.224285902,455.253991611,67.8154,0.0577975154349,1.58042,0.0,1.58090442006
46,579.239715454,621.501991344,46,51.2500490056,621.501991344,1.65799,1.6586680037,683.456164698,-1.73506,0.00869327,0.840712,52.9336712535,52.641,522.059447397,621.501991344,68.4785,0.0586014490675,1.65799,0.0,1.65861921165
47,-563.647906616,415.992935891,47,-57.1928753109,415.992935891,1.73204,1.73278410072,-556.493766424,-1.81358,0.0092883,0.93714,3.50017806754,53.3356,-567.268421865,415.992935891,69.2223,0.0594937600297,1.73204,0.0,1.73268782393
48,-456.470054638,598.686732885,48,-44.3730145142,598.686732885,1.81258,1.81304242705,719.089068113,-1.8961,0.00849835,0.979761,391.902012904,53.8785,-598.877962886,598.686732885,69.8644,0.0591039357233,1.81258,0.0,1.81301078055
49,105.955920535,535.777466952,49,-31.0867971111,535.777466952,1.90254,1.90323731006,615.655751397,-1.9865,0.00942187,0.846542,384.266319351,54.5255,-535.007571531,535.777466952,70.4809,0.0604010968769,1.90254,0.0,1.90319000083
50,462.694815064,615.060889649,50,16.6258547209,615.060889649,1.98872,1.98929835524,699.544113844,-2.07443,0.00966136,0.891696,150.633032483,55.1088,177.92531211,615.060889649,71.2514,0.0621647949747,1.98872,0.0,1.98926658335
51,828.70549906,599.060928928,51,74.5544833753,599.060928928,2.07627,2.077080701,874.545770711,-2.15967,0.0106736,0.895099,23.1098941531,55.7377,790.790754348,599.060928928,71.8933,0.0632473204467,2.07627,0.0,2.07701571064
52,831.094496404,605.789506642,52,64.0873617485,605.789506642,2.16,2.16059577861,888.501211635,-2.24103,0.0129738,0.910202,35.8543181362,56.3388,754.499091683,605.789506642,72.5412,0.0648341690993,2.16,0.0,2.16052779308
53,697.239535901,611.023582445,53,53.5635750392,611.023582445,2.2363,2.23701255399,791.982614986,-2.31906,0.0109638,0.8822,142.116120659,56.8781,279.655193297,611.023582445,73.0855,0.062548263071,2.2363,0.0,2.23696893979
54,577.531391558,642.387561503,54,59.6678453397,642.387561503,2.32194,2.32240001622,763.028337586,-2.40539,0.0105715,0.879657,380.119332612,57.4328,-542.825311879,642.387561503,73.7179,0.0622022298272,2.32194,0.0,2.32234321182
55,594.886012357,741.178618676,55,57.5960494909,741.178618676,2.40362,2.40423038856,641.334331734,-2.48445,0.0124626,0.861354,34.9954276769,58.0435,521.551775345,741.178618676,74.4152,0.0646157606658,2.40362,0.0,2.4041679449
56,708.274549838,567.577853607,56,70.0444040185,567.577853607,2.48259,2.48344953544,785.890102555,-2.56439,0.0122637,0.843044,60.1116862628,58.5635,560.855652975,567.577853607,75.0467,0.0647749962065,2.48259,0.0,2.48339283014
57,330.767411083,680.209466579,57,40.3536585636,680.209466579,2.56671,2.56729602478,678.501929401,-2.64946,0.0116073,0.880379,391.15197774,59.0962,-396.125954449,680.209466579,75.6611,0.0645919875104,2.56671,0.0,2.567274516
58,640.183452428,687.145506151,58,67.0498860218,687.145506151,2.64576,2.64648503147,753.15159825,-2.72723,0.0150869,0.901921,154.958423357,59.5827,189.590179544,687.145506151,76.2281,0.0682327599502,2.64577,0.0,2.64641819682
59,467.043817405,487.231414113,59,56.7746011776,487.231414113,2.72618,2.72699121974,615.116780105,-2.80732,0.0137503,0.908654,113.132430453,60.1257,211.363346572,487.231414113,76.88,0.0663585559867,2.72618,0.0,2.72693671537
60,326.294780618,577.832918774,60,45.6151802407,577.832918774,2.80732,2.80805910501,517.83450137,-2.88695,0.0152516,0.869083,185.865248053,60.6546,-62.3726698721,577.832918774,77.4729,0.0674543654795,2.80732,0.0,2.80801862825
61,705.882126564,637.740668029,61,68.9373047841,637.740668029,2.88261,2.88339325923,790.86684734,-2.96294,0.0170586,0.917456,127.566659088,61.202,334.729684535,637.740668029,78.0243,0.0701334563404,2.88261,0.0,2.8833433651
62,654.859260041,640.772855835,62,65.7268801368,640.772855835,2.96189,2.96257121779,699.583008584,-3.0409,0.014924,0.903059,25.0529285947,61.7168,612.593941099,640.772855835,78.4897,0.0683188854785,2.96189,0.0,2.96252431808
63,575.682764042,645.426989485,63,69.845843985,645.426989485,3.03803,3.03879601025,687.687412415,-3.12007,0.0158695,0.914237,67.6496476076,62.2413,438.938588856,645.426989485,79.0467,0.0682452916304,3.03803,0.0,3.03873928052
64,675.558400645,670.107046435,64,68.2385538913,670.107046435,3.12448,3.12523859567,785.316728522,-3.20761,0.01772,0.923617,81.9740536007,62.7365,573.824509376,670.107046435,79.6692,0.0707316286858,3.12448,0.0,3.12518495799
65,788.495561129,734.275735357,65,79.1414604372,734.275735357,3.19988,3.20072828554,889.335538816,-3.28386,0.0189243,0.929845,62.6166870151,63.2606,687.422434039,734.275735357,80.2535,0.0719404358085,3.19988,0.0,3.20069648426
66,694.987009491,673.799934714,66,67.5740085758,673.799934714,3.28621,3.28699452367,842.189724848,-3.36939,0.0167815,0.909702,81.1230381142,63.8385,541.455912572,673.799934714,80.8487,0.0700982076349,3.28621,0.0,3.28693168565
67,491.310444476,603.262356249,67,64.9153355998,603.262356249,3.368,3.36864451829,735.655620191,-3.4508,0.0190259,0.896612,218.803917625,64.2791,113.264287495,603.262356249,81.4087,0.072372562752,3.36821,0.0,3.36858019777
68,709.920311369,678.218723854,68,65.1823818311,678.218723854,3.44461,3.44528979536,850.290340716,-3.52413,0.0198194,0.910212,60.2898350071,64.7764,623.208600414,678.218723854,81.9719,0.0734327269249,3.44461,0.0,3.44526164595
69,581.521085489,570.287216524,69,68.1538587311,570.287216524,3.51619,3.51695805133,693.001562358,-3.5968,0.0249271,0.904523,63.0754937799,65.2696,472.070909317,570.287216524,82.4548,0.0769408870206,3.51619,0.0,3.51692908415
70,558.304734156,634.960599239,70,62.9325351476,634.960599239,3.59118,3.59203073855,702.545781059,-3.66981,0.0198387,0.905979,105.018663531,65.6932,367.005614261,634.960599239,82.9684,0.0729730378695,3.59124,0.0,3.5919883729
71,681.433243732,625.499015306,71,61.8160975359,625.499015306,3.65888,3.65948485348,822.296923515,-3.73647,0.0228061,0.926569,164.044086909,66.1334,260.865794658,625.499015306,83.4959,0.0751771318321,3.65896,0.0,3.65943823264
72,752.542774605,620.960153289,72,66.5892944553,620.960153289,3.73194,3.73293686914,852.318738282,-3.81075,0.0224308,0.929188,56.6014836264,66.6263,676.879218079,620.960153289,84.0598,0.0768481302619,3.73195,0.0,3.7328796993
73,670.94934296,597.861427114,73,58.4097572823,597.861427114,3.80802,3.80872336942,744.328648683,-3.88811,0.0250958,0.913801,62.5300413403,67.0418,512.042670074,597.861427114,84.5617,0.0785193433534,3.80802,0.0,3.80867083791
74,528.603885951,676.108486247,74,34.3983727315,676.108486247,3.87744,3.87833067564,657.164341385,-3.95368,0.0232818,0.905549,87.0162513308,67.4614,388.006804655,676.108486247,85.0195,0.0769429279286,3.87744,0.0,3.87828801509
75,829.368855074,667.67502301,75,75.2512675947,667.67502301,3.94937,3.94996860012,891.692328387,-4.02582,0.0237083,0.912978,36.4724751834,67.8611,773.547426318,667.67502301,85.5179,0.0771532967934,3.94937,0.0,3.94990148332
76,680.31597079,583.500094804,76,58.250953015,583.500094804,4.01395,4.01475288255,794.878230652,-4.09171,0.0238524,0.913554,70.385566942,68.2831,551.350515713,583.500094804,85.9689,0.0767060431748,4.01395,0.0,4.01471764671
77,666.682040784,670.866426715,77,66.7603377031,670.866426715,4.08959,4.09017978084,738.073305429,-4.16858,0.0216923,0.917214,50.1621559154,68.679,589.42423957,670.866426715,86.574,0.076309492293,4.08964,0.0,4.09015502787
78,552.766212944,687.449187848,78,61.2066382735,687.449187848,4.15979,4.16074602914,612.992608988,-4.23693,0.0230417,0.907212,44.6178183087,69.093,454.031086212,687.449187848,86.9982,0.0787404195758,4.15979,0.0,4.1606828903
79,720.078126595,586.70900538,79,64.603253971,586.70900538,4.22973,4.23046160488,829.243261718,-4.30912,0.0290553,0.914587,85.5166503242,69.5649,544.922173752,586.70900538,87.5061,0.0833015765599,4.22973,0.0,4.23039975069
80,684.61014349,591.918559209,80,72.1210043305,591.918559209,4.29757,4.29843996268,784.433122791,-4.37842,0.0306827,0.910027,75.7347663136,70.0052,550.834187664,591.918559209,88.0615,0.0850468944038,4.29757,0.0,4.29837743879
81,737.496438256,661.099803381,81,60.9097557473,661.099803381,4.37173,4.37250623157,854.857758001,-4.4504,0.0292781,0.914913,76.8600481149,70.4001,575.175317852,661.099803381,88.5491,0.0841423829617,4.37173,0.0,4.37244875185
82,791.273993327,652.865427462,82,71.359156704,652.865427462,4.44141,4.44241540512,847.810098833,-4.52149,0.0283957,0.92741,38.813657443,70.7507,728.201218451,652.865427462,89.0646,0.0846231580081,4.44141,0.0,4.44236938584
83,690.315307873,699.596515528,83,65.9481229713,699.596515528,4.50788,4.50848734696,847.269095841,-4.58616,0.0326117,0.922369,89.5421712376,71.1668,575.030932615,699.596515528,89.5362,0.0861561681149,4.50793,0.0,4.50842714129
84,728.614030406,764.314422851,84,56.4034377078,764.314422851,4.57597,4.576955618,880.725088281,-4.65685,0.0255111,0.918611,140.343134782,71.522,355.679778115,764.314422851,90.0296,0.0819443270924,4.57605,0.0,4.57689029336
85,781.48139042,661.574147974,85,67.2251485263,661.574147974,4.64955,4.65030437916,873.54840306,-4.73037,0.0283699,0.907673,85.6616214966,71.8662,623.949031002,661.574147974,90.5072,0.0840520991367,4.64955,0.0,4.65025863242
86,578.140356062,747.546250624,86,67.9153904305,747.546250624,4.71249,4.7133967351,846.766044275,-4.78988,0.037118,0.918797,203.536453032,72.2667,60.7713836004,747.546250624,90.9274,0.089176328947,4.71249,0.0,4.7133295176
87,681.781219458,679.024515287,87,74.2828184661,679.024515287,4.78283,4.78354642681,821.415206661,-4.86472,0.028998,0.927121,120.108262094,72.6439,449.661424035,679.024515287,91.3243,0.0838529153258,4.78284,0.0,4.78349741273
88,727.063554809,682.890512979,88,66.0352925064,682.890512979,4.85685,4.8574359724,916.499292876,-4.9389,0.0284372,0.936518,201.81880972,73.0408,347.920476777,682.890512979,91.7702,0.0855221378253,4.85685,0.0,4.85737834645
89,775.22825608,564.786093302,89,77.4881467385,564.786093302,4.92109,4.92225531536,860.588389821,-5.00395,0.0345055,0.930346,63.1694532374,73.4398,619.125890611,564.786093302,92.2395,0.0898960518269,4.9211,0.0,4.92219268237
90,625.843797367,687.578300822,90,62.6166569438,687.578300822,4.99648,4.99725321437,734.730439278,-5.08006,0.0348423,0.936408,88.5886067916,73.7598,464.784070068,687.578300822,92.7082,0.0890226353174,4.99648,0.0,4.99718862497
91,728.198448813,674.037185509,91,69.7078353266,674.037185509,5.06139,5.06228503633,810.82586623,-5.14653,0.0316517,0.952849,55.4291933476,74.1247,601.32298794,674.037185509,93.1926,0.0888515439889,5.06139,0.0,5.06223988104
92,386.159444321,670.632396354,92,42.311881686,670.632396354,5.13282,5.13369819209,746.629299543,-5.21692,0.0394403,0.936849,264.767243718,74.4811,-19.4839986258,670.632396354,93.6078,0.0922101844962,5.13308,0.0,5.13362699073
93,766.407356063,687.393220923,93,68.7046733912,687.393220923,5.20352,5.20417928537,882.875327902,-5.2875,0.0343418,0.930569,64.2638724705,74.8676,690.690598829,687.393220923,94.0796,0.0893787204429,5.20352,0.0,5.20412224148
94,882.45392058,689.380362746,94,82.3719855389,689.380362746,5.27103,5.27192115274,928.33789306,-5.35375,0.0281226,0.942431,38.1114981741,75.2076,796.550660179,689.380362746,94.5088,0.0873326156785,5.27109,0.0,5.27187036924
95,780.258520857,728.885908156,95,79.7164793478,728.885908156,5.34529,5.34615709455,894.140718825,-5.42835,0.0388418,0.934422,180.630728608,75.5673,253.19217538,728.885908156,94.9516,0.0938944187061,5.34529,0.0,5.34611197463
96,729.540067673,755.416539635,96,76.5155251508,755.416539635,5.40496,5.40595160686,947.619875492,-5.48978,0.0379733,0.938605,349.132099379,75.9357,-141.17349696,755.416539635,95.283,0.0920175542993,5.40499,0.0,5.40588044532
97,804.57701522,583.699340525,97,80.9325823059,583.699340525,5.47617,5.47714487627,973.963965289,-5.55925,0.0309028,0.949388,275.369424464,76.2893,-10.2015607463,583.699340525,95.7105,0.0903453778083,5.47617,0.0,5.4771031443
98,800.361494294,654.289000978,98,72.5078627443,654.289000978,5.54408,5.54482232564,960.722858274,-5.62487,0.040067,0.948707,139.206413929,76.6354,446.124657031,654.289000978,96.1582,0.0950794003161,5.54408,0.0,5.54477332391
99,824.308055863,639.980346465,99,78.7111968527,639.980346465,5.60729,5.60833093014,874.674509208,-5.69099,0.0418205,0.94521,42.5462922437,76.9727,758.116800258,639.980346465,96.5641,0.0973706828916,5.6074,0.0,5.6082726461
100,890.700334889,209.815042992,100,78.1892017059,209.815042992,5.66217,5.66318315941,991.388574645,-5.74763,0.0507193,0.959171,67.3953359385,77.2835,775.257956879,209.815042992,96.9779,0.102512091746,5.66217,0.0,5.66311563435
101,767.709350771,731.727283717,101,75.5683302683,731.727283717,5.73574,5.73656222344,825.516567829,-5.82141,0.0403867,0.95803,30.6600593914,77.5886,725.189080286,731.727283717,97.3206,0.0975090533309,5.73575,0.0,5.73650407003
102,623.560216175,654.734001645,102,63.0715679633,654.734001645,5.79939,5.80047291653,853.505003897,-5.88858,0.051487,0.949712,265.337269938,77.9433,18.7070462712,654.734001645,97.6633,0.100429822042,5.79939,0.0,5.80040168075
103,706.031926951,692.509741621,103,54.937368991,692.509741621,5.86709,5.86772163003,846.36082744,-5.95095,0.0372308,0.945342,101.096427677,78.1979,534.652500624,692.509741621,98.1109,0.0942957076273,5.86717,0.0,5.86765370686
104,585.755937469,701.198711505,104,54.6302562714,701.198711505,5.92554,5.92675352318,827.223726419,-6.00787,0.0494585,0.95298,343.863114295,78.4935,-392.147792042,701.198711505,98.4413,0.100966430774,5.92556,0.0,5.92668007592
105,714.462568113,603.681259262,105,65.8130791806,603.681259262,5.99026,5.99115417628,830.152116969,-6.06887,0.0481551,0.95321,157.091642721,78.8152,264.549647066,603.681259262,98.8195,0.0986892974523,5.99026,0.0,5.9910902857
106,745.485884118,725.02874299,106,69.4543624245,725.02874299,6.04493,6.04587907361,904.938224034,-6.12621,0.0462793,0.951181,158.259828517,79.0848,433.619055552,725.02874299,99.2398,0.0967839713216,6.04493,0.0,6.04582179063
107,823.539516857,611.060526079,107,75.376355145,611.060526079,6.10378,6.10455145889,920.334259362,-6.18388,0.0463847,0.947892,50.3974953564,79.294,717.850937389,611.060526079,99.6293,0.0981147043994,6.10378,0.0,6.10451603383
108,804.598666688,642.799866139,108,74.6460010113,642.799866139,6.15939,6.16011143042,876.837371336,-6.24132,0.0536069,0.953393,43.4919175927,79.585,732.754668656,642.799866139,99.9649,0.100497570297,6.15939,0.0,6.16005861048
109,885.599656211,686.690230394,109,79.4470672269,686.690230394,6.21969,6.22074318767,953.565741974,-6.29913,0.0384885,0.940509,36.6401918247,79.8354,830.667992397,686.690230394,100.344,0.0941629527417,6.21969,0.0,6.2206981223
110,978.50050432,631.920883251,110,72.7411991022,631.920883251,6.27484,6.27587478835,1032.909139,-6.35459,0.0505857,0.929477,31.2170702976,80.1317,926.838777007,631.920883251,100.736,0.100955763956,6.27484,0.0,6.27581136186
111,996.381752231,685.783174414,111,82.9207835692,685.783174414,6.33128,6.33209770997,1054.75197128,-6.41198,0.050254,0.942418,30.0167685087,80.4228,959.992662762,685.783174414,101.053,0.100004028908,6.33137,0.0,6.33203279529
112,807.088485602,653.65092418,112,70.7089642136,653.65092418,6.38715,6.38829517839,986.194539377,-6.46943,0.0459835,0.954346,239.586738777,80.7504,107.273901506,653.65092418,101.459,0.0992069221859,6.38725,0.0,6.38824151465
113,1052.99316607,653.231690951,113,88.2941763099,653.231690951,6.44134,6.44201651229,1130.12181891,-6.52191,0.0566308,0.941974,43.9865080996,81.0318,979.343351322,653.231690951,101.86,0.102148597795,6.44134,0.0,6.44197045
114,1003.0312413,718.447345925,114,82.5609069515,718.447345925,6.49704,6.49793410952,1067.15738269,-6.5747,0.0568322,0.935191,35.9839243691,81.2956,950.598989148,718.447345925,102.219,0.104147773102,6.49704,0.0,6.49789678268
115,946.356795641,709.732544471,115,86.5084225193,709.732544471,6.54411,6.54496377303,996.69913235,-6.62065,0.0692394,0.953934,33.8668534906,81.618,888.185351917,709.732544471,102.556,0.105163712943,6.54413,0.0,6.54488978287
116,860.68828843,695.147909683,116,69.4660388549,695.147909683,6.59635,6.5972545257,933.959265563,-6.67484,0.0512879,0.947939,49.5171453419,81.9263,789.770938242,695.147909683,102.874,0.100576023467,6.59639,0.0,6.59720905313
117,895.391745457,732.2337709,117,77.0191410317,732.2337709,6.65338,6.65437191658,975.274207771,-6.73414,0.0554859,0.950327,70.9544816666,82.2009,714.467861602,732.2337709,103.261,0.101877108783,6.65338,0.0,6.6543002286
118,619.254335591,708.28360488,118,56.7432985118,708.28360488,6.70536,6.70614249078,736.508359634,-6.78533,0.0529945,0.948617,72.3160742021,82.4572,501.764695373,708.28360488,103.565,0.0990818173434,6.70536,0.0,6.70610676603
119,703.628060241,675.564727391,119,73.6897082164,675.564727391,6.75995,6.76091413178,855.754751375,-6.84141,0.0580771,0.949964,169.070119264,82.7915,231.671227492,675.564727391,103.87,0.103877801467,6.75995,0.0,6.76085721665
120,712.377447259,639.26661785,120,62.1653904352,639.26661785,6.80755,6.80842556288,822.387845691,-6.88485,0.0650945,0.955094,142.937295566,83.0164,314.862426907,639.26661785,104.283,0.105105442588,6.80755,0.0,6.80837434624
121,666.742084304,664.163283364,121,58.3500409994,664.163283364,6.86017,6.86095314202,855.982328758,-6.93966,0.0443685,0.946252,263.9406856,83.2182,-112.205235403,664.163283364,104.656,0.0970316728334,6.86017,0.0,6.8609289135
122,851.636381989,616.010882921,122,77.6814899443,616.010882921,6.90721,6.90812621313,916.433712194,-6.98673,0.0590925,0.946785,49.6244541696,83.4813,762.800168491,616.010882921,104.974,0.104094646278,6.90721,0.0,6.90807161754
123,770.349439897,693.570065007,123,74.8114011615,693.570065007,6.95939,6.96001334597,923.639761143,-7.04211,0.0570984,0.949857,212.162412354,83.7326,157.889724355,693.570065007,105.32,0.102708427731,6.95939,0.0,6.95998887786
124,910.940577971,700.744339697,124,71.3144426609,700.744339697,7.01042,7.01149435752,1017.92593607,-7.08403,0.0450306,0.937925,75.6214978801,83.9263,758.377455027,700.744339697,105.644,0.0986527446195,7.01042,0.0,7.01146225359
