AverageDiscountedReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageReturn,Iteration,MaxReturn,AverageQLoss,AverageY,AverageAction,MinEsReturn,PolicyRegParamNorm,AverageQ,AverageAbsY,MinReturn,StdEsReturn,Epoch,StdReturn,AverageAbsQ,AverageEsReturn,MaxEsReturn
116.301918373,-58.0286,1.55034789879,41.7615,183.426357028,42,188.620214474,11.5661,55.7795821504,0.690413,7.04780395544,28.4413,55.7655,55.7927419931,170.405829589,72.4635994748,42,4.69539043213,55.8022,119.001805826,241.169027448
112.074024676,-59.7069,1.6097896785,42.4328,175.489841616,43,185.373515191,13.9634,57.4311305611,0.669819,18.8073123688,28.7463,57.4214,57.4439523011,169.400675254,52.4441046673,43,2.77379710739,57.4599,145.338789779,184.629747706
113.752177118,-61.684,1.70057656491,43.0914,185.443604318,44,205.074961239,14.5594,59.3360588349,0.576616,13.4645941806,29.0101,59.3248,59.3487748758,161.887321068,62.3326326056,44,7.79328332369,59.3625,115.510369224,238.10217948
114.142096519,-63.6724,1.72260122383,43.7537,180.163718365,45,185.561493071,14.9441,61.3201596023,0.710966,147.850790866,29.2735,61.3118,61.3323534884,175.887621346,29.2111327708,45,1.77244846742,61.3516,186.104489282,254.941507462
129.143517581,-65.3956,1.76253871245,44.4143,218.408655813,46,282.931476427,14.9784,62.9654554574,0.679151,13.1177960514,29.5875,62.9508,62.9770710551,198.361404988,69.2345004634,46,17.9806744824,62.9964,156.230650119,260.302965542
124.979422995,-67.2784,1.68526313873,45.0493,208.836104552,47,259.907824309,13.6189,64.933774268,0.728648,17.5237490885,29.9209,64.924,64.9495543304,150.166567341,90.903740931,47,22.5412082342,64.9662,148.87151006,342.248183018
135.036283043,-69.2485,1.82665886875,45.7846,234.344910308,48,266.554865271,16.1824,66.7962704089,0.717787,40.8826880457,30.2574,66.788,66.8137391079,181.963977729,91.357016265,48,20.8820948202,66.8399,183.358440898,272.04334838
106.123033332,-71.0977,1.85035937891,46.41,164.429208612,49,361.021082931,16.4145,68.581084764,0.73269,13.3704653416,30.5718,68.5655,68.6000329992,126.485103242,90.081058218,49,43.9016493033,68.6222,169.733438878,298.55766911
140.88593772,-72.9955,2.0084806245,47.0557,246.901361242,50,269.98092834,21.5441,70.4367626462,0.633868,45.2988657457,30.8601,70.427,70.4523280679,157.181671617,68.6318557559,50,12.5829867229,70.4813,183.625104423,289.443735901
137.161945684,-75.0547,1.94261705434,47.6786,239.108196871,51,290.558997174,18.16,72.5096735556,0.737538,12.2494301201,31.1808,72.4982,72.5204011044,182.855161357,107.019148737,51,25.2103446996,72.5436,174.714539459,328.153407612
119.817876983,-76.9195,1.97424529886,48.395,189.928132569,52,214.201283283,19.0365,74.2258807652,0.626374,5.47114925778,31.5047,74.2103,74.2388513744,166.515411206,128.654810089,52,11.2264524835,74.2565,194.729793965,412.921195164
