AverageAbsY,AverageAbsQ,MinReturn,QFunRegParamNorm,StdReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,MaxEsReturn,Iteration,AverageEsReturn,MaxReturn,AverageAction,AverageDiscountedReturn,AverageQ,AveragePolicySurr,StdEsReturn,MinEsReturn,AverageY,AverageAbsQYDiff,Epoch
57.292365007,57.3393,1000.0,86.2792,0.0,1000.0,16.284,38.252,54.0,82,13.1518987342,1000.0,0.205439,99.9956828753,57.2728,-63.034,8.89330370701,3.0,57.2806142031,1.53163006616,82
57.8308682936,57.8946,1000.0,86.9394,0.0,1000.0,18.8481,38.471,77.0,83,15.7142857143,1000.0,0.202068,99.9956828753,57.8212,-63.8551,14.3443242151,2.0,57.8204457566,1.58921559391,83
58.4390678625,58.4937,1000.0,87.4919,0.0,1000.0,17.4211,38.646,54.0,84,14.9850746269,1000.0,0.202515,99.9956828753,58.419,-64.6045,11.9182445584,4.0,58.4255104953,1.62639384649,84
59.3734100363,59.4244,1000.0,88.0773,0.0,1000.0,18.2884,38.8232,46.0,85,12.2405063291,1000.0,0.135377,99.9956828753,59.3492,-65.4176,8.8564003744,3.0,59.3605801851,1.64961642009,85
60.0685835612,60.1242,1000.0,88.7345,0.0,1000.0,18.7375,38.9662,52.0,86,14.5492957746,1000.0,0.185193,99.9956828753,60.049,-66.2478,10.3757419316,3.0,60.050945194,1.63495959061,86
61.0384020848,61.0989,1000.0,89.3678,0.0,1000.0,17.4177,39.139,45.0,87,13.36,1000.0,0.157475,99.9956828753,61.0187,-67.091,8.74778448142,3.0,61.0226810395,1.61524651081,87
61.6392575294,61.699,1000.0,89.9713,0.0,1000.0,20.5645,39.4113,38.0,88,14.6911764706,1000.0,0.143723,99.9956828753,61.6143,-67.7948,10.0385394897,3.0,61.6201670492,1.70341890266,88
62.4755742912,62.546,1000.0,90.4372,0.0,1000.0,19.6093,39.5842,43.0,89,13.602739726,1000.0,0.189404,99.9956828753,62.458,-68.8053,10.1532634959,3.0,62.4592285361,1.68738840682,89
62.9069735941,62.9682,1000.0,90.9975,0.0,1000.0,19.9812,39.8311,56.0,90,17.3103448276,1000.0,0.240927,99.9956828753,62.8834,-69.3388,11.5940039446,3.0,62.8933166669,1.64642763248,90
63.6686817461,63.7489,1000.0,91.5435,0.0,1000.0,23.8703,39.9935,64.0,91,13.5810810811,1000.0,0.246048,99.9956828753,63.6386,-70.2008,11.8993603698,3.0,63.6473471751,1.84717419368,91
64.5077726651,64.5983,1000.0,92.1206,0.0,1000.0,21.6849,40.1477,30.0,92,10.6489361702,1000.0,0.211901,99.9956828753,64.4863,-71.0375,7.17962164417,3.0,64.487901025,1.74265406799,92
65.1657818808,65.2306,1000.0,92.7113,0.0,1000.0,22.5323,40.3156,37.0,93,12.6708860759,1000.0,0.133354,99.9956828753,65.1313,-71.7701,7.6550992668,3.0,65.1380307412,1.83549310396,93
