MinEsReturn,StdEsReturn,AverageAbsY,AveragePolicySurr,MaxEsReturn,AverageAbsQYDiff,StdReturn,AverageReturn,MinReturn,Iteration,QFunRegParamNorm,AverageY,Epoch,MaxReturn,AverageDiscountedReturn,AverageQLoss,AverageAction,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,AverageQ
89.3725257617,1.59539074399,0.7036994971,-0.746448,94.4655663927,0.0235607129942,1.26485244192,95.1648467599,90.5527633556,39,37.1609,0.703696290298,39,95.9925076675,7.79225050173,0.0201076,0.145087,0.703791,23.0684,92.8155051336,0.703772
88.1765128762,3.58759142653,0.781055915337,-0.831104,99.9454229831,0.024078438997,1.29726205296,93.926465513,91.0333662825,40,37.6907,0.781052112674,40,95.6128747382,5.76204966392,0.0176348,0.151279,0.781018,23.1328,93.1590044251,0.781017
92.0909777151,2.24741009228,0.856205433307,-0.910516,99.175807573,0.0255728044022,0.466146348418,94.971707569,93.8365948164,41,38.1051,0.856201409815,41,95.7763692855,5.16055066185,0.0176201,0.134593,0.856347,23.279,94.0317561093,0.856346
89.6638069052,2.97178978111,0.933110286153,-0.989598,97.8343333876,0.0255646782857,1.20530400125,94.0141044881,91.7059372543,42,38.6597,0.933105981848,42,95.4514107005,6.6741175211,0.0191648,0.14773,0.933156,23.4511,92.319465908,0.933153
90.0923037276,1.71844420634,1.03940965317,-1.10767,95.2732248973,0.0286647859352,21.2695304419,89.7714414882,-2.89612372101,43,39.0958,1.03940341988,43,95.4410969389,2.95669229788,0.0217827,0.103515,1.0393,23.5074,92.9276845445,1.03929
89.6129325893,2.05280189545,1.08872664766,-1.157,94.8768977826,0.0310589688065,27.3752437123,8.54182909447,-0.148138769583,44,39.3812,1.0887132834,44,95.1099428247,-0.00268484959233,0.0239759,0.00565797,1.08857,23.6408,92.638897103,1.08854
-0.383326385263,36.3611042087,1.20173298332,-1.28182,94.2052954241,0.0367283498944,0.00214990854418,-0.0949280991288,-0.0965080992868,45,39.7407,1.20171594442,45,-0.0898494911466,-0.00957261296609,0.0380666,0.000950231,1.2017,23.8311,72.0742845846,1.20157
-7.37111910537,36.8933711842,1.32180434401,-1.40657,94.6580879033,0.0365535310681,0.000372153540319,-0.00216163232629,-0.0029648455434,46,40.0387,1.32177305867,46,-0.00183712659002,-0.000221378042097,0.0182914,2.1638e-05,1.32194,23.9059,74.9765701559,1.32162
-0.0870715253656,36.609987894,1.39606931224,-1.48431,94.1258346009,0.0373779039246,48.7845799204,49.9046808959,-6.43997296434,47,40.3879,1.39598819341,47,95.2840224309,3.03765304765,0.027945,0.0986127,1.39632,24.0649,72.933897014,1.39597
-2.04275015732,31.339357767,1.55279630183,-1.65139,95.3776830222,0.0512844831928,41.8481641854,69.9099089638,-16.0138491047,48,40.7526,1.55254343745,48,95.2975773728,19.0159377258,0.0462761,0.222948,1.55327,24.1858,80.7769540856,1.55256
-0.938551766238,32.8783368685,1.64339043686,-1.7446,94.7200389033,0.0497109259468,45.1377353471,26.0888488156,-4.15132279301,49,41.0563,1.64295308002,49,94.7554835202,3.53824650405,0.0313313,0.0591647,1.6441,24.2679,79.3864380083,1.64294
-3.82914679789,33.9135686296,1.7733100515,-1.87744,93.8738766079,0.0559563300772,47.7023491165,53.7161344391,-3.38860496711,50,41.2007,1.77248833176,50,95.1563439027,8.99334258934,0.0384259,0.0819729,1.77426,24.304,79.23670278,1.7725
-0.332869198739,34.3238097445,1.8916300363,-1.9963,94.4791750355,0.0603620052731,1.54798604305,93.8717045725,89.3245864727,51,41.3941,1.89026058658,51,95.0939681925,31.2403281639,0.0448353,0.463756,1.89287,24.5884,76.2999046537,1.89007
