AverageQ,AverageAction,QFunRegParamNorm,MinEsReturn,AverageQLoss,AverageEsReturn,MaxEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,MinReturn,StdEsReturn,StdReturn,Iteration,Epoch,AverageReturn,AverageAbsY,AveragePolicySurr,MaxReturn,AverageY,PolicyRegParamNorm,AverageAbsQ
0.737623,0.969035,30.152,88.4694341817,0.0227025,91.0315752587,93.563680563,0.0249056678093,29.5761152275,75.0990141533,1.52556199455,3.70072320412,38,38,89.4153969257,0.73777407756,-0.777331,91.4664652512,0.737678179977,25.5887,0.737766
0.805443,0.65777,30.7245,89.0568225045,0.0279762,92.3233662193,97.9132089142,0.0298041083287,27.9427981201,89.2386309086,3.06855565225,1.55903300763,39,39,91.9784129645,0.80552936056,-0.846924,93.32966376,0.805456791752,25.6241,0.805571
0.886675,0.0522462,31.3363,89.7203721924,0.0268017,93.9305723721,99.787880584,0.0278751286437,1.68472463167,-2.60432982915,2.43430829737,46.7029944575,40,40,34.3505644653,0.886668200863,-0.93382,94.4362771542,0.886613078249,25.7384,0.886806
0.92736,0.90445,31.973,85.5287934549,0.0287455,93.4423484378,99.2154699934,0.0294033560765,37.9602657959,91.40588533,3.53297062172,0.236182533658,41,41,92.3083439054,0.927451501423,-0.976547,92.5121237283,0.927408250463,25.8838,0.927445
1.05327,0.811212,32.697,89.6179652042,0.0412412,93.7480494124,95.2221422771,0.0359043816309,39.5229802311,92.4859110398,1.43760337256,0.174795958693,42,42,93.259565481,1.05351833454,-1.10838,93.4427439234,1.05348694498,25.995,1.05337
1.15212,0.365186,33.3269,89.0715633128,0.0340851,93.4342519965,97.6030555467,0.0371900215493,24.4189570861,89.5795915442,2.27371413714,1.43411303166,43,43,93.8904426295,1.15219908063,-1.21316,95.2734480956,1.1521622767,26.0177,1.15224
1.27203,0.296593,33.9308,90.7172280129,0.0325883,93.9736382469,99.7929164263,0.0356303744416,21.5162604569,84.7292907881,2.44392761619,2.56171683815,44,44,93.0604173452,1.27217988597,-1.33707,95.5032064085,1.27208969361,26.0914,1.27223
1.35532,0.258614,34.6402,89.5110447954,0.0520135,93.0240425829,99.6367465388,0.0430641751171,-2.37890186232,-26.1800231609,3.07635013527,0.306489886976,45,45,-25.835497956,1.35553460121,-1.43098,-25.4234178319,1.35546727689,26.2733,1.35572
1.48053,0.118752,35.1983,-1.05114169865,0.0380518,76.1917243483,94.9487219551,0.0433197391049,-1.09133239709,-12.0017801174,34.6222037393,0.140455559557,46,46,-11.86336943,1.48071449445,-1.55961,-11.5984799824,1.48060608199,26.3096,1.48102
1.52124,0.823193,35.8577,-6.54837834428,0.0420999,65.0385270371,94.797386319,0.0445036425337,42.443705679,93.3114070582,41.8019068656,0.130252479584,47,47,93.6633162858,1.521700473,-1.60314,93.8491527448,1.52143300536,26.3041,1.52222
1.68181,0.138342,36.3371,90.8876146817,0.0474641,93.4375522923,95.142069366,0.0489747034539,16.8902622025,-9.6588959607,1.307423469,51.6915291153,48,48,39.461072375,1.68246493192,-1.77183,95.1059209638,1.68209106331,26.2638,1.68299
1.79435,0.00962612,37.0118,-0.631912800692,0.0206623,78.6408976296,94.5777687913,0.0459120100783,-0.0779537783065,-1.42453817428,32.4516313121,0.288273696096,49,49,-0.961649148711,1.79448936698,-1.88858,-0.486433079336,1.79371158388,26.2624,1.79588
1.89564,0.125032,37.5739,-3.0312874471,0.0430351,78.1578087801,94.8189490756,0.0543666714789,17.6797684692,-10.0975016777,33.2395967669,51.5711719554,50,50,37.0432237985,1.89633827667,-1.99192,95.0100066223,1.89521404947,26.49,1.89754
2.03779,0.0399578,38.1114,-0.193863125663,0.0619933,80.7729009906,94.7403064674,0.0608130576199,4.66913889934,-1.23068696303,30.6661245815,38.4067769518,51,51,19.8692367753,2.03857037935,-2.13664,93.2122894858,2.0375163736,26.7208,2.03959
2.07355,0.0381104,38.5712,-0.0433635937294,0.0516639,75.4152505379,93.5287108537,0.0614220961471,-0.372635841781,-3.84774738133,33.8451363132,0.0235638084856,52,52,-3.80723180423,2.07429912198,-2.16955,-3.77951061152,2.07295009247,26.7575,2.07518
2.23713,0.00784371,38.8826,-1.80544654916,0.0768521,72.212689985,93.3767215883,0.0725543996849,-0.080646121317,-0.825740421374,37.0781984844,0.0143466293657,53,53,-0.783586385387,2.23757933126,-2.33383,-0.772258050474,2.23630595062,26.9645,2.23853
2.29787,0.916111,39.1799,-11.5141362934,0.0577729,72.444871721,91.5414181894,0.0585906403844,34.9762660099,84.1188756155,37.6155523471,2.55459201324,54,54,91.3297837446,2.29907381418,-2.39517,93.8905944215,2.29761254122,27.2254,2.2994
2.41652,0.919331,39.4691,90.8238972308,0.081761,92.7402854456,96.7269956263,0.0686053876924,34.1603440544,79.5869501873,1.91425337226,3.18955240053,55,55,90.9833434818,2.4167896739,-2.50523,93.9495331994,2.41605562805,27.3673,2.41709
2.55733,0.60764,39.7028,88.5227053257,0.116527,91.4606223883,98.9931575329,0.0871127087771,15.760624756,87.6469096319,3.3003243045,0.674286750593,56,56,90.0127819268,2.55649173232,-2.64608,90.8173760213,2.55632588766,27.4365,2.55755
2.62369,0.800121,40.0492,82.3300305352,0.0620286,90.5081010845,96.8039369904,0.064354962798,19.9222766607,87.7642457644,4.24719523158,0.698835551352,57,57,89.0675348381,2.62328598077,-2.70493,90.6211731005,2.62323196582,27.6589,2.62389
2.72746,0.770573,40.4307,84.2835018809,0.0595786,91.2438145361,94.6213419268,0.0597553263324,43.9159916104,93.7973971364,3.65060079166,0.21625130912,58,58,94.25209322,2.72706638726,-2.80197,94.518030013,2.72701057365,27.8542,2.72773
2.79519,0.972182,40.7776,85.030303863,0.0764106,90.5286381334,94.38013935,0.0676846069654,43.183949138,82.144377562,2.83216333425,1.2653752918,59,59,92.7856863412,2.79509475853,-2.86523,93.5149238545,2.79500390984,27.9627,2.79562
2.93448,0.945467,41.0615,86.4888319399,0.0669648,92.1524248065,98.8054025066,0.0698718741963,36.0507774344,81.1664360554,3.76649144266,2.91185285579,60,60,91.2413008905,2.93393126528,-2.99978,93.5357705568,2.93384198297,28.0205,2.93503
2.95645,0.925692,41.39,90.1751838373,0.04335,91.5723268359,94.2679854812,0.0581625426737,47.2556793045,93.6127962094,1.27157026925,0.127614166033,61,61,93.8352612246,2.95645805722,-3.01833,94.0435409274,2.95636843461,28.0442,2.95704
3.09316,0.936682,41.8156,87.4105261518,0.0609511,92.7469646912,95.4662487719,0.0651657138014,47.3321679928,93.5372570841,2.47356878805,0.150441737124,62,62,93.7850227918,3.09282838387,-3.1529,94.0610477002,3.09274239605,28.1099,3.09377
3.14708,0.91362,42.1889,86.7697989067,0.0320548,93.2450889558,94.9021138184,0.0543337076969,47.2581363518,93.6127744361,2.33745603197,0.163221932391,63,63,93.9073745582,3.14697578382,-3.20558,94.1837034237,3.14688936719,28.3379,3.14786
3.24534,0.961116,42.5342,88.9618999013,0.0519472,93.2295822869,96.4578716256,0.0661920506826,45.1846485858,92.8617623367,2.10040302375,0.294265798724,64,64,93.2789097316,3.24537730359,-3.30808,93.743273165,3.24521594999,28.4612,3.24624
3.31067,0.990506,42.8515,91.0446549694,0.0579802,93.6862803389,97.3060311625,0.0751549279414,43.0736719807,92.5632685138,1.5354888659,0.0682233672323,65,65,92.7179720823,3.31072966079,-3.37304,92.8018856241,3.3105297272,28.59,3.31194
