StdReturn,AverageQ,AverageReturn,AverageAction,AverageY,QFunRegParamNorm,AverageEsReturn,MaxEsReturn,PolicyRegParamNorm,AverageDiscountedReturn,AverageAbsY,AverageAbsQ,Iteration,AverageAbsQYDiff,Epoch,MaxReturn,MinReturn,MinEsReturn,StdEsReturn,AverageQLoss,AveragePolicySurr
19.1993066467,0.327947,8.94780779811,0.816641,0.328209787419,11.9865,219.675539073,458.578414107,14.7841,16.1666209087,0.702020672662,0.695368,19,0.0773492454392,19,62.0964036679,-21.0999996883,68.8219352637,149.192316855,0.0138723,-0.506175
53.5041070207,0.393937,38.8827255425,0.712004,0.394098277775,12.3369,19.3930848681,84.1219892024,15.0521,36.3069366481,0.769937683036,0.763108,20,0.080633113027,20,197.43750229,-58.6039600434,-14.8627631576,33.0023474709,0.01509,-0.607461
0.843823791904,0.517403,-12.5637733364,0.853635,0.517683037179,12.6872,64.2654848983,318.398256378,15.7109,-7.47795027257,0.836255897084,0.830189,21,0.0827240841328,21,-10.2711731068,-14.2343516141,-31.0413801854,107.960123563,0.0165401,-0.746431
12.9406561774,0.645925,-22.1601214217,0.811956,0.646425085135,13.0741,-11.4240259937,-1.29489226615,16.1563,-9.71850245028,0.910877758422,0.904532,22,0.0886815448742,22,-7.05569879905,-79.4313934694,-26.1164635016,5.39252210266,0.0197679,-0.881183
107.357141561,0.767611,-5.74574968352,0.789252,0.768121132883,13.4619,-17.5656187647,2.26487462885,16.5926,-1.02189946803,0.993557569354,0.987109,23,0.0945355119027,23,865.297053815,-60.692895512,-31.1798944162,10.9816532035,0.0224279,-1.00637
1.90054886292,0.859791,-11.6838361142,0.778981,0.8603271922,13.8177,3.56356896922,73.7227933261,17.0637,-6.5331893503,1.05746528301,1.05071,24,0.097345164571,24,-7.58688520733,-19.6386470242,-29.9186632696,29.8041181465,0.0239783,-1.09165
28.3003163299,0.978909,7.14123160306,0.793009,0.979499131572,14.1325,53.0396595061,196.90004428,17.4589,15.060516185,1.15108730838,1.14503,25,0.0985364932311,25,92.0023611211,-47.6460654147,-13.0015728952,83.1572908622,0.0223702,-1.19375
32.2320814718,1.07239,-17.1270623,0.747826,1.07305807954,14.4524,36.4785084587,298.959064839,17.7945,1.25316679795,1.23338156811,1.22701,26,0.106713469327,26,235.918193761,-54.7450977427,-25.6732908006,98.4281033049,0.0296495,-1.27063
152.760801936,1.1529,239.699154446,0.822271,1.15350311452,14.7702,18.4452136433,93.2749804994,18.122,79.2900584562,1.30843052358,1.30257,27,0.105879633684,27,585.200926494,20.0553500402,-32.392410911,39.5265798757,0.0302902,-1.34737
122.197287963,1.21342,137.645721521,0.783627,1.21396562263,15.0987,45.9876029463,287.956677616,18.3745,54.8133068432,1.36958276896,1.36406,28,0.108797169734,28,443.4069212,-4.15546010263,-9.76998997514,108.404023171,0.0338696,-1.39869
139.892811711,1.3018,90.5801857626,0.762093,1.30253693425,15.3774,120.27675662,289.402996315,18.6313,44.7568041744,1.45485150612,1.44974,29,0.110123502717,29,550.089537069,-22.8271982668,-7.50932409146,121.822811159,0.0328127,-1.4806
169.7739878,1.39154,336.409037855,0.862695,1.39194673843,15.7133,186.365400744,406.684073978,18.932,102.506464064,1.54636300228,1.54052,30,0.114778389811,30,717.504771612,68.5792017239,42.0565936828,161.501859695,0.0376874,-1.56944
55.6851061495,1.48468,351.184447302,0.85622,1.48536275467,16.072,129.275188856,261.528148885,19.1821,123.660667722,1.63861268243,1.63315,31,0.1186808414,31,549.872889094,132.386557475,9.28269500813,92.0467735187,0.0422384,-1.66423
271.487383445,1.55811,390.679951635,0.749244,1.55839748657,16.4283,168.023175243,396.650669168,19.5054,84.5579394318,1.71260276377,1.70732,32,0.12372330898,32,809.97008448,71.0317769605,75.0110360114,113.090828747,0.0490663,-1.74543
