AverageDiscountedReturn,AverageQLoss,MaxEsReturn,AverageQ,MinEsReturn,QFunRegParamNorm,MaxReturn,PolicyRegParamNorm,AveragePolicySurr,AverageAbsY,AverageAbsQYDiff,AverageReturn,AverageAction,Iteration,AverageEsReturn,StdEsReturn,AverageY,AverageAbsQ,MinReturn,Epoch,StdReturn
0.0157419349133,0.0110171,93.0786218895,0.610408,-3.70089650836,35.603,96.3288680672,25.5819,-0.654103,0.625810645796,0.0250036770976,31.7086284419,0.018341,38,66.6491268231,40.7541281161,0.610351805918,0.628777,-0.494170112847,38,45.4742647325
-0.188207439063,0.00682246,95.6792971562,0.649658,84.3947353997,36.4818,94.4201819293,25.9129,-0.694561,0.665681544355,0.0240449796139,70.7823562563,0.0778747,39,90.6833616448,4.07600889902,0.64966530521,0.668172,-3.42864901532,39,40.6407269991
-0.00753440635058,0.0105639,99.1132775097,0.707527,88.6433995849,37.2695,95.8243702125,26.1807,-0.758111,0.723676680942,0.0259821647639,55.1748662641,0.0348424,40,93.6172287879,3.11395664416,0.707563135204,0.726105,-4.5272623042,40,47.6303186914
-0.566610199682,0.00794923,93.2910295981,0.802298,-0.643256145596,37.9987,-5.64442307281,26.4502,-0.857259,0.817629497294,0.0258616211302,-5.67745418706,0.0568314,41,66.6037279251,38.9536635512,0.802471584798,0.819727,-5.7162003352,41,0.0209178205621
-1.20346552904,0.0181266,93.5527300557,0.844286,-5.06496650982,38.6698,86.537897997,26.6061,-0.901539,0.859231733963,0.0321728989945,13.9634128593,0.137946,42,72.5428836402,38.8154570433,0.844380133367,0.862035,-15.1684038971,42,43.135241793
2.66824598889,0.00834515,92.5014331095,0.921562,-3.93029222082,39.3907,95.194723567,26.8127,-0.982129,0.934205179159,0.0297609126064,85.6106327986,0.113424,43,70.1514701899,37.1558353235,0.921831295198,0.936836,-2.97812297858,43,27.9300623025
3.1264524416,0.0119404,98.8119051257,0.995238,87.2091129793,40.2147,92.630004016,27.0509,-1.06011,1.00802069454,0.0306425699663,85.8486532054,0.362069,44,92.5730584012,3.37877947913,0.995502904758,1.0106,75.4609981196,44,4.88761083025
-2.45768174248,0.0228149,99.5746183972,1.06889,75.5017651022,40.9377,85.6262851697,27.2761,-1.13825,1.08188113064,0.0376133922827,33.4354601749,0.304918,45,87.6551109372,8.51479594766,1.06921268211,1.08511,-28.0414307893,45,52.9550477294
-5.73805241157,0.0231115,89.2159118541,1.14873,-4.32133802321,41.6702,-57.9744691458,27.4521,-1.22405,1.16225902458,0.0401228892217,-59.4212181614,0.594807,46,59.0389700559,37.4601503887,1.14912555728,1.16503,-60.5897912003,46,0.862200774056
-2.64602086467,0.0249247,93.591577363,1.24373,-1.73153102634,42.4639,-26.1793164027,27.6814,-1.32042,1.25765420325,0.0436084454638,-26.687791586,0.267145,47,71.597765313,36.7580398881,1.24421934249,1.26063,-26.950802194,47,0.263316812233
9.30652979448,0.0223435,92.6647267626,1.32406,-16.8876963742,43.4081,93.5580456812,27.9402,-1.40426,1.33763737715,0.0462570229564,89.597214743,0.404109,48,71.2928422724,39.4859243241,1.32438928837,1.34134,79.4958171857,48,3.02648397304
7.64662477703,0.0181254,99.7003740382,1.435,71.5624170969,44.021,94.3040984475,28.2116,-1.52045,1.44880777645,0.0445020788735,92.0612655673,0.288341,49,89.5845392049,9.47280881715,1.43552490723,1.45271,86.9870303389,49,2.17882514091
5.18222874461,0.0308416,97.5507716042,1.49921,84.3219604495,44.7048,91.8008362711,28.4049,-1.58293,1.51280996666,0.0518505315512,9.46648854429,0.171316,50,90.3277250855,4.40995329592,1.49958616669,1.51794,-15.213741976,50,44.8974325669
1.4566865489,0.0461654,92.483023256,1.62724,-1.50331855779,45.4649,92.1994759989,28.7389,-1.71379,1.64028430965,0.0578741566381,43.6309861729,0.0879872,51,75.501023379,34.4660032867,1.62771473699,1.64493,-9.94065803007,51,47.4804208196
11.3904094206,0.0594471,98.4868812052,1.70395,83.9283987447,45.9902,93.7163380174,29.0881,-1.78874,1.71566030336,0.0638260736838,88.298262148,0.272385,52,91.288932934,4.696656888,1.70405958217,1.72056,-0.0165033995195,52,15.9062136006
-0.115056487986,0.0502936,92.6997078956,1.79449,90.4596858403,46.5083,-1.14404210722,29.5266,-1.87908,1.80627683738,0.0631269107117,-1.14702485594,0.0114817,53,91.6855667484,0.901852751513,1.7947519444,1.8101,-1.14999372422,53,0.00212524105323
-0.192093879951,0.0456743,93.5993626124,1.90889,-6.00899324796,47.1478,-1.77438506957,30.0218,-1.99136,1.91935380819,0.060461310879,-1.90016570348,0.0190207,54,75.5495491864,36.5019333138,1.9087290932,1.92377,-2.0223485463,54,0.0878426106695
1.23464332735,0.0544634,93.6420369052,1.99354,-7.49566927779,47.6878,91.3937606625,30.4071,-2.07411,2.00432510813,0.0652425652751,7.19310032229,0.020535,55,74.8679348335,36.9250970984,1.99392924587,2.00732,-1.35372096508,55,26.6266484651
-0.0238577913153,0.0713578,91.9154660666,2.14204,-4.7514515415,48.1292,-0.0608601728937,31.1048,-2.22376,2.15147245467,0.0748509924347,-0.0856822047387,0.00085768,56,74.3222074924,35.3994941208,2.14202137135,2.15476,-0.144258057709,56,0.0235310551894
1.87378987336,0.0270602,93.1475160841,2.17624,-4.13868945798,48.7675,92.5201149353,31.5694,-2.25223,2.18397218354,0.0564255746291,7.61166316129,0.0160613,57,75.1175154049,35.4787084342,2.176094066,2.18723,-1.0758701443,57,26.8505543003
3.22818748999,0.0304628,92.4784378929,2.24923,-1.04349528219,49.3387,90.8826784062,32.2123,-2.32077,2.25737152315,0.0566094583394,14.7338226586,0.0225668,58,77.9187404458,32.2724584509,2.24901009408,2.26058,-0.39955687276,58,33.8055428668
23.5112363157,0.0382192,93.8422910857,2.36102,-0.117048140388,49.8529,93.9107158158,32.7424,-2.42791,2.36983908599,0.0607123372694,90.2856347508,0.743989,59,80.8877732425,30.6293450006,2.36106651296,2.37237,85.3712861799,59,1.95306272326
42.2245103826,0.0367336,99.9349270655,2.44807,89.0081868174,50.3559,94.3934785768,33.4812,-2.51451,2.45761766409,0.0629761569643,93.5403934095,0.836237,60,92.1853504446,3.67066351641,2.44806406655,2.46068,92.2515025786,60,0.604284703598
34.719073014,0.0273665,93.0991989089,2.50422,90.3544521873,50.9701,94.0157288045,34.1802,-2.56911,2.51401276234,0.054696115098,91.5963121149,0.880187,61,91.4097032303,0.775648197524,2.5043712779,2.5168,81.9661622408,61,2.73705440875
45.5050736082,0.0470012,96.7157075256,2.58259,88.4669884085,51.5577,94.1661414553,34.6142,-2.64168,2.59228279595,0.0620025930619,93.5088549726,0.930445,62,90.879728226,2.93204366994,2.5828095519,2.59475,92.9651853946,62,0.299032009487
45.0802421946,0.0238442,99.7828412131,2.69366,88.7356054799,52.2509,94.2726051704,34.886,-2.75211,2.70294361685,0.0586219850782,93.6977959854,0.886218,63,93.1554810059,2.82065549968,2.6939520278,2.7052,93.1775682751,63,0.378951637709
45.1139843723,0.0316631,95.2021190778,2.75959,89.9886062025,52.839,93.9486866254,35.2599,-2.81907,2.76862106579,0.0642618007424,93.4599584448,0.92711,64,93.4459440425,1.73645504837,2.75973184804,2.77055,93.2391480974,64,0.203303536642
42.2900899126,0.0362854,97.4772335043,2.82395,89.4630084408,53.5181,93.5821082885,35.5916,-2.88961,2.83354716778,0.0670597970218,93.2870856074,0.873452,65,93.9098510666,1.71332230569,2.82436356823,2.83518,92.9212680137,65,0.180109951474
37.5342942111,0.0480345,99.7448391691,3.00361,89.5424606715,54.1776,93.5505411138,35.8017,-3.07638,3.01293327568,0.0781143386759,92.7673554456,0.808197,66,94.5294728546,2.35586901411,3.00367492692,3.0149,91.2423548967,66,0.70004727282
35.9250981847,0.0352997,95.0532685576,3.06165,90.3829766384,54.7274,91.7527674409,36.0144,-3.13621,3.07054578235,0.0736950954007,91.554261879,0.952654,67,93.2633215606,1.54230236101,3.06186461644,3.07219,90.9026522567,67,0.19639258044
36.0451626046,0.04759,94.5325345044,3.18887,91.7461916433,55.3442,91.8315789204,36.2682,-3.27592,3.19787268965,0.0841070729833,91.6323112701,0.944699,68,93.3323021599,0.718129093434,3.18941378927,3.19974,90.7535307028,68,0.248317920945
37.172790127,0.0368268,94.8189618209,3.31689,90.5769369274,55.9364,92.2081039863,36.514,-3.40899,3.32584851381,0.0788854117364,91.7714310825,0.958239,69,93.5483670773,1.16208569825,3.31703360607,3.32793,90.7551369224,69,0.343386640756
39.8911859524,0.0511926,99.6229486642,3.44552,89.1737227204,56.5779,93.2667041192,36.7597,-3.53763,3.45382259874,0.0883099083164,92.504531113,0.928046,70,93.3397502073,2.65422542175,3.44573185454,3.45603,91.5164293642,70,0.362617114893
37.8366061267,0.0497447,95.2999244445,3.58096,90.6573207407,57.1145,92.6546342979,36.9675,-3.67692,3.58983334693,0.0893478853767,91.9471109786,0.950877,71,93.1755345535,1.28002124177,3.58158433439,3.59167,90.8952839815,71,0.420947696306
37.9106416966,0.0449326,94.75754096,3.69557,90.3818234434,57.7405,92.7917133662,37.1523,-3.79718,3.70362414932,0.0901226351945,92.024325285,0.941479,72,93.450142789,1.29407149948,3.69624434926,3.70533,90.9632402503,72,0.45973559496
40.3605659449,0.0626192,99.3996539726,3.86348,87.9276619905,58.4031,93.4347901398,37.4334,-3.96984,3.87198628644,0.0947544311047,92.4870146472,0.94202,73,93.4221780221,2.90173042902,3.86417309532,3.87418,91.2572519279,73,0.633445370669
38.5443541341,0.0483063,98.4518122766,3.93677,89.1095829392,59.0501,93.0948889073,37.6663,-4.05179,3.94454529695,0.0853851307953,91.9643869039,0.969884,74,94.3128021826,2.08406062483,3.93732021033,3.9463,90.7991705041,74,0.580790457822
38.7455318941,0.0419801,94.529563658,4.06863,86.7592499386,59.6502,93.2802756083,37.9812,-4.18549,4.0764048396,0.0946378908491,91.9764837477,0.973805,75,92.5880930256,2.36375626229,4.0693586291,4.07807,90.5967925893,75,0.672086563728
