MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageAbsQYDiff,AverageReturn,Iteration,AverageY,QFunRegParamNorm,AverageAction,PolicyRegParamNorm,MinEsReturn,AverageAbsY,AverageQ,AveragePolicySurr,Epoch,MinReturn,MaxReturn,AverageEsReturn,StdEsReturn,AverageQLoss,StdReturn
524.92529054,62.1616292191,16.2924,0.572350130954,480.759325464,46,16.2974008774,30.4027,0.709741,29.4756,524.92529054,16.2977474331,16.2924,-17.1188,46,-16.6401596674,790.504659938,524.92529054,0.0,0.773564,295.7372238
476.886752966,42.0470227211,16.9921,0.566485081772,453.430991582,47,16.9955443333,30.655,0.74607,29.752,476.886752966,16.9958366889,16.9921,-17.8311,47,-222.989175074,746.918059476,476.886752966,0.0,0.748058,288.968371737
486.392881057,55.0993999347,17.7684,0.581431400067,555.236493361,48,17.7739660584,30.9466,0.742473,30.0178,486.392881057,17.7744750407,17.7684,-18.6182,48,-59.4297676999,676.542771974,486.392881057,0.0,0.82728,208.778093567
460.151878586,28.9676721329,18.5475,0.598510723847,268.419451534,49,18.5527330282,31.2541,0.727696,30.3276,460.151878586,18.5532379668,18.5475,-19.418,49,-460.254042321,636.756821416,460.151878586,0.0,0.86933,360.663005675
510.872308001,35.5470944545,19.2923,0.612661259889,528.69128201,50,19.2975297718,31.5474,0.755255,30.5338,510.872308001,19.298015347,19.2923,-20.1388,50,353.206065806,652.907179953,510.872308001,0.0,1.0066,83.8734003982
446.733459,52.7705845088,20.096,0.611713100903,616.611229164,51,20.1006795985,31.8242,0.741904,30.8346,446.733459,20.1011391747,20.096,-20.9539,51,-205.739219516,789.014346529,446.733459,0.0,0.975903,277.340410525
481.36096037,43.1073111762,20.8102,0.668350628169,405.683570083,52,20.8166489507,32.1118,0.850902,31.091,481.36096037,20.8177628561,20.8102,-21.6359,52,129.255801882,538.767222232,481.36096037,0.0,1.41124,123.64306365
188.245876866,38.4934607313,21.5622,0.71591746727,531.956720253,53,21.569549269,32.4912,0.74721,31.3516,188.245876866,21.5700797353,21.5622,-22.4198,53,-329.625714645,792.320573307,188.245876866,0.0,1.52163,309.986296881
382.783797148,52.8683678535,22.3314,0.662786054993,699.218032868,54,22.3372236907,32.6837,0.767286,31.592,382.783797148,22.3376035219,22.3314,-23.1705,54,561.632340661,769.678922666,382.783797148,0.0,1.24706,67.1073923912
539.232420492,55.8777194034,23.0413,0.654721389754,587.9041546,55,23.0478908371,32.8694,0.767243,31.8266,539.232420492,23.0482731698,23.0413,-23.8768,55,-39.3932290846,741.982355869,539.232420492,0.0,1.19655,215.11704114
565.692597496,68.4595266648,23.7965,0.64770922996,700.63145061,56,23.8020220799,33.0829,0.78435,32.0659,565.692597496,23.8022532144,23.7965,-24.6362,56,372.395024127,868.313307365,565.692597496,0.0,1.15723,138.612196126
511.824249356,60.5876504103,24.5124,0.64597560031,653.980231894,57,24.5173469188,33.3181,0.752275,32.266,511.824249356,24.5176527259,24.5124,-25.3465,57,30.8370392868,895.39942615,511.824249356,0.0,1.21004,287.52789465
413.653522419,65.5976580538,25.255,0.667175725587,493.113277894,58,25.2609947048,33.5474,0.795803,32.542,413.653522419,25.2615490249,25.255,-26.0811,58,-132.074204422,797.364895812,413.653522419,0.0,1.41746,325.149423618
563.580949116,79.2771844816,25.9691,0.653773488765,664.843142758,59,25.9734097253,33.8275,0.803159,32.8054,563.580949116,25.9737715334,25.9691,-26.7863,59,115.482936907,948.501521823,563.580949116,0.0,1.26422,251.627206142
556.232596102,63.0962686094,26.7001,0.676425369816,652.602096997,60,26.7056211,34.117,0.842057,33.0233,556.232596102,26.706079772,26.7001,-27.5222,60,479.377995713,749.831393678,556.232596102,0.0,1.45769,74.7575623213
575.528316917,71.3471470794,27.4298,0.683690739203,787.592669217,61,27.4356916723,34.3408,0.808858,33.2498,575.528316917,27.4361776077,27.4298,-28.283,61,733.356288228,835.805150308,575.528316917,0.0,1.48916,36.4767243564
669.569638015,72.1431815279,28.2158,0.673971301039,753.901051791,62,28.2203942587,34.6176,0.81481,33.4837,669.569638015,28.2206933283,28.2158,-29.0685,62,316.85033477,880.336991033,669.569638015,0.0,1.30479,151.206083875
