MinReturn,AverageQ,AverageAbsQ,Epoch,MaxEsReturn,MinEsReturn,AverageY,AverageAction,AverageReturn,StdEsReturn,AveragePolicySurr,Iteration,PolicyRegParamNorm,AverageAbsY,AverageDiscountedReturn,StdReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss,MaxReturn,AverageEsReturn
1107.46927195,15.2213,15.2217,42,481.547744454,481.547744454,15.2269483994,0.88271,2130.81331139,0.0,-16.316,42,28.5211,15.2276607934,194.002491528,379.883664382,31.2534,0.782915510234,1.36044,2398.38049245,481.547744454
992.899077026,16.3114,16.312,43,1072.72902878,1072.72902878,16.3172373954,0.860014,1656.21820634,0.0,-17.4406,43,28.8614,16.3183536445,192.218190993,447.983572281,31.7056,0.795194443388,1.40482,2322.51955867,1072.72902878
-230.459764888,17.5108,17.5111,44,592.111256338,592.111256338,17.5173164246,0.85267,1800.19837183,0.0,-18.6728,44,29.2265,17.5179968234,203.064143583,872.059646212,32.1311,0.802423236076,1.42376,2928.49259691,592.111256338
929.222942949,18.9824,18.9827,45,863.918102692,863.918102692,18.9898042013,0.896753,1265.20475267,0.0,-20.1779,45,29.5724,18.9905150876,158.575944985,206.717916462,32.6419,0.846200197809,1.718,1669.95624765,863.918102692
2059.34990471,20.6378,20.638,46,1866.5990111,1866.5990111,20.6454230025,0.917844,2296.64870451,0.0,-21.8517,46,29.9597,20.6458991288,201.71838775,112.102902854,33.0967,0.861525207003,1.6985,2503.51030655,1866.5990111
915.558478438,21.7548,21.7548,47,1055.57047615,1055.57047615,21.76228141,0.906954,2300.24382247,0.0,-22.9722,47,30.2743,21.7626639454,217.654707222,727.122225216,33.5867,0.883180427458,1.94054,2886.2072944,1055.57047615
1204.77950004,23.041,23.041,48,835.458800529,835.458800529,23.0483911297,0.90367,2297.34985782,0.0,-24.2781,48,30.5991,23.0486806042,223.753367357,591.962111673,34.0344,0.885318778725,1.94033,2771.49250164,835.458800529
956.547994363,24.5085,24.5085,49,1058.85851315,1058.85851315,24.5161393369,0.895816,2158.74326608,0.0,-25.7868,49,30.9335,24.5165890843,215.087491064,701.829742849,34.4943,0.906432079493,2.11707,2835.28176894,1058.85851315
1557.86101862,26.6458,26.6458,50,1952.79190224,1952.79190224,26.6531053968,0.917187,2619.27764833,0.0,-27.9541,50,31.2959,26.6534617895,224.970230071,356.072670235,34.9686,0.951573916488,2.43132,2813.23981253,1952.79190224
2188.3449983,28.864,28.864,51,1871.70402401,1871.70402401,28.8738405057,0.925597,2813.75878764,0.0,-30.1798,51,31.667,28.8742507456,248.052134719,301.112331307,35.3646,0.960833151811,2.29092,3068.58140439,1871.70402401
