MaxEsReturn,MaxReturn,AverageAbsQYDiff,AverageAction,AverageEsReturn,AverageDiscountedReturn,AverageQLoss,AveragePolicySurr,StdEsReturn,Iteration,PolicyRegParamNorm,AverageY,AverageReturn,MinEsReturn,AverageAbsQ,StdReturn,MinReturn,AverageQ,Epoch,AverageAbsY,QFunRegParamNorm
247.200095194,573.185369572,0.0600940924059,0.871512,247.200095194,26.9226022305,0.00759752,-1.44065,0.0,40,25.5307,1.36963927791,415.181212355,247.200095194,1.36925,259.922047447,-346.553602418,1.36925,40,1.36969006931,21.3472
274.731263401,403.026431537,0.0635133488621,0.860876,274.731263401,30.8596329967,0.00896586,-1.49241,0.0,41,25.9022,1.41379516963,293.535649664,274.731263401,1.41334,52.1660933705,216.148050867,1.41334,41,1.41383447584,21.7264
316.955212612,424.404708014,0.0624411546923,0.844429,316.955212612,19.9996968722,0.00819909,-1.53665,0.0,42,26.3477,1.45604780604,246.077084569,316.955212612,1.45562,254.739639129,-367.497578592,1.45562,42,1.45607985089,22.0515
296.706054811,235.840484269,0.0648559742821,0.796528,296.706054811,20.8883596205,0.00962681,-1.58995,0.0,43,26.6666,1.51058529325,156.75687448,296.706054811,1.5102,41.082600825,102.931024387,1.5102,43,1.51064661925,22.3947
303.394588548,581.749912937,0.0639121652405,0.820823,303.394588548,16.719059976,0.0084708,-1.64613,0.0,44,27.0135,1.56485028696,312.007508454,303.394588548,1.56441,283.283459351,-309.870914728,1.56441,44,1.56487435504,22.6686
243.89526165,322.358278141,0.0656118996377,0.841626,243.89526165,36.1980925545,0.0104655,-1.69332,0.0,45,27.322,1.61154381967,274.071302812,243.89526165,1.6109,60.886071219,105.525611298,1.6109,45,1.61162567339,22.9778
290.735856309,693.237104413,0.065248153881,0.81056,290.735856309,37.7461360616,0.00986397,-1.74141,0.0,46,27.6164,1.6609806013,419.889579676,290.735856309,1.66066,414.918562067,-537.753581646,1.66065,46,1.66107018004,23.2492
310.107720121,776.461272512,0.066264218542,0.835182,310.107720121,58.7479213344,0.0110259,-1.79507,0.0,47,27.8608,1.71338861323,737.314920867,310.107720121,1.71281,31.0549758122,672.361389494,1.71281,47,1.71347169766,23.5889
376.310117868,942.127202078,0.0642985972678,0.865563,376.310117868,46.2303683612,0.00912048,-1.83688,0.0,48,28.1834,1.75939506648,795.516052207,376.310117868,1.75891,98.8251717964,591.427753624,1.75891,48,1.75941949411,23.8795
352.261663446,689.794742104,0.0645401573355,0.882884,352.261663446,59.0191740922,0.0099323,-1.89635,0.0,49,28.3933,1.81628506645,654.570523557,352.261663446,1.81593,34.5027294064,561.650001506,1.81593,49,1.81633909586,24.1694
376.419081842,864.480375016,0.0648934128616,0.831928,376.419081842,75.7642577485,0.0102113,-1.95408,0.0,50,28.6282,1.87161385816,803.310690799,376.419081842,1.8711,51.6548038489,679.846840827,1.8711,50,1.87166466537,24.4325
429.713879611,509.105346057,0.0660157256647,0.841809,429.713879611,19.0060380897,0.0113078,-2.00614,0.0,51,28.8861,1.9226904272,350.248348439,429.713879611,1.92205,156.505693945,-10.2367371406,1.92205,51,1.92275615484,24.7189
383.032383811,767.088767733,0.0660543623065,0.816312,383.032383811,59.5764688543,0.0118918,-2.04959,0.0,52,29.1245,1.97009937857,696.579378177,383.032383811,1.96961,31.4855862638,645.511201529,1.96961,52,1.97019284644,24.9993
385.582851952,609.666461642,0.0658188699023,0.846953,385.582851952,27.2707667258,0.0116463,-2.09622,0.0,53,29.344,2.02111332903,50.079885037,385.582851952,2.02026,412.954010245,-548.727241854,2.02026,53,2.02116268086,25.19
-13.0856579599,757.342356509,0.0699550004865,0.845847,-13.0856579599,36.1679895088,0.0134164,-2.14167,0.0,54,29.5283,2.06665927221,418.837319632,-13.0856579599,2.06631,392.465373388,-379.23567294,2.06631,54,2.0666987754,25.5094
382.24379862,581.40649213,0.0661671735716,0.797019,382.24379862,49.1209396568,0.0114711,-2.19,0.0,55,29.6821,2.11215447901,386.682052904,382.24379862,2.11164,213.715669665,-67.4604061883,2.11164,55,2.11221675095,25.7897
418.748679416,866.617186456,0.0658284644292,0.879516,418.748679416,59.0070845498,0.0115029,-2.24171,0.0,56,29.9271,2.1637507259,711.199860088,418.748679416,2.1633,262.472338461,-64.0959065257,2.1633,56,2.16381081113,25.9827
441.869934041,821.093991615,0.0640402116516,0.870731,441.869934041,56.699398437,0.0104037,-2.28375,0.0,57,30.1214,2.20936654534,770.785455473,441.869934041,2.20886,38.6294079241,671.56694565,2.20886,57,2.20940119034,26.2415
446.759269121,813.722067626,0.0673827407258,0.851739,446.759269121,57.2513761169,0.0131045,-2.33401,0.0,58,30.3451,2.26076812785,311.470045053,446.759269121,2.26027,576.170837774,-632.052436661,2.26027,58,2.26085468996,26.5405
478.211933057,863.154447715,0.0660804062834,0.835811,478.211933057,60.2997525532,0.0115164,-2.38736,0.0,59,30.5517,2.31331787877,703.399993436,478.211933057,2.31282,394.938647896,-479.929620523,2.31282,59,2.31339547087,26.8051
517.750724242,886.98089774,0.067973510172,0.862021,517.750724242,71.3061935774,0.0130086,-2.43568,0.0,60,30.8148,2.35809656468,628.310765816,517.750724242,2.35754,328.015867758,-280.59690154,2.35754,60,2.35817603087,27.0782
403.266626699,804.06270808,0.0690411718372,0.863081,403.266626699,55.9459103291,0.0138422,-2.49839,0.0,61,31.0264,2.41718667074,731.183163837,403.266626699,2.41675,51.1708277082,601.541049653,2.41675,61,2.41724813721,27.3398
383.853520447,892.68994814,0.06919125656,0.844881,383.853520447,73.7138045351,0.0129906,-2.54943,0.0,62,31.2448,2.46979781737,657.301176774,383.853520447,2.46911,311.997378422,-147.621488511,2.46911,62,2.46987803858,27.5776
473.737211524,911.773164739,0.0694554912994,0.892489,473.737211524,76.8185428639,0.0138556,-2.59433,0.0,63,31.4735,2.5187286094,826.808899038,473.737211524,2.5182,68.8683318691,642.221673459,2.5182,63,2.51879905851,27.8214
387.363587647,897.55350531,0.0703406085144,0.876735,387.363587647,44.1507726989,0.0146224,-2.6549,0.0,64,31.7038,2.57450217715,790.41374403,387.363587647,2.57398,152.519602176,348.369455407,2.57398,64,2.57457199218,28.1177
414.71464465,725.298165213,0.0706882942779,0.852526,414.71464465,36.3432638001,0.0140244,-2.70314,0.0,65,31.9222,2.62592230685,272.06259496,414.71464465,2.62544,430.224733598,-431.920626384,2.62544,65,2.62598768692,28.3338
449.140468443,709.210474747,0.0705062170152,0.819161,449.140468443,29.2463734568,0.0140242,-2.75634,0.0,66,32.1351,2.68194179507,482.803143894,449.140468443,2.68126,206.403575152,-14.6593432847,2.68126,66,2.68200005479,28.5794
502.25361399,795.910265195,0.071461321989,0.866015,502.25361399,55.9058396416,0.016073,-2.80012,0.0,67,32.2953,2.72357856994,722.930940113,502.25361399,2.72315,44.5910271055,631.662861214,2.72315,67,2.72365475843,28.9487
507.806033658,659.58025931,0.0701950568813,0.838934,507.806033658,31.4244138108,0.0144471,-2.8508,0.0,68,32.5126,2.77717406995,594.25438381,507.806033658,2.77659,71.2448829678,414.176483965,2.77659,68,2.77722268351,29.1781
536.036030336,824.311926544,0.0724034928178,0.853897,536.036030336,55.3748120245,0.0172214,-2.90144,0.0,69,32.7314,2.82698988791,540.491942945,536.036030336,2.82654,468.603214249,-620.297462146,2.82654,69,2.82705359606,29.4058
468.842285342,848.950388547,0.0721134590972,0.838093,468.842285342,60.0648360458,0.0156502,-2.95664,0.0,70,32.8847,2.87980770044,799.387866699,468.842285342,2.87923,34.6130249865,724.930208829,2.87923,70,2.87984808453,29.6276
435.721347177,769.751273159,0.0727128818601,0.849414,435.721347177,55.0554085136,0.0172085,-2.99981,0.0,71,33.081,2.92520836748,610.270903317,435.721347177,2.92467,323.710110962,-358.248750471,2.92467,71,2.92525751847,29.8265
386.098454374,827.838978908,0.0731011064307,0.878134,386.098454374,58.0277073281,0.0167198,-3.0587,0.0,72,33.2413,2.98545904585,583.28032629,386.098454374,2.98474,263.860981866,64.0187561985,2.98474,72,2.98554050782,30.036
451.658827924,465.887430174,0.0727118828052,0.880083,451.658827924,30.4875846372,0.0178755,-3.1108,0.0,73,33.5114,3.03648669245,306.327277622,451.658827924,3.03595,98.719580804,112.849471835,3.03595,73,3.03654768608,30.2671
409.154140619,839.851417049,0.071825583654,0.86153,409.154140619,40.5711558529,0.0169165,-3.15925,0.0,74,33.7198,3.08510478958,639.3442063,409.154140619,3.08451,152.518964854,375.115623968,3.08451,74,3.08516413072,30.4867
415.618585949,529.805425823,0.0725157487567,0.874354,415.618585949,42.8974272916,0.017097,-3.20862,0.0,75,33.9336,3.13216936138,448.503893376,415.618585949,3.13166,36.7786452979,401.96316137,3.13166,75,3.13222887444,30.7703
497.048304502,847.206585019,0.0724927351228,0.872629,497.048304502,51.1543467519,0.0173032,-3.25669,0.0,76,34.1407,3.18264689719,623.627587674,497.048304502,3.18216,199.936403993,252.923365375,3.18216,76,3.18270144245,30.984
