AverageQ,AverageAbsY,QFunRegParamNorm,StdReturn,MaxReturn,MinReturn,AverageAbsQYDiff,MaxEsReturn,Epoch,AverageReturn,AverageQLoss,AverageAbsQ,PolicyRegParamNorm,Iteration,AverageEsReturn,AverageAction,AverageY,StdEsReturn,AveragePolicySurr,MinEsReturn,AverageDiscountedReturn
0.612313,0.612978803023,13.3863,5.06176723917,196.307701968,170.931222505,0.0257685777156,186.395950465,20,182.416478765,0.00252605,0.61398,16.2024,20,133.175425366,0.983004,0.612443817775,38.3417683335,-0.713225,45.1726073269,109.728262359
0.647609,0.648222932578,13.7957,8.90470817422,229.751392478,189.908903687,0.0257111719142,201.600902483,21,212.359494836,0.00255436,0.649157,16.4372,21,171.132353988,0.989679,0.647774928485,28.4729528395,-0.745084,95.0905200833,115.827046845
0.678922,0.67940591502,14.2558,5.7637906129,190.648416774,157.834346989,0.0274908530753,248.76427022,22,177.790196706,0.00275944,0.68035,16.9488,22,176.406499031,0.988367,0.679074283249,33.3242144926,-0.775912,135.106033658,108.095817439
0.707649,0.708104160399,14.7519,6.93913026606,162.579864454,130.837236034,0.0250833826377,185.602053191,23,148.116821567,0.00220538,0.708869,17.3696,23,139.743027027,0.991587,0.70778725834,43.5917201016,-0.80417,41.0144584838,97.6390505002
0.742472,0.742910876037,15.2571,3.76219900072,174.045594084,153.979882817,0.0260054912146,193.62406455,24,161.700717612,0.00250836,0.743657,17.8828,24,141.256161827,0.968917,0.742600529199,49.542260803,-0.828801,40.6225533392,103.08356463
0.764188,0.76470869436,15.7935,3.34287209738,48.7535711059,33.9595108852,0.0272899529523,204.547468249,25,41.2610905702,0.00288131,0.765422,18.5435,25,46.5274166506,0.970023,0.764404057115,52.6560490799,-0.861678,10.7104863424,36.074066223
0.797495,0.797934749966,16.3255,2.91895655977,182.278162491,169.66675722,0.030821131813,204.121633199,26,175.02988893,0.00367006,0.798523,19.1094,26,53.4822419243,0.975025,0.797673962641,41.5398943249,-0.897087,16.742776924,112.230252153
0.823306,0.823759493177,16.7623,1.53138119776,176.093025605,169.970245378,0.0306409016866,190.076191909,27,173.054545497,0.00375532,0.82416,19.5352,27,159.051423412,0.968297,0.82351732156,37.3719530462,-0.910771,53.4819600453,111.767934975
0.843769,0.844205337713,17.286,4.12322602266,195.061796054,179.41307762,0.029732359439,191.187592416,28,188.939176361,0.00355212,0.844718,19.8445,28,149.950837311,0.939682,0.843961945603,49.3124002337,-0.926611,21.0596319008,117.211574451
0.861791,0.862206501201,17.7306,5.67379356417,192.191380294,166.263174451,0.0291515208752,189.861375474,29,179.502402322,0.00364582,0.862736,20.1013,29,139.244635717,0.847023,0.862007230326,50.8570260652,-0.93585,13.3351364486,112.675099574
0.869894,0.870300308213,18.1882,0.548183938353,978.267320515,976.584462507,0.0296784751479,251.343736074,30,977.316579702,0.00375219,0.870845,20.8612,30,86.5662264887,0.849491,0.870085205503,107.067728001,-0.947449,-0.465555996054,88.6661961898
0.8918,0.892196814556,18.6155,0.392544498901,995.603808343,994.189593031,0.028981341445,198.982750647,31,994.93485505,0.00383274,0.892991,21.4342,31,114.329779441,0.966812,0.891939568647,56.2146093827,-0.972788,50.119553136,100.317807778
0.922853,0.923311753918,19.0508,0.302598060119,1000.07366811,998.935702991,0.029641219357,586.704881387,32,999.472715289,0.00434473,0.924093,21.7863,32,209.075878589,0.6294,0.92304386504,176.150061474,-0.996271,41.0239423279,91.8889374376
