AverageDiscountedReturn,AveragePolicySurr,PolicyRegParamNorm,StdEsReturn,AverageQ,MinReturn,AverageAction,QFunRegParamNorm,MinEsReturn,AverageQLoss,MaxReturn,StdReturn,AverageReturn,Iteration,AverageEsReturn,AverageAbsQ,MaxEsReturn,AverageAbsY,AverageAbsQYDiff,Epoch,AverageY
117.795073754,-60.4115,34.1019,49.5523856003,58.1759,184.66741179,0.658222,44.8663,59.7375956944,7.59065,192.269462089,1.51820074302,188.390229681,47,154.480532325,58.2099,234.430214539,58.1845281677,1.24835925562,47,58.1817521631
117.186940914,-61.8247,34.4594,52.9236188259,59.5501,182.879632886,0.605604,45.3546,37.1826401522,8.92745,188.66092273,1.2355779003,185.915705758,48,150.306991886,59.5858,203.911734599,59.5574324085,1.28162066289,48,59.5534262609
118.462511223,-63.5347,34.7333,40.1396229439,61.1774,182.598653384,0.660383,45.8415,65.6288255951,9.02089,192.902368336,2.4942570676,188.304829485,49,167.87281439,61.2102,206.581093243,61.1867346793,1.28484981953,49,61.1835253516
117.061909146,-65.2542,35.0516,28.4263402474,62.9165,184.051871739,0.631342,46.3887,83.3744879634,9.70638,191.310838845,1.3142909223,187.034272251,50,170.534223446,62.9501,189.079911299,62.9259149854,1.34944499911,50,62.9223406467
122.139149974,-66.6817,35.3978,35.4512221589,64.3035,194.916890454,0.625283,46.851,63.4439315515,9.09143,202.509403587,1.37982917939,199.629425592,51,172.982200095,64.3375,200.713588862,64.3122996669,1.3205135216,51,64.3094056873
120.019881614,-67.9667,35.7201,75.500376872,65.676,189.211042291,0.597904,47.3435,11.8171030765,10.6984,199.439743753,1.88370775748,194.070855265,52,146.350661572,65.7119,223.462147655,65.6865247227,1.37261081028,52,65.6828357776
123.879568959,-69.5593,36.0473,66.7859690307,67.1713,195.664879704,0.652922,47.7598,21.0049518263,8.99513,209.386571014,3.51089826619,203.301023811,53,128.975818347,67.2117,207.664551181,67.1813157082,1.33949603405,53,67.1772127324
123.629108388,-71.0133,36.3665,42.1134204048,68.5919,194.925630126,0.677851,48.2425,59.9795366403,9.99619,207.338926545,2.59964489175,203.515805067,54,176.52616941,68.6329,202.900641079,68.5991830932,1.36815728144,54,68.5953396568
122.583528414,-72.603,36.7522,44.1070736817,70.2683,191.200189235,0.68622,48.753,69.2522419323,12.0886,209.527674513,4.21747250716,199.075843864,55,168.822778754,70.3121,206.959231457,70.2823189046,1.46095523594,55,70.2764707144
124.986023398,-73.7911,36.9944,68.8870347454,71.3933,199.261049776,0.710655,49.2454,18.7502027081,11.517,211.199470457,3.12306734709,205.905721841,56,150.203157794,71.4358,204.530718531,71.4040867212,1.42545899188,56,71.3978079059
